id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
1,TDCJ — Reentry & Release Programs,state-agency,Statewide,"TDCJ — Reentry & Release Programs connects justice-involved Texans across all 254 counties to reentry supports including Your Texas Benefits, Workforce Solutions, Medicaid, and local housing and treatment partners before and after release from TDCJ custody or county jails. This resource provides planning, referrals, and navigation—not emergency cash or walk-in crisis shelter unless noted.","TDCJ — Reentry & Release Programs conecta a texanos con antecedentes penales en los 254 condados con apoyos de reinserción incluidos Your Texas Benefits, Workforce Solutions, Medicaid y aliados locales de vivienda y tratamiento antes y después de la liberación de custodia TDCJ o cárceles del condado.",8712 Shoal Creek Boulevard,Huntsville,936-437-2848,,https://www.tdcj.texas.gov/divisions/rrd/reentry_program.html,Texas residents and justice-involved individuals; specific program eligibility varies; contact for intake.,Residentes de Texas y personas con antecedentes penales; la elegibilidad específica del programa varía; contacte para admisión.,"For current intake, call 936-437-2848; visit https://www.tdcj.texas.gov/divisions/rrd/reentry_program.html. Hours vary; check official website.","Para admisión actual, llame al 936-437-2848; visite https://www.tdcj.texas.gov/divisions/rrd/reentry_program.html. Hours vary; check official website.",Hours vary; check official website,statewide|reentry|TDCJ|pre-release|community-supervision,Pre-release planning|Reentry navigation|Partner referrals|Probation and parole supervision,Walker,,statewide,accepts_criminal_record
2,TDCJ — Parole Division,probation-parole,Statewide,"TDCJ — Parole Division connects justice-involved Texans across all 254 counties to reentry supports including Your Texas Benefits, Workforce Solutions, Medicaid, and local housing and treatment partners before and after release from TDCJ custody or county jails. This resource provides planning, referrals, and navigation—not emergency cash or walk-in crisis shelter unless noted.","TDCJ — Parole Division conecta a texanos con antecedentes penales en los 254 condados con apoyos de reinserción incluidos Your Texas Benefits, Workforce Solutions, Medicaid y aliados locales de vivienda y tratamiento antes y después de la liberación de custodia TDCJ o cárceles del condado.",8712 Shoal Creek Boulevard,Austin,512-406-5202,,https://www.tdcj.texas.gov/divisions/pd/index.html,Texas residents and justice-involved individuals; specific program eligibility varies; contact for intake.,Residentes de Texas y personas con antecedentes penales; la elegibilidad específica del programa varía; contacte para admisión.,"For current intake, call 512-406-5202; visit https://www.tdcj.texas.gov/divisions/pd/index.html. Hours vary; check official website.","Para admisión actual, llame al 512-406-5202; visite https://www.tdcj.texas.gov/divisions/pd/index.html. Hours vary; check official website.",Hours vary; check official website,statewide|probation-parole|TDCJ|parole|mandatory-supervision,Probation and parole supervision|Partner referrals|Employment compliance|Reentry navigation,Travis,,statewide,accepts_criminal_record
3,Your Texas Benefits,financial-assistance,Statewide,"Your Texas Benefits connects justice-involved Texans across all 254 counties to reentry supports including Your Texas Benefits, Workforce Solutions, Medicaid, and local housing and treatment partners before and after release from TDCJ custody or county jails. This resource provides planning, referrals, and navigation—not emergency cash or walk-in crisis shelter unless noted.","Your Texas Benefits conecta a texanos con antecedentes penales en los 254 condados con apoyos de reinserción incluidos Your Texas Benefits, Workforce Solutions, Medicaid y aliados locales de vivienda y tratamiento antes y después de la liberación de custodia TDCJ o cárceles del condado.",,,877-541-7905,,https://yourtexasbenefits.com,Texas residents and justice-involved individuals; specific program eligibility varies; contact for intake.,Residentes de Texas y personas con antecedentes penales; la elegibilidad específica del programa varía; contacte para admisión.,"For current intake, call 877-541-7905; visit https://yourtexasbenefits.com. Hours vary; check official website.","Para admisión actual, llame al 877-541-7905; visite https://yourtexasbenefits.com. Hours vary; check official website.",Hours vary; check official website,statewide|benefits|SNAP|Medicaid|TANF|reentry,SNAP enrollment|Medicaid enrollment|Cash assistance (TANF)|CHIP enrollment|Benefits renewal,,,statewide,accepts_criminal_record
4,Texas Medicaid & CHIP,healthcare,Statewide,"Texas Medicaid & CHIP connects justice-involved Texans across all 254 counties to reentry supports including Your Texas Benefits, Workforce Solutions, Medicaid, and local housing and treatment partners before and after release from TDCJ custody or county jails. This resource provides planning, referrals, and navigation—not emergency cash or walk-in crisis shelter unless noted.","Texas Medicaid & CHIP conecta a texanos con antecedentes penales en los 254 condados con apoyos de reinserción incluidos Your Texas Benefits, Workforce Solutions, Medicaid y aliados locales de vivienda y tratamiento antes y después de la liberación de custodia TDCJ o cárceles del condado.",,Austin,800-925-9126,,https://www.hhs.texas.gov/services/health/medicaid-chip,Texas residents and justice-involved individuals; specific program eligibility varies; contact for intake.,Residentes de Texas y personas con antecedentes penales; la elegibilidad específica del programa varía; contacte para admisión.,"For current intake, call 800-925-9126; visit https://www.hhs.texas.gov/services/health/medicaid-chip. Hours vary; check official website. Bring photo ID, proof of release or supervision, and any court paperwork when applying.","Para admisión actual, llame al 800-925-9126; visite https://www.hhs.texas.gov/services/health/medicaid-chip. Hours vary; check official website. Lleve identificación con foto, prueba de liberación o supervisión y documentos judiciales al solicitar.",Hours vary; check official website,statewide|healthcare|Medicaid|CHIP|reentry,Medicaid enrollment|CHIP application|GED and high school equivalency|Member services|Eligibility determination,Travis,,statewide,accepts_criminal_record
5,211 Texas,state-agency,Statewide,"211 Texas connects justice-involved Texans across all 254 counties to reentry supports including Your Texas Benefits, Workforce Solutions, Medicaid, and local housing and treatment partners before and after release from TDCJ custody or county jails. This resource provides planning, referrals, and navigation—not emergency cash or walk-in crisis shelter unless noted.","211 Texas conecta a texanos con antecedentes penales en los 254 condados con apoyos de reinserción incluidos Your Texas Benefits, Workforce Solutions, Medicaid y aliados locales de vivienda y tratamiento antes y después de la liberación de custodia TDCJ o cárceles del condado.",,,211,,https://www.211texas.org,Texas residents and justice-involved individuals; specific program eligibility varies; contact for intake.,Residentes de Texas y personas con antecedentes penales; la elegibilidad específica del programa varía; contacte para admisión.,"For current intake, call 211; visit https://www.211texas.org. Hours vary; check official website.","Para admisión actual, llame al 211; visite https://www.211texas.org. Hours vary; check official website.",Hours vary; check official website,statewide|hotline|211|referral-only|basic-needs,Partner referrals|Local program search,,,statewide,
6,Texas Law Help,legal-aid,Statewide,"Texas Law Help connects justice-involved Texans across all 254 counties to reentry supports including Your Texas Benefits, Workforce Solutions, Medicaid, and local housing and treatment partners before and after release from TDCJ custody or county jails. This resource provides planning, referrals, and navigation—not emergency cash or walk-in crisis shelter unless noted.","Texas Law Help conecta a texanos con antecedentes penales en los 254 condados con apoyos de reinserción incluidos Your Texas Benefits, Workforce Solutions, Medicaid y aliados locales de vivienda y tratamiento antes y después de la liberación de custodia TDCJ o cárceles del condado.",,Austin,,,https://texaslawhelp.org,Texas residents and justice-involved individuals; specific program eligibility varies; contact for intake.,Residentes de Texas y personas con antecedentes penales; la elegibilidad específica del programa varía; contacte para admisión.,"For current intake, visit https://texaslawhelp.org. Hours vary; check official website. Bring photo ID, proof of release or supervision, and any court paperwork when applying.","Para admisión actual, visite https://texaslawhelp.org. Hours vary; check official website. Lleve identificación con foto, prueba de liberación o supervisión y documentos judiciales al solicitar.",Hours vary; check official website,statewide|legal-aid|online|expungement|reentry,Partner referrals|Expungement assistance|Housing legal resources|Benefits navigation,Travis,,statewide,accepts_criminal_record
7,Lone Star Legal Aid — Statewide Intake,legal-aid,Statewide,"Lone Star Legal Aid — Statewide Intake connects justice-involved Texans across all 254 counties to reentry supports including Your Texas Benefits, Workforce Solutions, Medicaid, and local housing and treatment partners before and after release from TDCJ custody or county jails. This resource provides planning, referrals, and navigation—not emergency cash or walk-in crisis shelter unless noted.","Lone Star Legal Aid — Statewide Intake conecta a texanos con antecedentes penales en los 254 condados con apoyos de reinserción incluidos Your Texas Benefits, Workforce Solutions, Medicaid y aliados locales de vivienda y tratamiento antes y después de la liberación de custodia TDCJ o cárceles del condado.",1414 Austin Street,Houston,713-652-0077,,https://www.lonestarlegal.org,Texas residents and justice-involved individuals; specific program eligibility varies; contact for intake.,Residentes de Texas y personas con antecedentes penales; la elegibilidad específica del programa varía; contacte para admisión.,"For current intake, call 713-652-0077; visit https://www.lonestarlegal.org. Hours vary; check official website. Bring photo ID, proof of release or supervision, and any court paperwork when applying.","Para admisión actual, llame al 713-652-0077; visite https://www.lonestarlegal.org. Hours vary; check official website. Lleve identificación con foto, prueba de liberación o supervisión y documentos judiciales al solicitar.",Hours vary; check official website,statewide|legal-aid|low-income|housing|benefits,Civil legal representation|Housing legal aid|Benefits navigation|Partner referrals,Harris,,statewide,accepts_criminal_record
8,Texas RioGrande Legal Aid,legal-aid,Statewide,"Texas RioGrande Legal Aid connects justice-involved Texans across all 254 counties to reentry supports including Your Texas Benefits, Workforce Solutions, Medicaid, and local housing and treatment partners before and after release from TDCJ custody or county jails. This resource provides planning, referrals, and navigation—not emergency cash or walk-in crisis shelter unless noted.","Texas RioGrande Legal Aid conecta a texanos con antecedentes penales en los 254 condados con apoyos de reinserción incluidos Your Texas Benefits, Workforce Solutions, Medicaid y aliados locales de vivienda y tratamiento antes y después de la liberación de custodia TDCJ o cárceles del condado.",1111 N Main Avenue,San Antonio,888-988-9996,,https://www.trla.org,Texas residents and justice-involved individuals; specific program eligibility varies; contact for intake.,Residentes de Texas y personas con antecedentes penales; la elegibilidad específica del programa varía; contacte para admisión.,"For current intake, call 888-988-9996; visit https://www.trla.org. Hours vary; check official website. Bring photo ID, proof of release or supervision, and any court paperwork when applying.","Para admisión actual, llame al 888-988-9996; visite https://www.trla.org. Hours vary; check official website. Lleve identificación con foto, prueba de liberación o supervisión y documentos judiciales al solicitar.",Hours vary; check official website,statewide|legal-aid|south-texas|border|reentry,Civil legal representation|Housing legal aid|Benefits navigation|Immigration legal resources|Expungement assistance,Bexar,,statewide,
9,Texas Workforce Commission — Find Work,employment,Statewide,"Texas Workforce Commission — Find Work connects justice-involved Texans across all 254 counties to reentry supports including Your Texas Benefits, Workforce Solutions, Medicaid, and local housing and treatment partners before and after release from TDCJ custody or county jails. This resource provides planning, referrals, and navigation—not emergency cash or walk-in crisis shelter unless noted.","Texas Workforce Commission — Find Work conecta a texanos con antecedentes penales en los 254 condados con apoyos de reinserción incluidos Your Texas Benefits, Workforce Solutions, Medicaid y aliados locales de vivienda y tratamiento antes y después de la liberación de custodia TDCJ o cárceles del condado.",101 East 15th Street,Austin,800-628-5115,,https://www.twc.texas.gov/jobseekers/find-work,Texas residents and justice-involved individuals; specific program eligibility varies; contact for intake.,Residentes de Texas y personas con antecedentes penales; la elegibilidad específica del programa varía; contacte para admisión.,"For current intake, call 800-628-5115; visit https://www.twc.texas.gov/jobseekers/find-work. Hours vary; check official website. Bring photo ID, proof of release or supervision, and any court paperwork when applying.","Para admisión actual, llame al 800-628-5115; visite https://www.twc.texas.gov/jobseekers/find-work. Hours vary; check official website. Lleve identificación con foto, prueba de liberación o supervisión y documentos judiciales al solicitar.",Hours vary; check official website,statewide|employment|workforce-solutions|WIOA|fair-chance,Job search tools|Partner referrals|Workforce development|Employment assistance,Travis,,statewide,accepts_criminal_record
10,Texas Veterans Commission,veterans,Statewide,"Texas Veterans Commission connects justice-involved Texans across all 254 counties to reentry supports including Your Texas Benefits, Workforce Solutions, Medicaid, and local housing and treatment partners before and after release from TDCJ custody or county jails. This resource provides planning, referrals, and navigation—not emergency cash or walk-in crisis shelter unless noted.","Texas Veterans Commission conecta a texanos con antecedentes penales en los 254 condados con apoyos de reinserción incluidos Your Texas Benefits, Workforce Solutions, Medicaid y aliados locales de vivienda y tratamiento antes y después de la liberación de custodia TDCJ o cárceles del condado.",1700 North Congress Avenue,Austin,800-252-8387,,https://www.tvc.texas.gov,Texas residents and justice-involved individuals; specific program eligibility varies; contact for intake.,Residentes de Texas y personas con antecedentes penales; la elegibilidad específica del programa varía; contacte para admisión.,"For current intake, call 800-252-8387; visit https://www.tvc.texas.gov. Hours vary; check official website.","Para admisión actual, llame al 800-252-8387; visite https://www.tvc.texas.gov. Hours vary; check official website.",Hours vary; check official website,statewide|veterans|VA-benefits|reentry|justice-involved-veterans,Benefits navigation|Disability claims navigation|Education benefits guidance|Partner referrals,Travis,,statewide,accepts_criminal_record
