id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage
1,ADOC — Reentry & Rehabilitation Services,state-agency,Statewide,"The Alabama Department of Corrections coordinates statewide reentry planning that begins at intake and continues through pre-release programming and community supervision. Reentry staff connect people leaving state custody to housing referrals, MyDHR benefits enrollment, Alabama Career Center workforce services, and local reentry coalitions across all 67 counties. This office provides planning, programming, and referrals coordinated through facility case managers—not a walk-in crisis line or emergency cash provider.","El Departamento de Correcciones de Alabama coordina la planificación estatal de reinserción que comienza al ingreso y continúa durante la programación previa a la liberación y la supervisión comunitaria. El personal de reinserción conecta a las personas que salen de custodia estatal con referencias de vivienda, inscripción en beneficios de MyDHR, servicios laborales de Alabama Career Center y coaliciones locales de reinserción en los 67 condados. Esta oficina ofrece planificación y referencias, no es una línea de crisis.",301 South Ripley Street,Montgomery,334-353-3883,,https://doc.alabama.gov/ReEntryInfo,Individuals in ADOC custody preparing for release or recently released; families and community partners may use published reentry resources and planning guides.,Personas en custodia de ADOC que se preparan para la liberación o recién liberadas; familias y aliados comunitarios pueden usar los recursos publicados de reinserción.,Review the reentry resource guide at doc.alabama.gov/ReEntryInfo; coordinate through facility reentry coordinators and assigned supervision officers after release.,Revise la guía de recursos de reinserción en doc.alabama.gov/ReEntryInfo; coordine con los coordinadores de reinserción de la instalación y el oficial de supervisión asignado.,State office Monday–Friday business hours,statewide|reentry|ADOC|DOC|pre-release|prison,Pre-release planning|Transitional programming coordination|Community partner referrals|Reentry resource navigation|Supervision linkage,Montgomery,,statewide
2,Alabama Bureau of Pardons and Paroles — Statewide,probation-parole,Statewide,"The Alabama Bureau of Pardons and Paroles supervises people on parole and probation and processes pardon, parole, and clemency applications through field offices across the state. Officers connect supervisees to employment, treatment, and housing referrals as conditions of supervision, and the Board hears pardon and parole cases on a published statewide docket. Supervision and hearings only—not a source of emergency cash or shelter.","La Junta de Indultos y Libertad Condicional de Alabama supervisa a personas en libertad condicional y probatoria y procesa solicitudes de indulto, libertad condicional y clemencia a través de oficinas de campo en todo el estado. Los oficiales conectan a los supervisados con referencias de empleo, tratamiento y vivienda como condiciones de supervisión, y la Junta escucha casos en un calendario estatal publicado. Solo supervisión y audiencias, no efectivo de emergencia ni refugio.","RSA Tower, 201 Monroe Street",Montgomery,334-242-8700,,https://paroles.alabama.gov,"Individuals under active parole or probation supervision, or eligible to apply for pardon, parole, or clemency under Alabama law.","Personas bajo supervisión activa de libertad condicional o probatoria, o elegibles para solicitar indulto, libertad condicional o clemencia según la ley de Alabama.",Find field office locations and hearing dockets at paroles.alabama.gov; contact your assigned supervision officer for case-specific questions.,Encuentre ubicaciones de oficinas de campo y calendarios de audiencias en paroles.alabama.gov; contacte a su oficial de supervisión asignado para preguntas específicas.,Field offices Monday–Friday business hours,statewide|probation-parole|pardons|paroles|reentry,Parole supervision|Probation supervision|Pardon and clemency hearings|Field office referrals|Reentry condition compliance support,Montgomery,,statewide
3,MyDHR — Alabama Benefits Portal,financial-assistance,Statewide,"MyDHR is Alabama's official online portal for applying for and managing SNAP food assistance, Family Assistance (TANF) cash benefits, child care subsidies, and Medicaid referrals through county Department of Human Resources offices. Justice-involved Alabamians can apply for food and cash support after release, and county DHR staff assist with verification and recertification at all 67 county offices statewide.","MyDHR es el portal en línea oficial de Alabama para solicitar y administrar asistencia alimentaria SNAP, beneficios en efectivo de Asistencia Familiar (TANF), subsidios de cuidado infantil y referencias de Medicaid a través de oficinas del Departamento de Recursos Humanos del condado. Los alabameños en reinserción pueden solicitar apoyo alimentario y en efectivo después de la liberación; el personal del condado ayuda con verificación y recertificación en las 67 oficinas.",50 Ripley Street,Montgomery,1-800-382-0499,,https://mydhr.alabama.gov,"Alabama residents meeting income and household-size requirements for SNAP, TANF, or child care assistance; criminal record is generally not a barrier to SNAP eligibility.","Residentes de Alabama que cumplan requisitos de ingresos y tamaño del hogar para SNAP, TANF o asistencia de cuidado infantil; los antecedentes penales generalmente no son barrera para SNAP.",Apply online at mydhr.alabama.gov or visit your county DHR office; call 1-800-382-0499 for application help; bring ID and release documents.,Solicite en línea en mydhr.alabama.gov o visite su oficina DHR del condado; llame al 1-800-382-0499 para ayuda; traiga identificación y documentos de liberación.,Online 24/7; county DHR office hours vary,statewide|benefits|SNAP|TANF|MyDHR|reentry,SNAP enrollment|TANF cash assistance|Child care subsidy applications|Medicaid referral|County DHR office locator,Montgomery,,statewide
4,Alabama Medicaid Agency,healthcare,Statewide,"The Alabama Medicaid Agency administers health coverage for eligible low-income residents, pregnant women, children, and people with disabilities statewide, including plan first family planning coverage and coordination with the ACA marketplace. Returning citizens can apply for Medicaid before or immediately after release to secure prescription and primary care coverage; recipient services staff help with enrollment questions and eligibility appeals by phone.","La Agencia de Medicaid de Alabama administra la cobertura de salud para residentes elegibles de bajos ingresos, mujeres embarazadas, niños y personas con discapacidades en todo el estado, incluida la cobertura de planificación familiar Plan First y coordinación con el mercado de la ACA. Los ciudadanos que regresan pueden solicitar Medicaid antes o inmediatamente después de la liberación para asegurar cobertura de recetas y atención primaria.",501 Dexter Avenue,Montgomery,1-800-362-1504,,https://medicaid.alabama.gov,"Alabama residents meeting income and category requirements (children, pregnant women, disabled adults, some low-income parents); Alabama has not expanded Medicaid to all low-income adults.","Residentes de Alabama que cumplan requisitos de ingresos y categoría (niños, mujeres embarazadas, adultos discapacitados, algunos padres de bajos ingresos); Alabama no ha expandido Medicaid a todos los adultos de bajos ingresos.",Apply through mydhr.alabama.gov or call 1-800-362-1504; ask about presumptive eligibility for pregnant applicants and disability-based categories.,Solicite a través de mydhr.alabama.gov o llame al 1-800-362-1504; pregunte sobre elegibilidad presuntiva para embarazadas y categorías por discapacidad.,"Recipient call center Monday–Friday, 8:00 a.m.–5:00 p.m. CT",statewide|healthcare|Medicaid|health-insurance|reentry,Medicaid application assistance|Eligibility determination|Plan First family planning coverage|Recipient services helpline|Appeals support,Montgomery,,statewide
5,Alabama 211,state-agency,Statewide,"Alabama 211 is a free statewide information and referral service connecting residents to health and human services including housing, food, utilities, employment, and crisis support across all 67 counties. United Way-supported navigators, coordinated through Connect Alabama 211, help callers find local programs by need and ZIP code by phone or online. Alabama 211 is a referral service—not a direct-service provider.","Alabama 211 es un servicio gratuito de información y referencia estatal que conecta a residentes con servicios de salud y humanos incluyendo vivienda, alimentos, servicios públicos, empleo y apoyo en crisis en los 67 condados. Navegadores apoyados por United Way, coordinados a través de Connect Alabama 211, ayudan a encontrar programas locales por necesidad y código postal. Es un servicio de referencia, no un proveedor directo.",,,211,,https://www.uwca.org/211,Open to all Alabama residents; no criminal-record restrictions stated.,Abierto a todos los residentes de Alabama; sin restricciones de antecedentes indicadas.,"Dial 211 from any Alabama phone, or 1-888-421-1266 if 211 is unavailable in your area; search resources online at uwca.org/211.","Marque 211 desde cualquier teléfono de Alabama, o 1-888-421-1266 si 211 no está disponible en su área; busque recursos en uwca.org/211.",Available during published service hours; check uwca.org/211,statewide|hotline|211|referral-only|basic-needs,Information and referral|Housing resource navigation|Benefits referrals|Crisis resource connections,,,statewide
6,Legal Services Alabama — Statewide Intake,legal-aid,Statewide,"Legal Services Alabama is the state's primary nonprofit civil legal aid provider serving low-income Alabamians with housing, public benefits, family law, and criminal record relief including expungement and certificates of eligibility under Alabama's Clean Slate law. Centralized statewide intake routes callers to regional offices in Birmingham, Montgomery, Mobile, Huntsville, and Dothan—not criminal defense representation.","Legal Services Alabama es el principal proveedor sin fines de lucro de asistencia legal civil del estado que sirve a personas de bajos ingresos con vivienda, beneficios públicos, derecho familiar y alivio de antecedentes penales incluida la expungación bajo la ley Clean Slate de Alabama. La admisión centralizada enruta a oficinas regionales en Birmingham, Montgomery, Mobile, Huntsville y Dothan, no defensa penal.","2001 Park Place North, Suite 700",Montgomery,1-866-456-4995,,https://www.alslegal.org,Low-income Alabama residents with non-criminal legal problems; LSC income limits apply; offense-type restrictions may apply for record relief eligibility.,Residentes de Alabama de bajos ingresos con problemas legales no penales; aplican límites de ingresos LSC; pueden aplicar restricciones por tipo de delito para alivio de antecedentes.,Apply online at alslegal.org or call 1-866-456-4995; regional offices serve specific counties listed on the website.,Solicite en alslegal.org o llame al 1-866-456-4995; las oficinas regionales sirven condados específicos listados en el sitio web.,Intake Monday–Friday business hours; online application 24/7,statewide|legal-aid|low-income|expungement|clean-slate|hotline,Civil legal representation|Expungement assistance|Housing legal aid|Benefits advocacy|Regional office referrals,Montgomery,,statewide
7,Alabama Career Center System,employment,Statewide,"The Alabama Career Center System, operated by the Alabama Department of Labor, connects job seekers—including justice-involved Alabamians—to career centers, job matching, unemployment services, and WIOA training referrals through local workforce boards covering all 67 counties. Fair-chance employer partnerships and reentry-focused case management coordinate through Career Center offices for returning citizens seeking sustainable employment.","El Sistema de Centros de Carrera de Alabama, operado por el Departamento de Trabajo de Alabama, conecta a buscadores de empleo—incluidos alabameños con antecedentes penales—con centros de carrera, coincidencia de empleo, servicios de desempleo y referencias de capacitación WIOA a través de juntas de fuerza laboral locales en los 67 condados. Las alianzas de empleo de segunda oportunidad se coordinan a través de las oficinas de Career Center.",649 Monroe Street,Montgomery,334-242-8003,,https://joblink.alabama.gov,Open to Alabama job seekers including justice-involved individuals; core career center services are free.,Abierto a buscadores de empleo de Alabama incluidas personas con antecedentes penales; servicios básicos del centro de carrera son gratuitos.,Find your nearest Career Center at joblink.alabama.gov; register online for job search tools and WIOA training referrals.,Encuentre su Career Center más cercano en joblink.alabama.gov; regístrese en línea para herramientas de búsqueda de empleo y referencias de capacitación WIOA.,Career centers Monday–Friday business hours,statewide|employment|career-center|WIOA|fair-chance|reentry,Job search assistance|Career coaching|WIOA training referrals|Unemployment services|Fair-chance employment navigation,Montgomery,,statewide
8,AIDT — Alabama Industrial Development Training,employment,Statewide,"AIDT is Alabama's workforce development agency providing free industrial and manufacturing skills training, pre-employment assessments, and employer-specific training programs statewide, including at the Alabama Robotics Technology Park. Justice-involved Alabamians can access short-term credential training in welding, forklift operation, industrial maintenance, and other in-demand trades that connect directly to regional employer partnerships.","AIDT es la agencia de desarrollo de fuerza laboral de Alabama que ofrece capacitación gratuita en habilidades industriales y de manufactura, evaluaciones previas al empleo y programas de capacitación específicos para empleadores en todo el estado, incluido el Alabama Robotics Technology Park. Los alabameños con antecedentes penales pueden acceder a capacitación de credenciales a corto plazo en soldadura, operación de montacargas y mantenimiento industrial.",3920 Trade Center Way,Montgomery,334-242-4158,,https://www.aidt.edu,Alabama residents seeking industrial or manufacturing job skills training; some programs require employer sponsorship or referral from a Career Center.,Residentes de Alabama que buscan capacitación en habilidades industriales o de manufactura; algunos programas requieren patrocinio del empleador o referencia de un Career Center.,Browse current training programs at aidt.edu; ask your Alabama Career Center about AIDT referrals and the Alabama Robotics Technology Park schedule.,Explore los programas de capacitación actuales en aidt.edu; pregunte en su Alabama Career Center sobre referencias a AIDT y el calendario del Alabama Robotics Technology Park.,Training schedules vary by program and site,statewide|employment|AIDT|workforce-training|manufacturing|reentry,Industrial skills training|Manufacturing credential programs|Pre-employment assessments|Employer-specific training|Robotics technology training,Montgomery,,statewide
9,Alabama Department of Rehabilitation Services (ADRS),employment,Statewide,"The Alabama Department of Rehabilitation Services helps Alabamians with disabilities—including justice-involved individuals with qualifying disabilities—prepare for, obtain, and maintain employment through vocational counseling, assistive technology, training, and job placement at district offices statewide. ADRS coordinates with Career Centers and ADOC reentry programs for disability employment supports before and after release.","El Departamento de Servicios de Rehabilitación de Alabama ayuda a alabameños con discapacidades—incluidas personas con antecedentes penales con discapacidades calificadas—a prepararse, obtener y mantener empleo mediante consejería vocacional, tecnología de asistencia, capacitación y colocación laboral en oficinas de distrito en todo el estado. ADRS coordina con Career Centers y programas de reinserción de ADOC.",602 South Lawrence Street,Montgomery,1-800-441-7607,,https://www.rehab.alabama.gov,"Alabama residents with physical, mental, or developmental disabilities that create employment barriers; eligibility determined through ADRS assessment.","Residentes de Alabama con discapacidades físicas, mentales o del desarrollo que crean barreras laborales; elegibilidad determinada por evaluación de ADRS.",Apply at rehab.alabama.gov or call 1-800-441-7607; district office locations are listed on the ADRS website.,Solicite en rehab.alabama.gov o llame al 1-800-441-7607; las ubicaciones de oficinas de distrito están en el sitio web de ADRS.,District offices Monday–Friday business hours,statewide|employment|ADRS|disability|vocational-rehabilitation|reentry,Vocational counseling|Job placement|Assistive technology|Skills training|Disability employment supports,Montgomery,,statewide
10,Alabama Department of Mental Health (ADMH),healthcare,Statewide,"The Alabama Department of Mental Health oversees the statewide network of Community Mental Health Centers and substance use treatment providers serving Alabamians with mental illness, substance use disorders, and developmental disabilities. ADMH funds crisis services, the Alabama Warm Line peer support line, and treatment coordination for justice-involved individuals through regional centers—not a direct crisis hotline itself.","El Departamento de Salud Mental de Alabama supervisa la red estatal de Centros Comunitarios de Salud Mental y proveedores de tratamiento de uso de sustancias que sirven a alabameños con enfermedades mentales, trastornos por uso de sustancias y discapacidades del desarrollo. ADMH financia servicios de crisis, la línea de apoyo entre pares Alabama Warm Line y coordinación de tratamiento para personas con antecedentes penales.",100 North Union Street,Montgomery,334-242-3454,,https://mh.alabama.gov,"Alabama residents seeking mental health, substance use, or developmental disability services; individual center eligibility and fees vary by income.","Residentes de Alabama que buscan servicios de salud mental, uso de sustancias o discapacidad del desarrollo; la elegibilidad y tarifas varían por centro e ingresos.",Find your local Community Mental Health Center at mh.alabama.gov; call 988 for immediate crisis support statewide.,Encuentre su Centro Comunitario de Salud Mental local en mh.alabama.gov; llame al 988 para apoyo inmediato en crisis en todo el estado.,State office Monday–Friday business hours; local centers vary,statewide|healthcare|ADMH|mental-health|substance-use|reentry,Community mental health center referrals|Substance use treatment coordination|Crisis services funding|Peer support program oversight|Developmental disability services,Montgomery,,statewide
