id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
1,Georgia Department of Corrections — Reentry Services,state-agency,Statewide,"The Georgia Department of Corrections Reentry Services unit coordinates statewide pre-release planning, transitional programming, and community partner connections for individuals preparing to leave GDC custody. Staff work with the Department of Community Supervision, local nonprofits, and workforce agencies on housing, employment, and treatment referrals before and after release. This office provides planning and referrals—not a walk-in crisis line or emergency cash provider.","La unidad de Servicios de Reinserción del Departamento de Correcciones de Georgia coordina planificación previa a la liberación, programación de transición y conexiones con aliados comunitarios para personas que preparan salir de custodia de GDC. El personal trabaja con Supervisión Comunitaria, organizaciones locales y agencias de fuerza laboral sobre vivienda, empleo y referencias de tratamiento. Esta oficina ofrece planificación y referencias, no es una línea de crisis ni proveedor de efectivo de emergencia.",300 Patrol Road,Forsyth,478-992-5247,,https://gdc.georgia.gov/reentry-services,Individuals in GDC custody or recently released seeking state reentry coordination; community partners seeking GDC engagement.,Personas en custodia de GDC o recién liberadas que buscan coordinación estatal de reinserción; aliados comunitarios.,Visit gdc.georgia.gov/reentry-services; coordinate through facility reentry staff and assigned DCS officer after release.,Visite gdc.georgia.gov/reentry-services; coordine a través del personal de reinserción de la instalación y el oficial de DCS asignado.,State office Monday–Friday business hours,statewide|reentry|GDC|DOC|pre-release|parole,Pre-release planning|Transitional programming coordination|Community partner referrals|Reentry resource navigation|DCS linkage,Monroe,,statewide,accepts_criminal_record
2,Georgia Board of Pardons and Paroles — Statewide,probation-parole,Statewide,"The Georgia State Board of Pardons and Paroles supervises parole decisions, clemency petitions, and community supervision policy for adults released from Georgia prisons. Field offices across Georgia manage parole reporting, supervision compliance, and referrals to reentry partners for returning citizens. Contact your assigned parole officer or regional office—not emergency housing or crisis services.","La Junta Estatal de Indultos y Libertad Condicional de Georgia supervisa decisiones de libertad condicional, peticiones de clemencia y política de supervisión comunitaria para adultos liberados de prisiones de Georgia. Las oficinas de campo gestionan reportes de libertad condicional, cumplimiento de supervisión y referencias a aliados de reinserción. Contacte a su oficial de libertad condicional asignado, no es vivienda de emergencia.",2 Martin Luther King Jr. Drive SE,Atlanta,404-656-5651,,https://pap.georgia.gov,Individuals under Georgia parole supervision or seeking clemency or pardon information; victims may register for notification services.,Personas bajo supervisión de libertad condicional de Georgia o que buscan información sobre clemencia o indulto.,Find regional field offices at pap.georgia.gov/locations; report to assigned parole officer per supervision conditions.,Encuentre oficinas regionales en pap.georgia.gov/locations; reporte al oficial de libertad condicional asignado.,"State office Monday–Friday, 8:00 a.m.–5:00 p.m. ET",statewide|parole|probation-parole|BPP|reentry,Parole supervision coordination|Clemency and pardon information|Field office referrals|Supervision compliance guidance,Fulton,,statewide,accepts_criminal_record
3,COMPASS — Georgia Benefits Portal,financial-assistance,Statewide,"COMPASS is Georgia's official statewide online portal for applying for and managing Medicaid, PeachCare for Kids, SNAP food assistance, TANF cash benefits, child care subsidies, and energy assistance through the Department of Human Services Division of Family & Children Services. Justice-involved Georgians can apply for health coverage and food support after release; county DFCS offices assist with verification and redetermination.","COMPASS es el portal en línea oficial de Georgia para solicitar y administrar Medicaid, PeachCare, SNAP, asistencia en efectivo TANF, subsidios de cuidado infantil y asistencia energética a través de DFCS. Personas en reinserción pueden solicitar cobertura de salud y apoyo alimentario después de la liberación; las oficinas DFCS del condado ayudan con verificación.",,,1-877-423-4746,,https://compass.ga.gov,"Georgia residents meeting income and program requirements for Medicaid, SNAP, or cash assistance; criminal record generally not a barrier.","Residentes de Georgia que cumplan requisitos de ingresos para Medicaid, SNAP o asistencia en efectivo; los antecedentes penales generalmente no son barrera.",Apply online at compass.ga.gov; call 1-877-423-4746 for DFCS Customer Contact Center; county offices at dfcs.georgia.gov/locations.,Solicite en compass.ga.gov; llame al 1-877-423-4746; oficinas del condado en dfcs.georgia.gov/locations.,Online 24/7; DFCS office hours vary by county,statewide|benefits|SNAP|Medicaid|COMPASS|online|reentry,Medicaid application|SNAP enrollment|Cash assistance application|PeachCare enrollment|Benefits account management,,,statewide,accepts_criminal_record
4,DFCS — Family Assistance & Benefits Overview,financial-assistance,Statewide,"The Georgia Division of Family & Children Services administers SNAP, Medicaid, PeachCare, TANF, and child care assistance through county DFCS offices in all 159 counties and the COMPASS online portal. DFCS helps returning citizens establish food and health benefits after release from GDC custody or county jails with local staff assisting document verification.","La División de Servicios Familiares y para Niños de Georgia administra SNAP, Medicaid, PeachCare, TANF y asistencia de cuidado infantil a través de oficinas DFCS en los 159 condados y el portal COMPASS. DFCS ayuda a ciudadanos que regresan a establecer beneficios alimentarios y de salud después de la liberación con personal local que asiste con verificación de documentos.",2 Peachtree Street NW,Atlanta,1-877-423-4746,,https://dfcs.georgia.gov,Georgia residents meeting income and household-size requirements; criminal record generally not a barrier to SNAP and Medicaid.,Residentes de Georgia que cumplan requisitos de ingresos y tamaño del hogar; los antecedentes penales generalmente no son barrera para SNAP y Medicaid.,Apply at compass.ga.gov or visit your county DFCS office; call 1-877-423-4746; bring ID and release documents.,Solicite en compass.ga.gov o visite su oficina DFCS del condado; llame al 1-877-423-4746; traiga identificación y documentos de liberación.,"County offices typically Tuesday–Thursday, 9:00 a.m.–4:00 p.m. ET",statewide|benefits|SNAP|Medicaid|DFCS|reentry,SNAP enrollment|Medicaid application|Cash assistance|TANF|County field office referrals,Fulton,,statewide,accepts_criminal_record
5,211 Georgia,state-agency,Statewide,"211 Georgia is a free statewide information and referral service connecting residents to health and human services including housing, food, utilities, employment, and crisis support across all 159 counties. United Way-supported navigators help callers find local programs by need and ZIP code. 211 Georgia is a referral line—not a direct-service provider.","211 Georgia es un servicio gratuito de información y referencia estatal que conecta a residentes con servicios de salud y humanos incluyendo vivienda, alimentos, servicios públicos, empleo y apoyo en crisis en los 159 condados. Navegadores apoyados por United Way ayudan a encontrar programas locales por necesidad y código postal. Es una línea de referencia, no un proveedor directo.",,,211,,https://georgia211.org,Open to all Georgia residents; no criminal-record restrictions stated.,Abierto a todos los residentes de Georgia; sin restricciones de antecedentes indicadas.,Dial 211 from any Georgia phone; search resources online at georgia211.org; available for information and referral.,Marque 211 desde cualquier teléfono de Georgia; busque recursos en georgia211.org.,Available during published service hours; check georgia211.org,statewide|hotline|211|referral-only|basic-needs,Information and referral|Housing resource navigation|Benefits referrals|Crisis resource connections,,,statewide,
6,Georgia Legal Services Program — Statewide Intake,legal-aid,Statewide,"Georgia Legal Services Program is the state's primary nonprofit civil legal aid provider serving low-income Georgians outside metro Atlanta with housing, public benefits, family law, and criminal record restriction assistance under Georgia's record restriction statutes. Centralized intake routes callers to regional offices—not criminal defense.","Georgia Legal Services Program es el principal proveedor sin fines de lucro de asistencia legal civil del estado que sirve a georgianos de bajos ingresos fuera del área metropolitana de Atlanta con vivienda, beneficios públicos, derecho familiar y restricción de registros penales. La admisión centralizada enruta a oficinas regionales, no defensa penal.",104 Marietta Street NW,Atlanta,1-800-498-9469,,https://www.glsp.org,"Low-income Georgia residents outside Fulton, DeKalb, Clayton, Cobb, and Gwinnett with non-criminal legal problems; LSC income limits apply.","Residentes de Georgia de bajos ingresos fuera de Fulton, DeKalb, Clayton, Cobb y Gwinnett con problemas legales no penales; aplican límites de ingresos LSC.",Apply online at glsp.org or call 1-800-498-9469; metro Atlanta residents use Atlanta Legal Aid at atlantalegalaid.org.,Solicite en glsp.org o llame al 1-800-498-9469; residentes del metro de Atlanta usen Atlanta Legal Aid.,Intake Monday–Friday business hours; online application 24/7,statewide|legal-aid|low-income|record-restriction|hotline,Civil legal representation|Record restriction assistance|Housing legal aid|Benefits advocacy|Regional office referrals,Fulton,,statewide,
7,Georgia Department of Labor — WorkSource Georgia,employment,Statewide,"WorkSource Georgia is the statewide workforce system connecting job seekers—including justice-involved Georgians—to American Job Centers, career coaching, unemployment services, and WIOA training referrals through regional career centers covering all 159 counties. Georgia CALLS fair-chance employer partnerships and GVRA disability employment supports are coordinated through WorkSource partners.","WorkSource Georgia es el sistema estatal de fuerza laboral que conecta a buscadores de empleo—incluidos georgianos con antecedentes penales—a Centros de Empleo Americanos, coaching de carrera, servicios de desempleo y referencias de capacitación WIOA a través de centros de carrera regionales en los 159 condados. Las alianzas de empleo justo de Georgia CALLS se coordinan a través de aliados WorkSource.",148 Andrew Young International Boulevard NE,Atlanta,404-232-3000,,https://dol.georgia.gov/worksource-georgia,Open to Georgia job seekers including justice-involved individuals; core career center services are free.,Abierto a buscadores de empleo de Georgia incluidas personas con antecedentes penales; servicios básicos del centro de carrera son gratuitos.,Find your nearest career center at dol.georgia.gov/locations/career-center; register at employgeorgia.com.,Encuentre su centro de carrera más cercano en dol.georgia.gov/locations/career-center; regístrese en employgeorgia.com.,Career centers Monday–Friday business hours,statewide|employment|WorkSource|AJC|WIOA|Georgia-CALLS,Job search assistance|Career coaching|WIOA training referrals|Unemployment services|Fair-chance employment navigation,Fulton,,statewide,accepts_criminal_record
8,Georgia Vocational Rehabilitation Agency — Statewide,employment,Statewide,"The Georgia Vocational Rehabilitation Agency helps Georgians with disabilities—including justice-involved individuals with qualifying disabilities—prepare for, obtain, and maintain employment through counseling, training, job placement, and employer partnerships. GVRA offices statewide coordinate with WorkSource Georgia and DCS reentry programs. An employment rehabilitation agency—not emergency cash or housing.","La Agencia de Rehabilitación Vocacional de Georgia ayuda a georgianos con discapacidades—incluidas personas con antecedentes penales con discapacidades calificadas—a prepararse, obtener y mantener empleo a través de consejería, capacitación, colocación laboral y alianzas con empleadores. Las oficinas GVRA en todo el estado coordinan con WorkSource Georgia y programas de reinserción de DCS.",1600 Clarendon Avenue,Atlanta,844-367-4872,,https://gvra.georgia.gov,Georgia residents with physical or mental disabilities that create employment barriers; eligibility determined through GVRA assessment.,Residentes de Georgia con discapacidades físicas o mentales que crean barreras laborales; elegibilidad determinada por evaluación GVRA.,Apply at gvra.georgia.gov or call 844-367-4872; offices listed at gvra.georgia.gov/about/locations.,Solicite en gvra.georgia.gov o llame al 844-367-4872; oficinas en gvra.georgia.gov/about/locations.,State and regional offices Monday–Friday business hours,statewide|employment|GVRA|disability|reentry|WIOA,Vocational counseling|Job placement|Skills training|Employer partnerships|Disability employment supports,Fulton,,statewide,accepts_criminal_record
9,Georgia Crisis & Access Line (GCAL),healthcare,Statewide,"The Georgia Crisis & Access Line provides free confidential 24/7 crisis intervention, mental health support, and substance use crisis referrals for Georgia residents. Trained specialists connect callers to local mobile crisis teams and treatment providers statewide. Essential for justice-involved individuals experiencing behavioral health emergencies—not a reentry housing or benefits line.","La Línea de Crisis y Acceso de Georgia ofrece intervención de crisis gratuita y confidencial 24/7, apoyo de salud mental y referencias de crisis por uso de sustancias para residentes de Georgia. Especialistas capacitados conectan a llamantes con equipos de crisis móviles y proveedores de tratamiento. Esencial para personas con antecedentes penales en emergencias de salud conductual.",,,800-715-4225,,https://www.mygcal.com,"Open to anyone in Georgia experiencing a mental health, substance use, or developmental disability crisis.","Abierto a cualquier persona en Georgia en crisis de salud mental, uso de sustancias o discapacidad del desarrollo.",Call 800-715-4225 or text GA to 741741; also dial 988 for Suicide & Crisis Lifeline; Spanish-language support available.,Llame al 800-715-4225 o envíe GA al 741741; también marque 988; soporte en español disponible.,Available 24/7,statewide|hotline|crisis|mental-health|GCAL|988,Crisis counseling|Mental health referrals|Substance use crisis support|Mobile crisis team dispatch,,,statewide,
10,988 Suicide & Crisis Lifeline — Georgia,healthcare,Statewide,"Free confidential 24/7 crisis support for people experiencing mental health emergencies, suicidal thoughts, or substance use crises in Georgia. Trained specialists provide immediate support and can connect callers to local mobile crisis teams through GCAL. Available to anyone—not reentry-specific but essential for justice-involved individuals in crisis.","Apoyo gratuito y confidencial 24/7 para emergencias de salud mental, pensamientos suicidas o crisis por uso de sustancias en Georgia. Especialistas capacitados ofrecen apoyo inmediato y conexión a equipos de crisis móviles a través de GCAL. Disponible para cualquier persona, esencial para personas con antecedentes penales en crisis.",,,988,,https://988lifeline.org,Open to anyone in Georgia experiencing a mental health or suicide crisis; no eligibility restrictions.,Abierto a cualquier persona en Georgia en crisis de salud mental o suicidio; sin restricciones.,Call or text 988; Spanish-language support available. For immediate physical danger call 911.,Llame o envíe texto al 988; soporte en español disponible. Para peligro físico inmediato llame al 911.,Available 24/7,statewide|hotline|crisis|mental-health|988,Crisis counseling|Suicide prevention support|Mental health referrals|Substance use crisis support,,,statewide,
