source_url,source_type,date_accessed,confidence,notes,id_reference
https://gdc.georgia.gov/reentry-services,government,2026-06-24,high,Resource id 1: Georgia Department of Corrections — Reentry Services,1
https://pap.georgia.gov,government,2026-06-24,high,Resource id 2: Georgia Board of Pardons and Paroles — Statewide,2
https://compass.ga.gov,government,2026-06-24,high,Resource id 3: COMPASS — Georgia Benefits Portal,3
https://dfcs.georgia.gov,government,2026-06-24,high,Resource id 4: DFCS — Family Assistance & Benefits Overview,4
https://georgia211.org,nonprofit,2026-06-24,high,Resource id 5: 211 Georgia,5
https://www.glsp.org,nonprofit,2026-06-24,high,Resource id 6: Georgia Legal Services Program — Statewide Intake,6
https://dol.georgia.gov/worksource-georgia,government,2026-06-24,high,Resource id 7: Georgia Department of Labor — WorkSource Georgia,7
https://gvra.georgia.gov,government,2026-06-24,high,Resource id 8: Georgia Vocational Rehabilitation Agency — Statewide,8
https://www.mygcal.com,government,2026-06-24,high,Resource id 9: Georgia Crisis & Access Line (GCAL),9
https://988lifeline.org,government,2026-06-24,high,Resource id 10: 988 Suicide & Crisis Lifeline — Georgia,10
https://www.samhsa.gov/find-help/national-helpline,government,2026-06-24,high,Resource id 11: SAMHSA National Helpline,11
https://findtreatment.gov,government,2026-06-24,high,Resource id 12: FindTreatment.gov — Georgia Provider Search,12
https://dds.georgia.gov,government,2026-06-24,high,Resource id 13: Georgia Department of Driver Services — ID Services,13
https://dph.georgia.gov/vital-records,government,2026-06-24,high,Resource id 14: Georgia Department of Public Health — Vital Records,14
https://veterans.georgia.gov,government,2026-06-24,high,Resource id 15: Georgia Department of Veterans Service — Reentry Supports,15
https://actionministries.net,nonprofit,2026-06-24,high,Resource id 16: Action Ministries — Reentry & Housing (Atlanta),16
https://www.crossroadsatlanta.org,nonprofit,2026-06-24,high,Resource id 17: Crossroads Community Ministries — Atlanta,17
https://www.unionmission.org,nonprofit,2026-06-24,high,Resource id 18: Union Mission — Savannah Reentry Services,18
https://www.valleyrescuemission.org,nonprofit,2026-06-24,high,Resource id 19: Valley Rescue Mission — Columbus,19
https://www.goldenharvest.org,nonprofit,2026-06-24,high,Resource id 20: Golden Harvest Food Bank — Augusta,20
https://www.mbeoc.org,nonprofit,2026-06-24,high,Resource id 21: Macon-Bibb Economic Opportunity Council — Reentry,21
https://dca.georgia.gov/affordable-housing/special-needs-housing/reentry-partnership-housing-rph,government,2026-06-24,high,Resource id 22: Georgia Department of Community Supervision — Reentry Partnership Housing (RPH),22
https://dcs.georgia.gov/reentry-services,government,2026-06-24,high,Resource id 23: Georgia Department of Community Supervision — Reentry Services,23
https://gvs.georgia.gov/,government,2026-06-24,high,Resource id 24: Georgia Vocational Rehabilitation Agency (GVRA),24
https://georgiacalls.org/,nonprofit,2026-06-24,high,Resource id 25: Georgia CALLS — Reentry Employment Network,25
https://gjpc.org/,nonprofit,2026-06-24,high,Resource id 26: Georgia Justice Project,26
https://www.glsp.org/,nonprofit,2026-06-24,high,Resource id 27: Georgia Legal Services Program,27
https://veterans.georgia.gov/,government,2026-06-24,high,Resource id 28: Georgia Department of Veterans Service,28
https://gatewayctr.org,nonprofit,2026-06-24,high,Resource id 29: Gateway Center Atlanta,29
https://atlantamission.org,nonprofit,2026-06-24,high,Resource id 30: Atlanta Mission — The Shepherd's Inn (Men),30
https://atlantamission.org,nonprofit,2026-06-24,high,Resource id 31: Atlanta Mission — My Sister's House (Women),31
https://cityofrefugeatl.org,nonprofit,2026-06-24,high,Resource id 32: City of Refuge — Transitional Housing,32
https://hopeatlanta.org,nonprofit,2026-06-24,high,Resource id 33: HOPE Atlanta — Reentry Housing Navigation,33
https://nicholashouse.org,nonprofit,2026-06-24,high,Resource id 34: Nicholas House — Family Shelter & Rehousing,34
https://maryhallfreedomhouse.org,nonprofit,2026-06-24,high,Resource id 35: Mary Hall Freedom House — Women's Recovery Housing,35
https://phoenixpass.org,nonprofit,2026-06-24,high,Resource id 36: Phoenix Pass — Women's Recovery Residence,36
https://livesaferesources.org,nonprofit,2026-06-24,high,Resource id 37: LiveSafe Resources — Emergency Shelter (Cobb),37
https://restartatlanta.org,nonprofit,2026-06-24,high,Resource id 38: ReStart Atlanta — Men's Transitional Housing,38
https://firststepstaffing.com,nonprofit,2026-06-24,high,Resource id 39: First Step Staffing — Atlanta,39
https://goodwillng.org,nonprofit,2026-06-24,high,Resource id 40: Goodwill of North Georgia — Career Centers,40
https://atlworks.org,nonprofit,2026-06-24,high,Resource id 41: WorkSource Metro Atlanta — Career Resource Centers,41
https://mercyatl.org,nonprofit,2026-06-24,high,Resource id 42: Mercy Care — FQHC Atlanta,42
https://www.gradyhealth.org,nonprofit,2026-06-24,high,Resource id 43: Grady Health System — Reentry Health Services,43
https://stjudesrecovery.org,nonprofit,2026-06-24,high,Resource id 44: St. Jude's Recovery Center — Atlanta,44
https://www.anchorhospital.com,nonprofit,2026-06-24,high,Resource id 45: Anchor Hospital — Behavioral Health & SUD,45
https://atlantatech.edu,nonprofit,2026-06-24,high,Resource id 46: Atlanta Technical College — Adult Education & GED,46
https://www.va.gov/atlanta-health-care/,nonprofit,2026-06-24,high,Resource id 47: Atlanta VA Health Care System,47
https://mustministries.org,nonprofit,2026-06-24,high,Resource id 48: MUST Ministries — Cobb County Services,48
https://www.acfb.org,nonprofit,2026-06-24,high,Resource id 49: Atlanta Community Food Bank,49
https://gasubstanceabuse.org,nonprofit,2026-06-24,high,Resource id 50: Georgia Council on Substance Abuse — Peer Support,50
https://www.itsmarta.com,nonprofit,2026-06-24,high,Resource id 51: MARTA — Reduced Fare Program,51
https://www.atlantalegalaid.org,nonprofit,2026-06-24,high,Resource id 52: Atlanta Legal Aid Society,52
https://garronline.org,nonprofit,2026-06-24,high,Resource id 53: Georgia Association of Recovery Residences (GARR),53
https://unionmission.org,nonprofit,2026-06-24,high,Resource id 54: Union Mission — Augusta Campus,54
https://goldenharvest.org,nonprofit,2026-06-24,high,Resource id 55: Golden Harvest Food Bank,55
https://www.worksourcecsra.org,nonprofit,2026-06-24,high,Resource id 56: WorkSource CSRA — Augusta Career Center,56
https://www.serenitybhs.org,nonprofit,2026-06-24,high,Resource id 57: Serenity Behavioral Health Systems — Augusta,57
https://dbhdd.georgia.gov,government,2026-06-24,high,Resource id 58: East Central Regional Hospital — Behavioral Health,58
https://www.glsp.org,nonprofit,2026-06-24,high,Resource id 59: CSRA Legal Services — Augusta Office,59
https://actionministries.net,nonprofit,2026-06-24,high,Resource id 60: Action Ministries — Augusta Housing & Services,60
https://augustarescuemission.org,nonprofit,2026-06-24,high,Resource id 61: Augusta Rescue Mission,61
https://veterans.georgia.gov,government,2026-06-24,high,Resource id 62: Veterans of Foreign Wars — Augusta Veterans Services Navigation,62
https://feedingthevalley.org,nonprofit,2026-06-24,high,Resource id 63: Feeding the Valley Food Bank,63
https://goodwillsr.org,nonprofit,2026-06-24,high,Resource id 64: Goodwill Southern Rivers — Columbus Career Center,64
https://www.valleyhealthcared.org,nonprofit,2026-06-24,high,Resource id 65: Valley Healthcare System — FQHC Columbus,65
https://www.stfrancishealth.org,nonprofit,2026-06-24,high,Resource id 66: Bradley Center of St. Francis — SUD Treatment,66
https://houseofmercycolumbus.org,nonprofit,2026-06-24,high,Resource id 67: House of Mercy — Columbus Transitional Housing,67
https://www.lawestga.org,nonprofit,2026-06-24,high,Resource id 68: Legal Aid of West Georgia — Columbus Office,68
https://www.newhorizonsbh.org,nonprofit,2026-06-24,high,Resource id 69: New Horizons Behavioral Health — Columbus,69
https://opendoorcolumbus.org,nonprofit,2026-06-24,high,Resource id 70: Open Door Community House — Basic Needs,70
https://mgcfb.org,nonprofit,2026-06-24,high,Resource id 71: Middle Georgia Community Food Bank,71
https://www.river-edge.org,nonprofit,2026-06-24,high,Resource id 72: River Edge Behavioral Health — Macon,72
https://www.centralgatech.edu,nonprofit,2026-06-24,high,Resource id 73: Central Georgia Technical College — Adult Education,73
https://salvationarmygeorgia.org/macon,nonprofit,2026-06-24,high,Resource id 74: Salvation Army — Macon Emergency Shelter,74
https://maconbibeoc.org,nonprofit,2026-06-24,high,Resource id 75: Macon-Bibb County Economic Opportunity Council,75
https://www.piedmont.org,nonprofit,2026-06-24,high,Resource id 76: Piedmont Macon Medical Center — Behavioral Health,76
https://daybreakmacon.org,nonprofit,2026-06-24,high,Resource id 77: Daybreak — Macon Day Center,77
https://www.glsp.org,nonprofit,2026-06-24,high,Resource id 78: Georgia Legal Services — Macon Office,78
https://goodwillworks.org,nonprofit,2026-06-24,high,Resource id 79: Goodwill Middle Georgia — Career Center,79
https://maconoutreach.org,nonprofit,2026-06-24,high,Resource id 80: Macon Outreach — Reentry Support,80
https://unionmission.org,nonprofit,2026-06-24,high,Resource id 81: Union Mission — Savannah Campus,81
https://helpendhunger.org,nonprofit,2026-06-24,high,Resource id 82: America's Second Harvest of Coastal Georgia,82
https://www.caaga.org,nonprofit,2026-06-24,high,Resource id 83: Coastal Georgia Area Community Action Authority,83
https://www.gatewaybhs.org,nonprofit,2026-06-24,high,Resource id 84: Gateway Behavioral Health Services — Savannah,84
https://emmaushouse.org,nonprofit,2026-06-24,high,Resource id 85: Emmaus House — Savannah Homeless Services,85
https://www.homelessauthority.org,nonprofit,2026-06-24,high,Resource id 86: Chatham-Savannah Authority for the Homeless,86
https://www.memorialhealth.com,nonprofit,2026-06-24,high,Resource id 87: Memorial Health University Medical Center — Behavioral Health,87
https://parkplaceyes.org,nonprofit,2026-06-24,high,Resource id 88: Park Place Outreach — Youth & Young Adult Services,88
https://stepupsavannah.org,nonprofit,2026-06-24,high,Resource id 89: Step Up Savannah — Poverty Reduction & Workforce,89
https://www.cobbsb.org,nonprofit,2026-06-24,high,Resource id 90: Cobb County Community Services Board,90
https://www.dekcsb.org,nonprofit,2026-06-24,high,Resource id 91: DeKalb County Community Service Board,91
https://ghms.org,nonprofit,2026-06-24,high,Resource id 92: Georgia Highlands Medical Services — Cobb Clinic,92
https://worksourcegwinnett.com,nonprofit,2026-06-24,high,Resource id 93: WorkSource Gwinnett — Career Center,93
https://crossroadscommunityministries.org,nonprofit,2026-06-24,high,Resource id 94: Crossroads Community Ministries — DeKalb,94
https://talbottrecovery.com,nonprofit,2026-06-24,high,Resource id 95: Talbott Recovery Campus — Atlanta,95
https://www.gwinnettcounty.com/web/gwinnett/departments/corrections,government,2026-06-24,high,Resource id 96: Gwinnett Reentry Intervention Program (GRIP),96
https://www.cobbsheriff.org,government,2026-06-24,high,Resource id 97: Cobb County Adult Detention Center — Reentry Planning,97
https://www.xpressga.com,government,2026-06-24,high,Resource id 98: GRTA Xpress — Regional Commuter Transit,98
https://remergeatl.org,nonprofit,2026-06-24,high,Resource id 99: ReMerge Atlanta — Maternal Justice & Reentry,99
https://chris180.org,nonprofit,2026-06-24,high,Resource id 100: CHRIS 180 — Reentry Behavioral Health,100
https://veohero.org,nonprofit,2026-06-24,high,Resource id 101: Veterans Empowerment Organization — Atlanta,101
https://www.oxfordhouse.org,nonprofit,2026-06-24,high,Resource id 102: Oxford House of Georgia — Recovery Housing Network,102
https://salvationarmygeorgia.org,nonprofit,2026-06-24,high,Resource id 103: Salvation Army — Cobb County Corps,103
https://www.dekalbcountyga.gov/transportation/ride,government,2026-06-24,high,Resource id 104: DeKalb County RIDE — Paratransit Services,104
https://dcs.georgia.gov,government,2026-06-24,high,Resource id 105: Georgia Department of Community Supervision — Fulton Field Office,105
https://innercityministries.org,nonprofit,2026-06-24,medium,Resource id 106: Inner City Ministries — Atlanta Basic Needs,106
https://www.columbusga.gov,government,2026-06-24,medium,Resource id 107: Columbus Consolidated Government — Reentry Task Force,107
https://www.chathamcountyga.gov,government,2026-06-24,medium,Resource id 108: Savannah/Chatham County Reentry Coalition,108
https://gasubstanceabuse.org,nonprofit,2026-06-24,high,Resource id 109: FOR Georgia — Peer Recovery Supports,109
https://www.augustaga.gov,government,2026-06-24,medium,Resource id 110: Augusta-Richmond County Reentry Services,110
https://www.centralgatech.edu,government,2026-06-24,high,Resource id 111: Central Georgia Technical College — Warner Robins Campus,111
https://dol.georgia.gov/locations/career-center,government,2026-06-24,high,Resource id 112: WorkSource Georgia — Albany Career Center,112
https://dol.georgia.gov/locations/career-center,government,2026-06-24,high,Resource id 113: WorkSource Georgia — Americus Career Center,113
https://dol.georgia.gov/locations/career-center,government,2026-06-24,high,Resource id 114: WorkSource Georgia — Athens Career Center,114
https://dol.georgia.gov/locations/career-center,government,2026-06-24,high,Resource id 115: WorkSource Georgia — Atlanta Career Center,115
https://dol.georgia.gov/locations/career-center,government,2026-06-24,high,Resource id 116: WorkSource Georgia — Augusta Career Center,116
https://dol.georgia.gov/locations/career-center,government,2026-06-24,high,Resource id 117: WorkSource Georgia — Blue Ridge Career Center,117
https://dol.georgia.gov/locations/career-center,government,2026-06-24,high,Resource id 118: WorkSource Georgia — Brunswick Career Center,118
https://dol.georgia.gov/locations/career-center,government,2026-06-24,high,Resource id 119: WorkSource Georgia — Carrollton Career Center,119
https://dol.georgia.gov/locations/career-center,government,2026-06-24,high,Resource id 120: WorkSource Georgia — Cartersville Career Center,120
https://dol.georgia.gov/locations/career-center,government,2026-06-24,high,Resource id 121: WorkSource Georgia — Clayton County Career Center,121
