id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
1,TDOC — Reentry Services,state-agency,Statewide,"The Tennessee Department of Correction Reentry Office coordinates statewide transition planning and connects people in custody or under community supervision with identification, employment, housing, veterans benefits, and local partners. Director Victoria Ricci's team supports pre-release readiness and community resource navigation across Tennessee. This office provides planning and referrals—not emergency crisis response.","La Oficina de Reinserción del Departamento de Corrección de Tennessee coordina la planificación estatal de transición y conecta a personas en custodia o bajo supervisión comunitaria con identificación, empleo, vivienda, beneficios para veteranos y aliados locales. El equipo de la directora Victoria Ricci apoya la preparación previa a la liberación en todo el estado. Esta oficina ofrece planificación y referencias, no respuesta de crisis.",320 Sixth Avenue North,Nashville,629-203-0151,Victoria.R.Ricci@tn.gov,https://www.tn.gov/correction/redirect---rehabilitation/reentry-services.html,"Generally serves Tennessee residents under TDOC custody, parole, probation, or seeking state reentry coordination.","Generalmente sirve a residentes de Tennessee bajo custodia del TDOC, libertad condicional, libertad probatoria o que buscan coordinación estatal de reinserción.",Contact Director Victoria Ricci at 629-203-0151 or Victoria.R.Ricci@tn.gov; see tn.gov/correction for TREC regional contacts and approved transitional housing lists.,Contacte a la directora Victoria Ricci al 629-203-0151; consulte tn.gov/correction para contactos regionales TREC y listas de vivienda transicional aprobada.,"Monday–Friday, 8:00 a.m.–4:30 p.m. CT",statewide|reentry|DOC|probation|parole|hotline,Reentry navigation|Document assistance|Partner referrals|Benefits navigation,Davidson,,statewide,
2,Tennessee Office of Offender Reentry (TOOR),employment,Statewide,"State workforce initiative connecting justice-involved Tennesseans to employment, training, and employer partnerships through American Job Centers and the Jobs4TN platform. TOOR coordinates fair-chance hiring outreach and links probation and parole officers to employment specialists statewide. An employment navigation program—not emergency housing or crisis services.","Iniciativa estatal de fuerza laboral que conecta a personas con antecedentes penales en Tennessee con empleo, capacitación y aliados empleadores a través de Centros de Empleo Americanos y la plataforma Jobs4TN. TOOR coordina contratación de segunda oportunidad y vincula oficiales de libertad condicional con especialistas en empleo. Es un programa de navegación laboral, no de vivienda de emergencia.",220 French Landing Drive,Nashville,,Reentry@tn.gov,https://www.tn.gov/workforce/reentrytn.html,Justice-involved Tennessee residents seeking employment after incarceration or under community supervision; contact regional workforce partners for intake.,Residentes de Tennessee con antecedentes penales que buscan empleo después de la encarcelación o bajo supervisión comunitaria; contacte aliados regionales de fuerza laboral.,Email Reentry@tn.gov or visit tn.gov/workforce/reentrytn; probation officers may refer supervisees to local American Job Centers and Jobs4TN.gov.,Envíe correo a Reentry@tn.gov o visite tn.gov/workforce/reentrytn; los oficiales de libertad condicional pueden referir a Centros de Empleo locales.,Contact regional workforce board for hours,statewide|employment|reentry|fair-chance|Jobs4TN,Partner referrals|Employment assistance|Job readiness training,Davidson,,statewide,accepts_criminal_record
3,Tennessee Reentry Collaborative (TREC),reentry-organizations,Statewide,"TDOC initiative uniting state, local, and nonprofit agencies to build community pathways for parolees, probationers, and returning citizens across Tennessee. TREC regional administrators coordinate coalitions, resource fairs, and partner referrals in East, Middle, and West regions. A collaborative network—not a direct-service crisis provider.","Iniciativa del TDOC que une agencias estatales, locales y sin fines de lucro para crear caminos comunitarios para personas en libertad condicional y ciudadanos que regresan en Tennessee. Los administradores regionales TREC coordinan coaliciones, ferias de recursos y referencias en las regiones Este, Central y Oeste. Es una red colaborativa, no un proveedor directo de crisis.",320 Sixth Avenue North,Nashville,,Reentry.Collaborative@tn.gov,https://www.tn.gov/correction/redirect---rehabilitation/tennessee-reentry-collaborative--trec-.html,Justice-involved Tennessee residents and community partners seeking local reentry coalition connections.,Residentes de Tennessee con antecedentes penales y aliados comunitarios que buscan conexiones con coaliciones locales de reinserción.,"Contact East Sara Hodges 423-353-0971, Middle Shaundra Davis 615-587-5639, or West April Buckner 901-229-8024 for regional coalition information.","Contacte Este Sara Hodges 423-353-0971, Centro Shaundra Davis 615-587-5639 u Oeste April Buckner 901-229-8024 para información regional.",Regional administrators Monday–Friday business hours,statewide|reentry|coalition|TREC|referral-only,Reentry navigation|Partner referrals,Davidson,,statewide,accepts_criminal_record
4,TREC — East Region,reentry-organizations,East Tennessee,"Tennessee Reentry Collaborative East Region administrator connecting justice-involved residents in upper East Tennessee and the Tri-Cities to local reentry coalitions, TDOC community supervision partners, and employment resources. Sara Hodges coordinates regional outreach and community agency partnerships for successful reintegration. Contact for coalition referrals—not emergency housing or crisis response.","Administradora regional TREC del Este que conecta a residentes con antecedentes penales en el este alto de Tennessee y las Tri-Cities con coaliciones locales de reinserción, aliados de supervisión comunitaria del TDOC y recursos de empleo. Sara Hodges coordina alcance regional y alianzas comunitarias. Contacte para referencias de coalición, no para vivienda de emergencia.",,Knoxville,423-353-0971,Sara.Hodges@tn.gov,https://www.tn.gov/correction/redirect---rehabilitation/tennessee-reentry-collaborative--trec-.html,Justice-involved residents in TDOC East Region counties; community partners seeking TREC engagement.,Residentes con antecedentes penales en condados de la región Este del TDOC; aliados comunitarios que buscan participar en TREC.,Correctional Administrator Sara Hodges serves East Tennessee; email Sara.Hodges@tn.gov for coalition and partner referrals.,La administradora correccional Sara Hodges sirve el este de Tennessee; envíe correo a Sara.Hodges@tn.gov para referencias.,Monday–Friday business hours,east-tennessee|reentry|coalition|TREC|referral-only,Reentry navigation|Partner referrals,Knox,,statewide,accepts_criminal_record
5,TREC — Middle Region,reentry-organizations,Middle Tennessee,"Tennessee Reentry Collaborative Middle Region administrator linking justice-involved residents in Nashville, Murfreesboro, Clarksville, and surrounding counties to local reentry partners, Day Reporting Centers, and workforce programs. Shaundra Davis coordinates regional coalition activity and community supervision reentry supports. Contact for regional navigation—not a walk-in crisis line.","Administradora regional TREC del Centro que vincula a residentes con antecedentes penales en Nashville, Murfreesboro, Clarksville y condados circundantes con aliados locales de reinserción, Centros de Reporte Diurno y programas de fuerza laboral. Shaundra Davis coordina actividad de coalición regional. Contacte para navegación regional, no es una línea de crisis.",,Nashville,615-587-5639,Shaundra.D.Davis@tn.gov,https://www.tn.gov/correction/redirect---rehabilitation/tennessee-reentry-collaborative--trec-.html,Justice-involved residents in TDOC Middle Region counties; community partners seeking TREC engagement.,Residentes con antecedentes penales en condados de la región Central del TDOC; aliados comunitarios que buscan participar en TREC.,Correctional Administrator Shaundra Davis serves Middle Tennessee including Davidson and Rutherford counties.,La administradora correccional Shaundra Davis sirve el centro de Tennessee incluyendo los condados Davidson y Rutherford.,Monday–Friday business hours,middle-tennessee|reentry|coalition|TREC|nashville,Reentry navigation|Partner referrals|Employment assistance,Davidson,,statewide,accepts_criminal_record
6,TREC — West Region,reentry-organizations,West Tennessee,"Tennessee Reentry Collaborative West Region administrator connecting justice-involved residents in Memphis, Jackson, and West Tennessee to MSCOR, local coalitions, and employment partners. April Buckner coordinates regional reentry outreach and links supervisees to community resource centers and fair-chance employers. Contact for regional referrals—not emergency services.","Administradora regional TREC del Oeste que conecta a residentes con antecedentes penales en Memphis, Jackson y el oeste de Tennessee con MSCOR, coaliciones locales y aliados de empleo. April Buckner coordina alcance regional de reinserción y vincula supervisados con centros de recursos comunitarios. Contacte para referencias regionales, no para servicios de emergencia.",,Memphis,901-229-8024,April.Buckner@tn.gov,https://www.tn.gov/correction/redirect---rehabilitation/tennessee-reentry-collaborative--trec-.html,Justice-involved residents in TDOC West Region counties; community partners seeking TREC engagement.,Residentes con antecedentes penales en condados de la región Oeste del TDOC; aliados comunitarios que buscan participar en TREC.,Correctional Administrator April Buckner serves West Tennessee including Shelby and Madison counties; partners with MSCOR in Memphis.,La administradora correccional April Buckner sirve el oeste de Tennessee incluyendo Shelby y Madison; aliada con MSCOR en Memphis.,Monday–Friday business hours,west-tennessee|reentry|coalition|TREC|memphis,Reentry navigation|Partner referrals|Employment assistance,Shelby,,statewide,accepts_criminal_record
7,Tennessee 211,state-agency,Statewide,"Tennessee 211 is a statewide or regional referral resource for Tennesseans affected by the criminal justice system. Free statewide information and referral service connecting Tennesseans to health and human services including housing, food, utilities, employment, and crisis support. United Way–supported navigators help callers find local resources by need and ZIP code. Tennessee 211 is a referral line—not a direct-service provider. Users can search by location, service type, or need to find active providers in throughout Tennessee. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits resources operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Tennessee 211 es un recurso de referencia estatal o regional para tennesseanos afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en en todo Tennessee. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",,,211,,https://www.uwtn.org/tn-211,Open to all Tennessee residents; no criminal-record restrictions stated.,Abierto a todos los residentes de Tennessee; sin restricciones de antecedentes indicadas.,Dial 211 from any Tennessee phone; search resources online at uwtn.org/tn-211; available 24/7 for information and referral.,Marque 211 desde cualquier teléfono de Tennessee; busque recursos en línea en uwtn.org/tn-211; disponible 24/7.,Available 24/7,statewide|hotline|211|referral-only|basic-needs,Partner referrals,,,statewide,
8,988 Suicide & Crisis Lifeline — Tennessee,healthcare,Statewide,"Free confidential 24/7 crisis support for people experiencing mental health emergencies, suicidal thoughts, or substance use crises. Trained specialists provide immediate support and can connect callers to local mobile crisis teams in Tennessee. Available to anyone—not reentry-specific but essential for justice-involved individuals in crisis.","Apoyo gratuito y confidencial 24/7 para emergencias de salud mental, pensamientos suicidas o crisis por uso de sustancias. Especialistas capacitados ofrecen apoyo inmediato y conexión a equipos de crisis móviles en Tennessee. Disponible para cualquier persona, esencial para personas con antecedentes penales en crisis.",,,988,,https://988lifeline.org,Open to anyone in Tennessee experiencing a mental health or suicide crisis; no eligibility restrictions.,Abierto a cualquier persona en Tennessee en crisis de salud mental o suicidio; sin restricciones.,Call or text 988; Spanish-language support available. For immediate physical danger call 911.,Llame o envíe texto al 988; soporte en español disponible. Para peligro físico inmediato llame al 911.,Available 24/7,statewide|hotline|crisis|mental-health|988,Crisis services|Behavioral health services,,,statewide,
9,Help4TN — Legal & Social Services Helpline,legal-aid,Statewide,"Free statewide helpline operated by Tennessee Alliance for Legal Services connecting low-income residents to civil legal aid, benefits information, and social service referrals. Specialists help callers understand options for housing, family law, consumer issues, and finding local attorneys. A referral and information line—not a criminal defense provider.","Línea de ayuda gratuita en todo el estado operada por Tennessee Alliance for Legal Services que conecta a residentes de bajos ingresos con asistencia legal civil, información de beneficios y referencias de servicios sociales. Los especialistas ayudan con opciones de vivienda, derecho familiar y búsqueda de abogados locales. Es una línea de referencia, no defensa penal.",,Nashville,844-435-7486,,https://www.help4tn.org,Open to Tennessee residents seeking civil legal information and referrals; direct representation eligibility varies by local legal aid provider.,Abierto a residentes de Tennessee que buscan información legal civil y referencias; la representación directa varía según el proveedor local.,"Call 844-435-7486 or chat at help4tn.org; connects callers to LAS, LAET, WTLS, and MALS regional offices by county.","Llame al 844-435-7486 o use el chat en help4tn.org; conecta con oficinas regionales LAS, LAET, WTLS y MALS según el condado.",Monday–Friday business hours; online chat available,statewide|legal-aid|hotline|referral-only|benefits,Partner referrals|Benefits navigation,,,statewide,
10,Legal Aid Society of Middle Tennessee — Statewide Intake,legal-aid,Statewide,"Nonprofit civil legal aid provider serving low-income residents across 48 Middle Tennessee counties with housing, benefits, family law, consumer issues, and civil record-related matters. Centralized intake at 800-238-1443 connects callers to Nashville, Murfreesboro, Columbia, and Cookeville offices. Does not handle criminal defense cases.","Proveedor sin fines de lucro de asistencia legal civil que sirve a residentes de bajos ingresos en 48 condados del centro de Tennessee con vivienda, beneficios, derecho familiar y asuntos civiles relacionados con antecedentes. La admisión centralizada al 800-238-1443 conecta con oficinas regionales. No maneja defensa penal.","1321 Murfreesboro Pike, Suite 400",Nashville,800-238-1443,,https://las.org,Low-income Tennessee residents in service area with non-criminal legal problems; income and household-size limits apply.,Residentes de bajos ingresos en el área de servicio con problemas legales no penales; aplican límites de ingresos.,Call 800-238-1443 before visiting; appointment required for attorney meetings; apply online at las.org/get-help.,Llame al 800-238-1443 antes de visitar; se requiere cita para reuniones con abogados; solicite en línea en las.org.,Intake phone Monday–Friday business hours; online application 24/7,statewide|legal-aid|low-income|housing|hotline,Civil legal representation|Housing legal aid|Benefits navigation|Partner referrals,Davidson,,statewide,
