id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
1,IDOC — Reentry Programs & Services,state-agency,Statewide,"The Illinois Department of Corrections Reentry Programs division coordinates statewide reentry services including Reentry Summits, the Incarcerated Veterans Transition Program, transitional housing units, and community provider partnerships for prisoners, parolees, and probationers. IDOC connects returning citizens to housing, employment, treatment, and benefits resources through parole agents and published program directories—not a walk-in crisis line.","IDOC — Reentry Programs & Services coordina servicios de reinserción y recursos estatales para residentes de Illinois, incluidas personas con antecedentes penales que reconstruyen estabilidad después de la encarcelación. Contacte el programa para confirmar pasos de admisión y documentos requeridos.",1301 Concordia Court,Springfield,217-558-2200,,https://idoc.illinois.gov/programs/reentry.html,Illinois residents meeting program requirements; criminal record generally not a barrier to information and referral services.,Residentes de Illinois que cumplan requisitos del programa; los antecedentes penales generalmente no son barrera para información y referencias.,"For current intake, call 217-558-2200; visit https://idoc.illinois.gov/programs/reentry.html. Contact for current hours.","Para admisión actual, llame al 217-558-2200; visite https://idoc.illinois.gov/programs/reentry.html. Contact for current hours.",Contact for current hours; confirm before visiting,statewide|illinois|reentry|state-agency|sangamon,Partner referrals|Reentry navigation,Sangamon,,statewide,accepts_criminal_record
2,ABE — Application for Benefits Eligibility,financial-assistance,Statewide,"ABE is Illinois's official statewide portal for applying for and managing Medicaid, SNAP food assistance, TANF cash benefits, and child care subsidies through IDHS. Justice-involved individuals can apply for health coverage and food support after release; county Family Community Resource Centers assist with verification and redetermination.","ABE — Application for Benefits Eligibility coordina servicios de reinserción y recursos estatales para residentes de Illinois, incluidas personas con antecedentes penales que reconstruyen estabilidad después de la encarcelación. Contacte el programa para confirmar pasos de admisión y documentos requeridos.",,,1-800-843-6154,,https://abe.illinois.gov,Illinois residents meeting program requirements; criminal record generally not a barrier to information and referral services.,Residentes de Illinois que cumplan requisitos del programa; los antecedentes penales generalmente no son barrera para información y referencias.,"For current intake, call 1-800-843-6154; visit https://abe.illinois.gov. Contact for current hours.","Para admisión actual, llame al 1-800-843-6154; visite https://abe.illinois.gov. Contact for current hours.",Contact for current hours; confirm before visiting,statewide|illinois|reentry|financial-assistance,Partner referrals|Reentry navigation,,,statewide,accepts_criminal_record
3,211 Illinois,state-agency,Statewide,"211 Illinois is a free statewide information and referral service connecting Illinois residents to health and human services including housing, food, utilities, employment, and crisis support. United Way-supported navigators help callers find local programs by need and ZIP code. 211 Illinois is a referral line—not a direct-service provider. This resource supports Illinoisans navigating reentry in throughout Illinois.","211 Illinois coordina servicios de reinserción y recursos estatales para residentes de Illinois, incluidas personas con antecedentes penales que reconstruyen estabilidad después de la encarcelación. Contacte el programa para confirmar pasos de admisión y documentos requeridos. Este recurso apoya a illinoenses en reinserción en en todo Illinois.",,,211,,https://search.211illinois.org,Illinois residents meeting program requirements; criminal record generally not a barrier to information and referral services.,Residentes de Illinois que cumplan requisitos del programa; los antecedentes penales generalmente no son barrera para información y referencias.,"For current intake, call 211; visit https://search.211illinois.org. Contact for current hours.","Para admisión actual, llame al 211; visite https://search.211illinois.org. Contact for current hours.",Contact for current hours; confirm before visiting,statewide|illinois|reentry|state-agency,Partner referrals|Reentry navigation,,,statewide,accepts_criminal_record
4,IDHS — Benefits & Family Services Overview,financial-assistance,Statewide,"IDHS — Benefits & Family Services Overview is a statewide or regional referral resource for Illinoisans affected by the criminal justice system. Illinois Department of Human Services administers SNAP, Medicaid, TANF, and child care assistance through Family Community Resource Centers in every county and the ABE online portal. IDHS Pre-Release Program accepts SNAP and medical applications from approved IDOC facilities within ten days of release. Users can search by location, service type, or need to find active providers in throughout Illinois. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits resources operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","IDHS — Benefits & Family Services Overview es un recurso de referencia estatal o regional para illinoenses afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en en todo Illinois. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",100 S. Grand Avenue East,Springfield,1-800-843-6154,,https://www.dhs.state.il.us/page.aspx?item=29725,Illinois residents meeting program requirements; criminal record generally not a barrier to information and referral services.,Residentes de Illinois que cumplan requisitos del programa; los antecedentes penales generalmente no son barrera para información y referencias.,"For current intake, call 1-800-843-6154; visit https://www.dhs.state.il.us/page.aspx?item=29725. Contact for current hours.","Para admisión actual, llame al 1-800-843-6154; visite https://www.dhs.state.il.us/page.aspx?item=29725. Contact for current hours.",Contact for current hours; confirm before visiting,statewide|illinois|reentry|financial-assistance|sangamon,Partner referrals|Reentry navigation,Sangamon,,statewide,
5,Illinois Legal Aid Online,legal-aid,Statewide,"Illinois Legal Aid Online is a statewide legal information portal providing plain-language guides, court forms, and self-help tools for housing, benefits, family law, and record relief. Helps residents understand civil legal options and connect to free attorneys through Legal Aid Chicago, Land of Lincoln, and Prairie State Legal Services. This resource supports Illinoisans navigating reentry in throughout Illinois.","Illinois Legal Aid Online coordina servicios de reinserción y recursos estatales para residentes de Illinois, incluidas personas con antecedentes penales que reconstruyen estabilidad después de la encarcelación. Contacte el programa para confirmar pasos de admisión y documentos requeridos. Este recurso apoya a illinoenses en reinserción en en todo Illinois.",,Chicago,,,https://www.illinoislegalaid.org,Illinois residents meeting program requirements; criminal record generally not a barrier to information and referral services.,Residentes de Illinois que cumplan requisitos del programa; los antecedentes penales generalmente no son barrera para información y referencias.,"For current intake, visit https://www.illinoislegalaid.org. Contact for current hours. Bring photo ID, proof of release or supervision, and any court paperwork when applying.","Para admisión actual, visite https://www.illinoislegalaid.org. Contact for current hours. Lleve identificación con foto, prueba de liberación o supervisión y documentos judiciales al solicitar.",Contact for current hours; confirm before visiting,statewide|illinois|reentry|legal-aid|cook,Partner referrals|Reentry navigation,Cook,,statewide,
6,CARPLS — Statewide Legal Aid Hotline,legal-aid,Cook County,"CARPLS — Statewide Legal Aid Hotline is a statewide or regional referral resource for Illinoisans affected by the criminal justice system. CARPLS provides coordinated telephone legal advice and referrals for low-income Illinois residents with civil legal problems including eviction, benefits denials, and record-related matters. Serves as intake hub for Cook County with referrals to regional legal aid providers statewide—not criminal defense. Users can search by location, service type, or need to find active providers in throughout Illinois. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits resources operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","CARPLS — Statewide Legal Aid Hotline es un recurso de referencia estatal o regional para illinoenses afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en en todo Illinois. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",120 S. LaSalle Street,Chicago,312-738-9200,,https://www.carpls.org,Illinois residents meeting program requirements; criminal record generally not a barrier to information and referral services.,Residentes de Illinois que cumplan requisitos del programa; los antecedentes penales generalmente no son barrera para información y referencias.,"For current intake, call 312-738-9200; visit https://www.carpls.org. Contact for current hours. Bring photo ID, proof of release or supervision, and any court paperwork when applying.","Para admisión actual, llame al 312-738-9200; visite https://www.carpls.org. Contact for current hours. Lleve identificación con foto, prueba de liberación o supervisión y documentos judiciales al solicitar.",Contact for current hours; confirm before visiting,statewide|illinois|reentry|legal-aid|cook,Partner referrals|Reentry navigation,Cook,,statewide,
7,IDES — Re-Entry Employment Service Program,employment,Statewide,"Illinois Department of Employment Security Re-Entry Employment Service Program connects justice-involved job seekers to career coaching, skills training, and employer partnerships through Illinois workNet American Job Centers. Staff help remove record-related barriers and coordinate federal bonding and tax credit information for fair-chance hiring.","IDES — Re-Entry Employment Service Program coordina servicios de reinserción y recursos estatales para residentes de Illinois, incluidas personas con antecedentes penales que reconstruyen estabilidad después de la encarcelación. Contacte el programa para confirmar pasos de admisión y documentos requeridos.",100 W. Randolph Street,Chicago,800-320-9513,,https://www.ides.illinois.gov/idesreentry.html,Illinois residents meeting program requirements; criminal record generally not a barrier to information and referral services.,Residentes de Illinois que cumplan requisitos del programa; los antecedentes penales generalmente no son barrera para información y referencias.,"For current intake, call 800-320-9513; visit https://www.ides.illinois.gov/idesreentry.html. Contact for current hours. Bring photo ID, proof of release or supervision, and any court paperwork when applying.","Para admisión actual, llame al 800-320-9513; visite https://www.ides.illinois.gov/idesreentry.html. Contact for current hours. Lleve identificación con foto, prueba de liberación o supervisión y documentos judiciales al solicitar.",Contact for current hours; confirm before visiting,statewide|illinois|reentry|employment|cook,Partner referrals|Reentry navigation,Cook,,statewide,accepts_criminal_record
8,Illinois workNet — Statewide Portal,employment,Statewide,"Illinois workNet — Statewide Portal is a statewide or regional referral resource for Illinoisans affected by the criminal justice system. Illinois workNet is the statewide workforce portal connecting job seekers—including justice-involved Illinoisans—to American Job Center locations, career coaching, training referrals, and job postings in every Local Workforce Innovation Area. Core AJC services are free for job seekers statewide. Users can search by location, service type, or need to find active providers in throughout Illinois. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits resources operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Illinois workNet — Statewide Portal es un recurso de referencia estatal o regional para illinoenses afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en en todo Illinois. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",,Springfield,877-342-7533,,https://www.illinoisworknet.com,Illinois residents meeting program requirements; criminal record generally not a barrier to information and referral services.,Residentes de Illinois que cumplan requisitos del programa; los antecedentes penales generalmente no son barrera para información y referencias.,"For current intake, call 877-342-7533; visit https://www.illinoisworknet.com. Contact for current hours. Bring photo ID, proof of release or supervision, and any court paperwork when applying.","Para admisión actual, llame al 877-342-7533; visite https://www.illinoisworknet.com. Contact for current hours. Lleve identificación con foto, prueba de liberación o supervisión y documentos judiciales al solicitar.",Contact for current hours; confirm before visiting,statewide|illinois|reentry|employment|sangamon,Partner referrals|Reentry navigation,Sangamon,,statewide,
9,988 Suicide & Crisis Lifeline — Illinois,healthcare,Statewide,"Free confidential 24/7 crisis support for people experiencing mental health emergencies, suicidal thoughts, or substance use crises. Trained specialists provide immediate support and can connect callers to local mobile crisis teams in Illinois. Available to anyone—not reentry-specific but essential for justice-involved individuals in crisis.","988 Suicide & Crisis Lifeline — Illinois coordina servicios de reinserción y recursos estatales para residentes de Illinois, incluidas personas con antecedentes penales que reconstruyen estabilidad después de la encarcelación. Contacte el programa para confirmar pasos de admisión y documentos requeridos.",,,988,,https://988lifeline.org,Illinois residents meeting program requirements; criminal record generally not a barrier to information and referral services.,Residentes de Illinois que cumplan requisitos del programa; los antecedentes penales generalmente no son barrera para información y referencias.,"For current intake, call 988; visit https://988lifeline.org. Contact for current hours. Bring photo ID, proof of release or supervision, and any court paperwork when applying.","Para admisión actual, llame al 988; visite https://988lifeline.org. Contact for current hours. Lleve identificación con foto, prueba de liberación o supervisión y documentos judiciales al solicitar.",Contact for current hours; confirm before visiting,statewide|illinois|reentry|healthcare,Partner referrals|Reentry navigation,,,statewide,
10,New Leaf Illinois — Record Relief Network,legal-aid,Statewide,"New Leaf Illinois — Record Relief Network serves justice-involved adults and families rebuilding stability after incarceration in throughout Illinois. New Leaf Illinois is a statewide network of legal aid organizations helping eligible Illinois residents seal or clear criminal records under state law. Navigators connect callers to free legal representation through partner organizations for expungement and sealing—not active criminal defense cases. Representation is limited to civil legal matters—not active criminal cases. Income, household size, and offense type determine eligibility for record relief. Contact this resource to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","New Leaf Illinois — Record Relief Network ofrece asistencia legal civil gratuita o de bajo costo para residentes de bajos ingresos en en todo Illinois. Los abogados ayudan con sellado o eliminación de antecedentes, desalojos, beneficios y otros asuntos civiles—no casos penales activos. La representación se limita a asuntos legales civiles—no casos penales activos. Ingresos, tamaño del hogar y tipo de delito determinan la elegibilidad para alivio de antecedentes. Contacte la oficina para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.",,Chicago,855-963-9532,,https://www.newleafillinois.org,Illinois residents meeting program requirements; criminal record generally not a barrier to information and referral services.,Residentes de Illinois que cumplan requisitos del programa; los antecedentes penales generalmente no son barrera para información y referencias.,"For current intake, call 855-963-9532; visit https://www.newleafillinois.org. Contact for current hours. Bring photo ID, proof of release or supervision, and any court paperwork when applying.","Para admisión actual, llame al 855-963-9532; visite https://www.newleafillinois.org. Contact for current hours. Lleve identificación con foto, prueba de liberación o supervisión y documentos judiciales al solicitar.",Contact for current hours; confirm before visiting,statewide|illinois|reentry|legal-aid|cook,Partner referrals|Reentry navigation,Cook,,statewide,accepts_criminal_record
