id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage
1,WDOC — Reentry & Community Corrections,state-agency,Statewide,"The Wisconsin Department of Corrections Division of Community Corrections coordinates statewide reentry planning, pre-release programming, and community supervision for individuals preparing to leave WDOC custody or under probation and extended supervision across all 72 counties. Reentry staff connect returning citizens to ACCESS Wisconsin benefits, Job Center of Wisconsin employment services, ForwardHealth/BadgerCare Plus enrollment, and local treatment and housing partners before and after release. This office provides planning and referrals—not a walk-in crisis line or emergency cash provider.","El Departamento de Correcciones de Wisconsin, División de Correcciones Comunitarias, coordina la planificación estatal de reinserción, programación previa a la liberación y supervisión comunitaria para personas que se preparan para salir de custodia de WDOC o bajo probatoria y supervisión extendida en los 72 condados. El personal de reinserción conecta a ciudadanos que regresan con beneficios ACCESS Wisconsin, centros Job Center of Wisconsin e inscripción en ForwardHealth/BadgerCare Plus. Esta oficina ofrece planificación y referencias, no es una línea de crisis ni proveedor de efectivo de emergencia.",3099 East Washington Avenue,Madison,608-240-5000,,https://doc.wi.gov,Individuals in WDOC custody preparing for release or under community supervision; community partners seeking WDOC reentry engagement.,Personas en custodia de WDOC que se preparan para la liberación o bajo supervisión comunitaria; aliados comunitarios que buscan coordinación de reinserción.,Visit doc.wi.gov for reentry resources; coordinate through facility reentry staff and assigned probation or parole agent after release.,Visite doc.wi.gov para recursos de reinserción; coordine a través del personal de reinserción de la instalación y el agente de probatoria asignado.,State office Monday–Friday business hours,statewide|reentry|WDOC|DOC|pre-release|community-corrections,Pre-release planning|Community corrections coordination|Partner referrals|Reentry resource navigation|Supervision linkage,Dane,,statewide
2,WDOC — Probation & Parole Field Operations,probation-parole,Statewide,"WDOC Probation and Parole Field Operations supervises adults on probation, parole, and extended supervision through regional field offices across Wisconsin, connecting supervisees to employment, treatment, and housing referrals as conditions of release. Field agents coordinate with Job Center of Wisconsin, county DHS benefits offices, Comprehensive Community Services providers, and local reentry nonprofits in every region. Contact your assigned agent—not a walk-in benefits or emergency housing intake center.","Operaciones de Campo de Probatoria y Libertad Condicional de WDOC supervisa adultos en probatoria, libertad condicional y supervisión extendida a través de oficinas regionales en Wisconsin, conectando supervisados con empleo, tratamiento y vivienda según condiciones de liberación. Los agentes coordinan con Job Center of Wisconsin, oficinas DHS del condado y proveedores CCS. Contacte a su agente asignado; no es un centro de admisión de beneficios o vivienda de emergencia.",3099 East Washington Avenue,Madison,608-240-5000,,https://doc.wi.gov/Pages/OffenderInformation/ProbationParole.aspx,"Adults under WDOC probation, parole, or extended supervision in Wisconsin; report to assigned field agent.","Adultos bajo supervisión probatoria, de libertad condicional o supervisión extendida de WDOC en Wisconsin; reporte al agente de campo asignado.",Find regional field office contacts at doc.wi.gov; ask your agent about local reentry referrals and treatment requirements.,Encuentre contactos de oficinas regionales en doc.wi.gov; pregunte a su agente sobre referencias locales de reinserción.,Field offices typically Monday–Friday business hours,statewide|probation-parole|WDOC|parole|community-supervision|reentry,Probation supervision|Parole supervision|Extended supervision reporting|Treatment referrals|Reentry partner coordination,Dane,,statewide
3,ACCESS Wisconsin — Benefits Portal,financial-assistance,Statewide,"ACCESS Wisconsin is the official online portal for applying for and managing FoodShare (SNAP) nutrition assistance, Wisconsin Works (W-2) cash benefits, child care subsidies, and BadgerCare Plus Medicaid applications through county DHS Eligibility Management offices. Justice-involved Wisconsinites can apply for food and health coverage after release from WDOC custody or county jails using the same account used by all 72 county DHS offices statewide.","ACCESS Wisconsin es el portal en línea oficial para solicitar y administrar asistencia alimentaria FoodShare (SNAP), beneficios en efectivo Wisconsin Works (W-2), subsidios de cuidado infantil y solicitudes de Medicaid BadgerCare Plus a través de oficinas de Gestión de Elegibilidad DHS del condado. Los habitantes de Wisconsin en reinserción pueden solicitar apoyo alimentario y de salud después de la liberación.",,,1-800-362-3002,,https://access.wi.gov,"Wisconsin residents meeting income and household-size requirements for FoodShare, W-2, or BadgerCare Plus; criminal record generally not a barrier to FoodShare eligibility.","Residentes de Wisconsin que cumplan requisitos de ingresos y tamaño del hogar para FoodShare, W-2 o BadgerCare Plus; los antecedentes penales generalmente no son barrera para FoodShare.",Apply online at access.wi.gov; call 1-800-362-3002 for ACCESS customer service; visit your county DHS EM office for in-person verification.,Solicite en access.wi.gov; llame al 1-800-362-3002; visite su oficina DHS EM del condado para verificación presencial.,Online 24/7; county DHS office hours vary,statewide|benefits|FoodShare|SNAP|ACCESS-Wisconsin|reentry,FoodShare enrollment|W-2 application|Child care subsidy applications|BadgerCare Plus referral|County DHS office locator,,,statewide
4,ForwardHealth — BadgerCare Plus,healthcare,Statewide,"ForwardHealth administers BadgerCare Plus and Medicaid health coverage for eligible low-income Wisconsin residents statewide, including pregnant women, children, disabled adults, and adults under the Medicaid expansion population through managed care organizations. Returning citizens can apply for BadgerCare Plus before or immediately after release to secure prescription and primary care coverage; member services staff help with enrollment questions and eligibility appeals by phone.","ForwardHealth administra BadgerCare Plus y cobertura Medicaid para residentes elegibles de bajos ingresos en todo Wisconsin, incluidas mujeres embarazadas, niños, adultos discapacitados y adultos bajo la población de expansión de Medicaid. Los ciudadanos que regresan pueden solicitar BadgerCare Plus antes o inmediatamente después de la liberación para asegurar cobertura de recetas y atención primaria.",1 West Wilson Street,Madison,800-362-3002,,https://www.dhs.wisconsin.gov/badgercareplus/index.htm,Wisconsin residents meeting income and category requirements for BadgerCare Plus or Medicaid; Wisconsin has expanded Medicaid to low-income adults.,Residentes de Wisconsin que cumplan requisitos de ingresos y categoría para BadgerCare Plus o Medicaid; Wisconsin ha expandido Medicaid a adultos de bajos ingresos.,Apply through access.wi.gov; call 800-362-3002; ask about presumptive eligibility and disability-based categories.,Solicite a través de access.wi.gov o llame al 800-362-3002; pregunte sobre elegibilidad presuntiva y categorías por discapacidad.,Member services Monday–Friday business hours,statewide|healthcare|BadgerCare|Medicaid|ForwardHealth|reentry,BadgerCare Plus application assistance|Eligibility determination|Managed care navigation|Member services helpline|Appeals support,Dane,,statewide
5,211 Wisconsin,state-agency,Statewide,"211 Wisconsin is a free statewide information and referral service connecting residents to health and human services including housing, food, utilities, employment, and crisis support across all 72 counties. United Way–supported navigators help callers find local programs by need and ZIP code through 211wisconsin.org and by dialing 211 from any Wisconsin phone. 211 Wisconsin is a referral service—not a direct-service provider.","211 Wisconsin es un servicio gratuito de información y referencia estatal que conecta a residentes con servicios de salud y humanos incluyendo vivienda, alimentos, servicios públicos, empleo y apoyo en crisis en los 72 condados. Navegadores apoyados por United Way ayudan a encontrar programas locales por necesidad y código postal. Es un servicio de referencia, no un proveedor directo.",,,211,,https://211wisconsin.org,Open to all Wisconsin residents; no criminal-record restrictions stated.,Abierto a todos los residentes de Wisconsin; sin restricciones de antecedentes indicadas.,Dial 211 from any Wisconsin phone; search resources online at 211wisconsin.org; text your ZIP code to 898-211 where available.,Marque 211 desde cualquier teléfono de Wisconsin; busque recursos en 211wisconsin.org; envíe su código postal al 898-211 donde esté disponible.,Available 24/7 in most areas; check 211wisconsin.org,statewide|hotline|211|referral-only|basic-needs,Information and referral|Housing resource navigation|Benefits referrals|Crisis resource connections|Local program search,,,statewide
6,Legal Action of Wisconsin — Statewide Intake,legal-aid,Statewide,"Legal Action of Wisconsin is the state's primary nonprofit civil legal aid provider serving low-income Wisconsinites with housing, public benefits, family law, and criminal record relief including expungement and pardon guidance under Wisconsin law. Centralized statewide intake routes callers to regional offices in Milwaukee, Madison, Green Bay, and Wausau—not criminal defense representation.","Legal Action of Wisconsin es el principal proveedor sin fines de lucro de asistencia legal civil del estado que sirve a personas de bajos ingresos con vivienda, beneficios públicos, derecho familiar y alivio de antecedentes penales incluida orientación sobre expungación y perdón bajo la ley de Wisconsin. La admisión centralizada enruta a oficinas regionales, no defensa penal.","230 West Wells Street, Suite 800",Milwaukee,888-278-0633,,https://www.legalaction.org,Low-income Wisconsin residents with non-criminal legal problems; LSC income limits apply; offense-type restrictions may apply for record relief eligibility.,Residentes de Wisconsin de bajos ingresos con problemas legales no penales; aplican límites de ingresos LSC; pueden aplicar restricciones por tipo de delito para alivio de antecedentes.,Apply online at legalaction.org or call 888-278-0633; regional offices serve specific counties listed on the website.,Solicite en legalaction.org o llame al 888-278-0633; las oficinas regionales sirven condados específicos listados en el sitio web.,Intake Monday–Friday business hours; online application 24/7,statewide|legal-aid|low-income|expungement|hotline,Civil legal representation|Expungement assistance|Housing legal aid|Benefits advocacy|Regional office referrals,Milwaukee,,statewide
7,Wisconsin Judicare — Northern Wisconsin Legal Aid,legal-aid,Statewide,"Wisconsin Judicare provides free civil legal services to low-income residents in northern and central Wisconsin counties including housing, public benefits, family law, and record relief matters. Justice-involved adults in rural Wisconsin can access Judicare attorneys through county intake—not criminal defense. Serves counties not covered by Legal Action of Wisconsin regional offices.","Wisconsin Judicare ofrece servicios legales civiles gratuitos a residentes de bajos ingresos en condados del norte y centro de Wisconsin incluyendo vivienda, beneficios, derecho familiar y alivio de antecedentes. Los adultos con antecedentes penales en Wisconsin rural pueden acceder a abogados de Judicare a través de admisión del condado, no defensa penal.","300 Third Street, Suite 300",Wausau,800-472-1639,,https://www.judicare.org,Low-income residents in Judicare service counties; income and household-size limits apply; non-criminal legal matters only.,Residentes de bajos ingresos en condados de servicio de Judicare; aplican límites de ingresos; solo asuntos legales no penales.,Call 800-472-1639 for intake; office locator at judicare.org; pairs with county DHS and Job Center offices.,Llame al 800-472-1639 para admisión; localizador de oficinas en judicare.org; se vincula con oficinas DHS y Job Center del condado.,Intake Monday–Friday business hours,statewide|legal-aid|northern-wisconsin|rural|expungement,Civil legal representation|Housing legal aid|Benefits advocacy|Family law assistance|Record relief guidance,Marathon,,statewide
8,Job Center of Wisconsin — Statewide Network,employment,Statewide,"Job Center of Wisconsin is the statewide workforce development network operated through the Wisconsin Department of Workforce Development, connecting job seekers in all 72 counties to career coaching, WIOA training referrals, and fair-chance employment navigation. Justice-involved adults leaving WDOC custody or county jails can register at wisconsinjobcenter.org for free core services at local one-stop centers. Workforce services—not emergency cash or housing placement.","Job Center of Wisconsin es la red estatal de desarrollo de la fuerza laboral operada por el Departamento de Desarrollo de la Fuerza Laboral de Wisconsin, conectando buscadores de empleo en los 72 condados con coaching de carrera y referencias de capacitación WIOA. Los adultos con antecedentes penales pueden registrarse en wisconsinjobcenter.org para servicios básicos gratuitos.",201 East Washington Avenue,Madison,888-258-9966,,https://www.wisconsinjobcenter.org,Open to Wisconsin job seekers including justice-involved individuals; core Job Center services are free.,Abierto a buscadores de empleo de Wisconsin incluidas personas con antecedentes penales; servicios básicos gratuitos.,Register at wisconsinjobcenter.org; find your nearest Job Center by ZIP code; pairs with ACCESS Wisconsin benefits and DVR vocational rehabilitation.,Regístrese en wisconsinjobcenter.org; encuentre su Job Center más cercano por código postal; se vincula con beneficios ACCESS Wisconsin y rehabilitación vocacional DVR.,Job Centers typically Monday–Friday business hours,statewide|employment|job-center|WIOA|fair-chance|reentry,Career coaching|Resume assistance|WIOA training referrals|Job search tools|Fair-chance employment navigation,Dane,,statewide
9,DVR — Division of Vocational Rehabilitation,employment,Statewide,"The Wisconsin Division of Vocational Rehabilitation helps Wisconsinites with disabilities—including justice-involved individuals with qualifying disabilities—prepare for, obtain, and maintain employment through vocational counseling, assistive technology, training, and job placement at district offices statewide. DVR counselors coordinate with Job Center of Wisconsin, ForwardHealth behavioral health providers, and WDOC reentry staff on individualized employment plans. DVR eligibility requires a documented disability affecting employment—not general reentry case management.","La División de Rehabilitación Vocacional de Wisconsin ayuda a habitantes de Wisconsin con discapacidades—incluidas personas con antecedentes penales con discapacidades calificadas—a prepararse, obtener y mantener empleo mediante consejería vocacional, tecnología de asistencia y colocación laboral. La elegibilidad DVR requiere una discapacidad documentada que afecte el empleo.",201 East Washington Avenue,Madison,800-442-3477,,https://dwd.wisconsin.gov/dvr,Wisconsin residents with a physical or mental disability that is a substantial barrier to employment; justice-involved applicants welcome if DVR eligible.,Residentes de Wisconsin con una discapacidad física o mental que sea una barrera sustancial al empleo; solicitantes con antecedentes penales bienvenidos si son elegibles para DVR.,Apply at dwd.wisconsin.gov/dvr or call 800-442-3477; district office locations listed on the DVR website.,Solicite en dwd.wisconsin.gov/dvr o llame al 800-442-3477; las ubicaciones de oficinas de distrito están en el sitio web de DVR.,District offices Monday–Friday business hours,statewide|employment|DVR|vocational-rehabilitation|disability|reentry,Vocational counseling|Job placement|Assistive technology|Skills training|Disability employment supports,Dane,,statewide
10,Wisconsin Department of Veterans Affairs (WDVA),veterans,Statewide,"The Wisconsin Department of Veterans Affairs helps justice-involved veterans access VA benefits, disability claims, education benefits, and housing resources through county veterans service officers across all 72 counties. Veterans released from incarceration may qualify for VA health care, vocational rehabilitation, and veterans treatment court supports. Benefits navigation and claims advocacy—not emergency shelter.","El Departamento de Asuntos de Veteranos de Wisconsin ayuda a veteranos con antecedentes penales a acceder a beneficios del VA, reclamaciones de discapacidad, beneficios educativos y recursos de vivienda a través de oficiales de servicios para veteranos del condado en los 72 condados. Los veteranos liberados pueden calificar para atención médica del VA y tribunales de tratamiento para veteranos.",201 West Washington Avenue,Madison,800-947-8387,,https://dva.wisconsin.gov,Honorably discharged or qualifying Wisconsin veterans and their dependents; service documentation required.,Veteranos de Wisconsin con baja honorable o calificados y sus dependientes; se requiere documentación de servicio.,Find your county veterans service officer at dva.wisconsin.gov; free benefits claims assistance available at county offices statewide.,Encuentre su oficial de servicios para veteranos del condado en dva.wisconsin.gov; asistencia gratuita con reclamaciones disponible en oficinas del condado.,County offices Monday–Friday business hours,statewide|veterans|VA-benefits|reentry|justice-involved-veterans,VA benefits claims assistance|Disability claims navigation|Education benefits guidance|Veterans treatment court support|County VSO referrals,Dane,,statewide
