id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage
1,ADCRR — Community Reentry Programs,state-agency,Statewide,"The Arizona Department of Corrections, Rehabilitation and Reentry coordinates statewide community reentry planning, pre-release programming, and connections to housing, employment, and behavioral health partners for people leaving ADCRR custody. Reentry staff at the Phoenix headquarters work with facility case managers, community corrections officers, and local nonprofits across all 15 counties before and after release. This office provides planning and referrals—not emergency shelter, cash assistance, or legal representation.","El Departamento de Correcciones, Rehabilitación y Reinserción de Arizona coordina la planificación estatal de reinserción comunitaria, programación previa a la liberación y conexiones con aliados de vivienda, empleo y salud conductual para personas que salen de custodia de ADCRR. El personal de reinserción en la sede de Phoenix trabaja con administradores de casos de instalaciones, oficiales de correcciones comunitarias y organizaciones locales en los 15 condados. Esta oficina ofrece planificación y referencias, no refugio de emergencia ni asistencia en efectivo.",701 E Jefferson Street,Phoenix,602-771-5500,,https://corrections.az.gov/adcr/community-reentry,Individuals in ADCRR custody preparing for release or under community supervision; community partners seeking ADCRR reentry engagement.,Personas en custodia de ADCRR que se preparan para la liberación o bajo supervisión comunitaria; aliados comunitarios que buscan coordinación de reinserción.,Visit corrections.az.gov/adcr/community-reentry for program overview; coordinate through facility reentry staff and assigned community corrections officer after release.,Visite corrections.az.gov/adcr/community-reentry; coordine con el personal de reinserción de la instalación y el oficial de correcciones comunitarias asignado.,State office Monday–Friday business hours,statewide|reentry|ADCRR|DOC|pre-release|community-corrections,Pre-release planning|Community reentry coordination|Partner referrals|Reentry resource navigation|Supervision linkage,Maricopa,,statewide
2,ADCRR — Community Corrections & Parole,probation-parole,Statewide,"ADCRR Community Corrections supervises adults on parole and community supervision through field offices across Arizona, connecting supervisees to employment, treatment, and housing resources as conditions of release. Community Corrections officers coordinate with ARIZONA@WORK, DES benefits, RBHA behavioral health providers, and local reentry nonprofits in every county. Contact your assigned officer—not a walk-in benefits or emergency housing intake center.","Correcciones Comunitarias de ADCRR supervisa adultos en libertad condicional y supervisión comunitaria a través de oficinas de campo en Arizona, conectando a supervisados con empleo, tratamiento y vivienda según condiciones de liberación. Los oficiales coordinan con ARIZONA@WORK, beneficios DES y proveedores RBHA en cada condado. Contacte a su oficial asignado; no es un centro de admisión de beneficios o vivienda de emergencia.",701 E Jefferson Street,Phoenix,602-542-5535,,https://corrections.az.gov/adcr/community-corrections,Adults under ADCRR parole or community supervision in Arizona; report to assigned community corrections officer.,Adultos bajo libertad condicional o supervisión comunitaria de ADCRR en Arizona; reporte al oficial de correcciones comunitarias asignado.,Find regional field office contacts at corrections.az.gov/adcr/community-corrections; statewide information 602-542-5535.,Encuentre contactos de oficinas regionales en corrections.az.gov/adcr/community-corrections; información estatal 602-542-5535.,Field offices typically Monday–Friday business hours,statewide|probation-parole|ADCRR|parole|community-supervision|reentry,Parole supervision|Community corrections reporting|Treatment referrals|Employment coordination|Reentry partner linkage,Maricopa,,statewide
3,Health-e-Arizona Plus,financial-assistance,Statewide,"Health-e-Arizona Plus is Arizona's official online portal for applying for and managing AHCCCS Medicaid, KidsCare, SNAP nutrition assistance, and cash assistance through the Department of Economic Security. Justice-involved Arizonans can apply for health coverage and food support after release from ADCRR custody or county jails using the same account used by county DES offices statewide. Online application and account management—not a crisis hotline or emergency shelter provider.","Health-e-Arizona Plus es el portal en línea oficial de Arizona para solicitar y administrar Medicaid AHCCCS, KidsCare, asistencia nutricional SNAP y asistencia en efectivo a través del Departamento de Seguridad Económica. Los arizonenses en reinserción pueden solicitar cobertura de salud y apoyo alimentario después de la liberación usando la misma cuenta que usan las oficinas DES del condado.",,,1-855-432-7587,,https://www.healthearizonaplus.gov,"Arizona residents meeting income and household requirements for Medicaid, SNAP, or TANF; criminal record generally not a barrier to Medicaid and SNAP.","Residentes de Arizona que cumplan requisitos de ingresos para Medicaid, SNAP o TANF; los antecedentes penales generalmente no son barrera para Medicaid y SNAP.",Apply online at healthearizonaplus.gov; call 1-855-432-7587 for DES help; statewide interview line 1-855-777-8590.,Solicite en healthearizonaplus.gov; llame al 1-855-432-7587; línea de entrevista estatal 1-855-777-8590.,Online 24/7; county DES office hours vary,statewide|benefits|Medicaid|SNAP|online|AHCCCS|reentry,Medicaid application|SNAP enrollment|TANF application|Benefits account management|Document upload,,,statewide
4,AHCCCS — Arizona Medicaid,healthcare,Statewide,"The Arizona Health Care Cost Containment System administers Medicaid and KidsCare health coverage for eligible low-income Arizonans through contracted health plans and Regional Behavioral Health Authorities across all 15 counties. Returning citizens can enroll through Health-e-Arizona Plus or county DES offices to access primary care, behavioral health, and prescription coverage after release. AHCCCS is health coverage administration—not a walk-in clinic or emergency room.",El Sistema de Contención de Costos de Atención Médica de Arizona administra la cobertura Medicaid y KidsCare para arizonenses elegibles de bajos ingresos a través de planes de salud contratados y Autoridades Regionales de Salud Conductual en los 15 condados. Los ciudadanos que regresan pueden inscribirse a través de Health-e-Arizona Plus para acceder a atención primaria y salud conductual.,801 E Jefferson Street,Phoenix,602-417-4000,,https://www.azahcccs.gov,Arizona residents meeting AHCCCS income and categorical eligibility; enrollment through Health-e-Arizona Plus or DES.,Residentes de Arizona que cumplan elegibilidad de ingresos AHCCCS; inscripción a través de Health-e-Arizona Plus o DES.,Apply at healthearizonaplus.gov; member services 602-417-4000; find your health plan at azahcccs.gov.,Solicite en healthearizonaplus.gov; servicios al miembro 602-417-4000; encuentre su plan en azahcccs.gov.,State office Monday–Friday business hours,statewide|healthcare|Medicaid|AHCCCS|insurance|reentry,Medicaid enrollment|Health plan selection|Member services|Behavioral health plan navigation|Coverage verification,Maricopa,,statewide
5,211 Arizona,state-agency,Statewide,"211 Arizona is a free statewide information and referral service connecting residents to health and human services including housing, food, utilities, employment, and crisis support in all 15 Arizona counties. United Way-supported navigators help callers find local programs by need and ZIP code through 211arizona.org and by dialing 211 from any Arizona phone. 211 Arizona is a referral service—not a direct-service provider.","211 Arizona es un servicio gratuito de información y referencia estatal que conecta a residentes con servicios de salud y humanos incluyendo vivienda, alimentos, servicios públicos, empleo y apoyo en crisis en los 15 condados de Arizona. Navegadores apoyados por United Way ayudan a encontrar programas locales por necesidad y código postal.",,,211,,https://211arizona.org,Open to all Arizona residents; no criminal-record restrictions stated.,Abierto a todos los residentes de Arizona; sin restricciones de antecedentes indicadas.,Dial 211 from any Arizona phone; search resources online at 211arizona.org; text your ZIP code to 898-211.,Marque 211 desde cualquier teléfono de Arizona; busque recursos en 211arizona.org; envíe su código postal al 898-211.,Available during published service hours; check 211arizona.org,statewide|hotline|211|referral-only|basic-needs,Information and referral|Housing resource navigation|Benefits referrals|Crisis resource connections|Local program search,,,statewide
6,Community Legal Services — Statewide Intake,legal-aid,Statewide,"Community Legal Services is Arizona's largest nonprofit civil legal aid provider serving low-income residents with housing, public benefits, family law, and criminal record relief including set-aside petitions under Arizona law. Centralized intake at 602-258-3434 or 1-800-852-9075 routes callers to CLS offices in Phoenix, Mesa, and statewide partner sites—not criminal defense representation.","Community Legal Services es el mayor proveedor sin fines de lucro de asistencia legal civil de Arizona que sirve a residentes de bajos ingresos con vivienda, beneficios públicos, derecho familiar y alivio de antecedentes penales incluidas peticiones de anulación bajo la ley de Arizona. La admisión centralizada enruta a oficinas CLS, no defensa penal.",305 S 2nd Avenue,Phoenix,602-258-3434,,https://www.clsaz.org,Low-income Arizona residents with civil legal problems; LSC income limits apply; offense-type restrictions may apply for record relief.,Residentes de Arizona de bajos ingresos con problemas legales civiles; aplican límites de ingresos LSC; pueden aplicar restricciones por tipo de delito.,Apply online at clsaz.org or call 602-258-3434 / 1-800-852-9075; toll-free statewide intake routes to nearest office.,Solicite en clsaz.org o llame al 602-258-3434 / 1-800-852-9075; admisión gratuita estatal enruta a la oficina más cercana.,Intake Monday–Friday business hours; online application 24/7,statewide|legal-aid|low-income|set-aside|hotline,Civil legal representation|Set-aside assistance|Housing legal aid|Benefits advocacy|Regional office referrals,Maricopa,,statewide
7,DNA People's Legal Services,legal-aid,Northern Arizona,"DNA People's Legal Services provides free civil legal aid to low-income residents across northern Arizona tribal and rural communities including Coconino, Navajo, Apache, and Mohave counties. Attorneys assist with housing, benefits, family law, and limited criminal record relief for justice-involved clients on the Colorado Plateau and tribal lands—not criminal defense.","DNA People's Legal Services brinda asistencia legal civil gratuita a residentes de bajos ingresos en comunidades tribales y rurales del norte de Arizona incluyendo los condados Coconino, Navajo, Apache y Mohave. Los abogados ayudan con vivienda, beneficios y alivio limitado de antecedentes penales, no defensa penal.",2225 N Gemini Drive,Flagstaff,928-779-9981,,https://www.dnaazlaw.org,Low-income residents of DNA service area counties and tribal communities with civil legal problems; income limits apply.,Residentes de bajos ingresos del área de servicio DNA y comunidades tribales con problemas legales civiles; aplican límites de ingresos.,"Call 928-779-9981 for northern Arizona intake; offices also in Tuba City, Page, and Kayenta; apply at dnaazlaw.org.","Llame al 928-779-9981 para admisión del norte de Arizona; oficinas también en Tuba City, Page y Kayenta.",Intake Monday–Friday business hours,northern-arizona|legal-aid|tribal|rural|flagstaff|reentry,Civil legal representation|Housing legal aid|Benefits advocacy|Tribal community services|Record relief guidance,Coconino,Apache|Coconino|Navajo|Mohave,multi
8,ARIZONA@WORK — Statewide Network,employment,Statewide,"ARIZONA@WORK is the statewide workforce development network operated through the Arizona Department of Economic Security, connecting job seekers in all 15 counties to career coaching, resume assistance, WIOA training referrals, and fair-chance employment navigation. Justice-involved adults leaving ADCRR custody or county jails can register at arizonaatwork.com for free core services at local one-stop centers. Workforce services—not emergency cash or housing placement.","ARIZONA@WORK es la red estatal de desarrollo de la fuerza laboral operada por el Departamento de Seguridad Económica de Arizona, conectando buscadores de empleo en los 15 condados con coaching de carrera, asistencia con currículum y referencias de capacitación WIOA. Los adultos con antecedentes penales pueden registrarse en arizonaatwork.com para servicios básicos gratuitos.",1789 W Jefferson Street,Phoenix,602-771-6500,,https://arizonaatwork.com,Open to Arizona job seekers including justice-involved individuals; core ARIZONA@WORK services are free.,Abierto a buscadores de empleo de Arizona incluidas personas con antecedentes penales; servicios básicos gratuitos.,Register at arizonaatwork.com; find your local one-stop by ZIP code; pairs with DES benefits and RSA vocational rehabilitation.,Regístrese en arizonaatwork.com; encuentre su centro local por código postal; se vincula con beneficios DES y rehabilitación vocacional RSA.,One-stop centers typically Monday–Friday business hours,statewide|employment|arizona-at-work|WIOA|fair-chance|reentry,Career coaching|Resume assistance|WIOA training referrals|Job search tools|Fair-chance employment navigation,Maricopa,,statewide
9,RSA — Vocational Rehabilitation Services,employment,Statewide,"The Rehabilitation Services Administration within Arizona DES helps Arizonans with disabilities—including justice-involved individuals with documented disabilities—prepare for, obtain, and maintain employment through counseling, training, assistive technology, and job placement across all 15 counties. VR counselors coordinate with ARIZONA@WORK, AHCCCS behavioral health providers, and ADCRR reentry staff on individualized employment plans. VR eligibility requires a documented disability affecting employment—not general reentry case management.","La Administración de Servicios de Rehabilitación dentro de DES de Arizona ayuda a arizonenses con discapacidades—incluidas personas con antecedentes penales con discapacidades documentadas—a prepararse, obtener y mantener empleo a través de consejería, capacitación y colocación laboral en los 15 condados. La elegibilidad VR requiere una discapacidad documentada que afecte el empleo.",1789 W Jefferson Street,Phoenix,602-542-3332,,https://des.az.gov/services/employment/rehabilitation-services,Arizona residents with a physical or mental disability that is a substantial barrier to employment; justice-involved applicants welcome if VR eligible.,Residentes de Arizona con una discapacidad física o mental que sea una barrera sustancial al empleo; solicitantes con antecedentes penales bienvenidos si son elegibles para VR.,Apply at des.az.gov RSA or through local VR office; call 602-542-3332; coordinate with ARIZONA@WORK for job placement after plan approval.,Solicite en des.az.gov RSA o en la oficina VR local; llame al 602-542-3332; coordine con ARIZONA@WORK después de aprobar el plan.,State and field offices Monday–Friday business hours,statewide|employment|vocational-rehabilitation|disability|RSA|reentry,Vocational counseling|Disability employment planning|Training referrals|Assistive technology|Job placement,Maricopa,,statewide
10,AHCCCS — RBHA Behavioral Health Directory,substance-use-treatment,Statewide,"Arizona's Regional Behavioral Health Authorities contract with AHCCCS to deliver mental health and substance use disorder services for Medicaid members and uninsured crisis populations in six regions covering all 15 counties. Justice-involved Arizonans can locate their RBHA—Mercy Care, Banner, Health Choice, Cenpatico, Arizona Complete Health, or Steward—at azahcccs.gov to access outpatient treatment, crisis services, and peer support. Directory and enrollment navigation—not a single treatment facility.","Las Autoridades Regionales de Salud Conductual de Arizona contratan con AHCCCS para ofrecer servicios de salud mental y trastornos por uso de sustancias para miembros Medicaid en seis regiones que cubren los 15 condados. Los arizonenses en reinserción pueden localizar su RBHA en azahcccs.gov para acceder a tratamiento ambulatorio, servicios de crisis y apoyo entre pares.",801 E Jefferson Street,Phoenix,602-417-4000,,https://www.azahcccs.gov/Members/GetCovered/Crisis.html,AHCCCS members and crisis-eligible uninsured individuals; SUD and mental health services vary by RBHA region and plan.,Miembros AHCCCS e individuos sin seguro elegibles para crisis; los servicios varían por región RBHA y plan.,Find your RBHA at azahcccs.gov; crisis line 1-844-534-4673; enroll in AHCCCS through healthearizonaplus.gov first when eligible.,Encuentre su RBHA en azahcccs.gov; línea de crisis 1-844-534-4673; inscríbase en AHCCCS a través de healthearizonaplus.gov cuando sea elegible.,Crisis lines 24/7; RBHA offices business hours,statewide|behavioral-health|RBHA|substance-use-treatment|crisis|reentry,RBHA plan navigation|Crisis behavioral health|SUD treatment referrals|Mental health services|Peer support connections,Maricopa,,statewide
