id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage
1,NCDAC — Reentry Services,state-agency,Statewide,"The North Carolina Department of Adult Correction coordinates statewide reentry planning, pre-release programming, and community partner connections for individuals preparing to leave state custody or under community supervision. Staff work with local DSS offices, NC Works career centers, and treatment providers on housing, employment, and benefits navigation before and after release. This office provides planning and referrals—not a walk-in crisis line or emergency cash provider.","El Departamento de Corrección para Adultos de Carolina del Norte coordina planificación estatal de reinserción, programación previa a la liberación y conexiones con aliados comunitarios para personas que preparan salir de custodia estatal o bajo supervisión comunitaria. El personal trabaja con oficinas DSS locales, centros NC Works y proveedores de tratamiento sobre vivienda, empleo y beneficios. Esta oficina ofrece planificación y referencias, no es una línea de crisis ni proveedor de efectivo de emergencia.",2020 Yonkers Road,Raleigh,919-716-3200,,https://www.dac.nc.gov/reentry-services,Individuals in NCDAC custody or recently released seeking state reentry coordination; community partners seeking NCDAC engagement.,Personas en custodia de NCDAC o recién liberadas que buscan coordinación estatal de reinserción; aliados comunitarios.,Visit dac.nc.gov/reentry-services; coordinate through facility reentry staff and assigned community supervision officer after release.,Visite dac.nc.gov/reentry-services; coordine a través del personal de reinserción de la instalación y el oficial de supervisión asignado.,State office Monday–Friday business hours,statewide|reentry|NCDAC|DOC|pre-release|parole,Pre-release planning|Transitional programming coordination|Community partner referrals|Reentry resource navigation|Supervision linkage,Wake,,statewide
2,ePASS — North Carolina Benefits Portal,financial-assistance,Statewide,"ePASS is North Carolina's official online portal for applying for and managing Medicaid, NC Health Choice, SNAP food assistance, Work First cash benefits, child care subsidies, and energy assistance through county Department of Social Services offices. Justice-involved North Carolinians can apply for health coverage and food support after release; county DSS staff assist with verification and redetermination at all 100 county offices.","ePASS es el portal en línea oficial de Carolina del Norte para solicitar y administrar Medicaid, NC Health Choice, SNAP, beneficios en efectivo Work First, subsidios de cuidado infantil y asistencia energética a través de oficinas DSS del condado. Personas en reinserción pueden solicitar cobertura de salud y apoyo alimentario después de la liberación; el personal DSS del condado ayuda con verificación.",,,1-866-719-0141,,https://epass.nc.gov,"North Carolina residents meeting income and program requirements for Medicaid, SNAP, or cash assistance; criminal record generally not a barrier.","Residentes de Carolina del Norte que cumplan requisitos de ingresos para Medicaid, SNAP o asistencia en efectivo; los antecedentes penales generalmente no son barrera.",Apply online at epass.nc.gov; call 1-866-719-0141 for NC FAST help; visit your county DSS office for in-person assistance.,Solicite en epass.nc.gov; llame al 1-866-719-0141; visite su oficina DSS del condado para asistencia presencial.,Online 24/7; county DSS office hours vary,statewide|benefits|SNAP|Medicaid|ePASS|online|reentry,Medicaid application|SNAP enrollment|Work First cash assistance|NC Health Choice enrollment|Benefits account management,,,statewide
3,NC FAST — Benefits Application Support,financial-assistance,Statewide,"NC FAST (North Carolina Families Accessing Services through Technology) is the statewide benefits processing system used by all 100 county DSS offices for Medicaid, SNAP, Work First, and child care assistance applications. Returning citizens can apply online through ePASS or in person at their county DSS office with help establishing food and health benefits after release from NCDAC custody or county jails.","NC FAST es el sistema estatal de procesamiento de beneficios usado por las 100 oficinas DSS del condado para solicitudes de Medicaid, SNAP, Work First y asistencia de cuidado infantil. Los ciudadanos que regresan pueden solicitar en línea a través de ePASS o en persona en su oficina DSS del condado con ayuda para establecer beneficios alimentarios y de salud después de la liberación.",2001 Mail Service Center,Raleigh,1-866-719-0141,,https://www.ncdhhs.gov/divisions/social-services/nc-fast,North Carolina residents meeting income and household-size requirements; criminal record generally not a barrier to SNAP and Medicaid.,Residentes de Carolina del Norte que cumplan requisitos de ingresos y tamaño del hogar; los antecedentes penales generalmente no son barrera para SNAP y Medicaid.,Apply at epass.nc.gov or visit your county DSS office; call 1-866-719-0141; bring ID and release documents.,Solicite en epass.nc.gov o visite su oficina DSS del condado; llame al 1-866-719-0141; traiga identificación y documentos de liberación.,County DSS offices typically Monday–Friday business hours,statewide|benefits|SNAP|Medicaid|NC-FAST|reentry,SNAP enrollment|Medicaid application|Work First cash assistance|County DSS referrals|Document verification,Wake,,statewide
4,NC 211,state-agency,Statewide,"NC 211 is a free statewide information and referral service connecting residents to health and human services including housing, food, utilities, employment, and crisis support across all 100 counties. United Way-supported navigators help callers find local programs by need and ZIP code through nc211.org and the 211 phone line. NC 211 is a referral service—not a direct-service provider.","NC 211 es un servicio gratuito de información y referencia estatal que conecta a residentes con servicios de salud y humanos incluyendo vivienda, alimentos, servicios públicos, empleo y apoyo en crisis en los 100 condados. Navegadores apoyados por United Way ayudan a encontrar programas locales por necesidad y código postal. Es un servicio de referencia, no un proveedor directo.",,,211,,https://nc211.org,Open to all North Carolina residents; no criminal-record restrictions stated.,Abierto a todos los residentes de Carolina del Norte; sin restricciones de antecedentes indicadas.,Dial 211 from any North Carolina phone; search resources online at nc211.org; text your ZIP code to 898-211.,Marque 211 desde cualquier teléfono de Carolina del Norte; busque recursos en nc211.org; envíe su código postal al 898-211.,Available during published service hours; check nc211.org,statewide|hotline|211|referral-only|basic-needs,Information and referral|Housing resource navigation|Benefits referrals|Crisis resource connections,,,statewide
5,Legal Aid of North Carolina — Statewide Helpline,legal-aid,Statewide,"Legal Aid of North Carolina is the state's nonprofit law firm providing free civil legal assistance to low-income residents including record expunction guidance, housing disputes, public benefits appeals, and family law matters affecting returning citizens. The statewide helpline at 866-219-5262 operates weekdays 9:00 a.m.–3:00 p.m., and applicants may apply online through JusticeHub at legalaidnc.org.","Legal Aid of North Carolina es la firma legal sin fines de lucro del estado que ofrece asistencia legal civil gratuita a residentes de bajos ingresos, incluyendo orientación sobre eliminación de antecedentes, disputas de vivienda y apelaciones de beneficios. La línea 866-219-5262 opera de lunes a viernes 9:00 a.m.–3:00 p.m.; también puede solicitar en JusticeHub.","319 Chapanoke Road, Suite 104",Raleigh,866-219-5262,,https://legalaidnc.org/,Low-income NC residents with civil legal needs; not criminal defense.,Residentes de NC de bajos ingresos con necesidades legales civiles; no defensa penal.,JusticeHub at legalaidnc.org/justicehub.,JusticeHub en legalaidnc.org/justicehub.,Helpline Monday–Friday 9:00 a.m.–3:00 p.m.,statewide|legal-aid|civil|expunction|reentry,Civil legal aid|Expunction guidance|Housing disputes|Benefits appeals|JusticeHub intake,Wake,,statewide
6,NCWorks — Statewide Workforce System,employment,Statewide,"NCWorks is North Carolina's statewide workforce system connecting job seekers—including justice-involved North Carolinians—to NCWorks Career Centers, career coaching, unemployment services, and WIOA training referrals through regional workforce boards covering all 100 counties. Fair-chance employment partners and NC Second Chance initiatives coordinate through NCWorks offices for returning citizens seeking sustainable employment.","NCWorks es el sistema estatal de fuerza laboral de Carolina del Norte que conecta a buscadores de empleo—incluidos carolinenses con antecedentes penales—a Centros de Carrera NCWorks, coaching de carrera, servicios de desempleo y referencias de capacitación WIOA a través de juntas regionales en los 100 condados. Las iniciativas de empleo de segunda oportunidad se coordinan a través de oficinas NCWorks.",313 Chapanoke Road,Raleigh,1-888-622-4473,,https://www.ncworks.gov,Open to North Carolina job seekers including justice-involved individuals; core career center services are free.,Abierto a buscadores de empleo de Carolina del Norte incluidas personas con antecedentes penales; servicios básicos del centro de carrera son gratuitos.,Find your nearest NCWorks Career Center at ncworks.gov/offices; register at ncworks.gov for job search tools.,Encuentre su Centro de Carrera NCWorks más cercano en ncworks.gov/offices; regístrese en ncworks.gov.,Career centers Monday–Friday business hours,statewide|employment|NCWorks|WIOA|fair-chance|reentry,Job search assistance|Career coaching|WIOA training referrals|Unemployment services|Fair-chance employment navigation,Wake,,statewide
7,NC Division of Vocational Rehabilitation Services (DVRS),employment,Statewide,"The North Carolina Division of Vocational Rehabilitation Services helps North Carolinians with disabilities—including justice-involved individuals with qualifying disabilities—prepare for, obtain, and maintain employment through counseling, training, job placement, and employer partnerships at offices statewide. DVRS coordinates with NCWorks and NCDAC reentry programs for disability employment supports after release.","La División de Servicios de Rehabilitación Vocacional de Carolina del Norte ayuda a carolinenses con discapacidades—incluidas personas con antecedentes penales con discapacidades calificadas—a prepararse, obtener y mantener empleo a través de consejería, capacitación, colocación laboral y alianzas con empleadores. DVRS coordina con NCWorks y programas de reinserción de NCDAC.",2806 Mail Service Center,Raleigh,1-800-689-9090,,https://www.ncdhhs.gov/divisions/dvrs,North Carolina residents with physical or mental disabilities that create employment barriers; eligibility determined through DVRS assessment.,Residentes de Carolina del Norte con discapacidades físicas o mentales que crean barreras laborales; elegibilidad determinada por evaluación DVRS.,Apply at ncdhhs.gov/dvrs or call 1-800-689-9090; offices listed at ncdhhs.gov/dvrs/contact-us.,Solicite en ncdhhs.gov/dvrs o llame al 1-800-689-9090; oficinas en ncdhhs.gov/dvrs/contact-us.,State and regional offices Monday–Friday business hours,statewide|employment|DVRS|disability|reentry|WIOA,Vocational counseling|Job placement|Skills training|Employer partnerships|Disability employment supports,Wake,,statewide
8,NC Crisis Solutions — Behavioral Health Crisis,healthcare,Statewide,"NC Crisis Solutions is the North Carolina Department of Health and Human Services initiative connecting residents to behavioral health crisis services including mobile crisis teams, facility-based crisis centers, and 988 Suicide and Crisis Lifeline support statewide. Justice-involved individuals experiencing mental health or substance use emergencies can access free crisis response through local managed care organizations—not reentry housing or benefits intake.","NC Crisis Solutions es la iniciativa del Departamento de Salud y Servicios Humanos de Carolina del Norte que conecta a residentes con servicios de crisis de salud conductual incluyendo equipos de crisis móviles, centros de crisis y apoyo de la Línea 988 en todo el estado. Personas con antecedentes penales en emergencias de salud mental o uso de sustancias pueden acceder a respuesta de crisis gratuita.",,,988,,https://www.ncdhhs.gov/about/department-initiatives/nc-crisis-solutions,"Open to anyone in North Carolina experiencing a mental health, substance use, or developmental disability crisis.","Abierto a cualquier persona en Carolina del Norte en crisis de salud mental, uso de sustancias o discapacidad del desarrollo.",Call or text 988; contact your local LME-MCO for mobile crisis; visit ncdhhs.gov NC Crisis Solutions for county resources.,Llame o envíe texto al 988; contacte su LME-MCO local para crisis móvil; visite ncdhhs.gov NC Crisis Solutions.,Available 24/7 via 988,statewide|hotline|crisis|mental-health|988|NC-Crisis-Solutions,Crisis counseling|Mental health referrals|Mobile crisis team dispatch|Substance use crisis support,,,statewide
9,988 Suicide & Crisis Lifeline — North Carolina,healthcare,Statewide,"Free confidential 24/7 crisis support for people experiencing mental health emergencies, suicidal thoughts, or substance use crises in North Carolina. Trained specialists provide immediate support and can connect callers to local mobile crisis teams through NC Crisis Solutions partners. Available to anyone—not reentry-specific but essential for justice-involved individuals in crisis.","Apoyo gratuito y confidencial 24/7 para emergencias de salud mental, pensamientos suicidas o crisis por uso de sustancias en Carolina del Norte. Especialistas capacitados ofrecen apoyo inmediato y conexión a equipos de crisis móviles a través de aliados de NC Crisis Solutions. Disponible para cualquier persona, esencial para personas con antecedentes penales en crisis.",,,988,,https://988lifeline.org,Open to anyone in North Carolina experiencing a mental health or suicide crisis; no eligibility restrictions.,Abierto a cualquier persona en Carolina del Norte en crisis de salud mental o suicidio; sin restricciones.,Call or text 988; Spanish-language support available. For immediate physical danger call 911.,Llame o envíe texto al 988; soporte en español disponible. Para peligro físico inmediato llame al 911.,Available 24/7,statewide|hotline|crisis|mental-health|988,Crisis counseling|Suicide prevention support|Mental health referrals|Substance use crisis support,,,statewide
10,SAMHSA National Helpline,substance-use-treatment,Statewide,Free confidential 24/7 treatment referral and information service for individuals and families facing mental health or substance use disorders. Provides referrals to local treatment facilities and community organizations in North Carolina and nationwide. Spanish-language support available through trained specialists for justice-involved individuals seeking SUD or mental health treatment after release.,Servicio gratuito y confidencial 24/7 de referencia e información para personas y familias con trastornos de salud mental o uso de sustancias. Proporciona referencias a centros de tratamiento locales en Carolina del Norte y a nivel nacional. Soporte en español disponible para personas con antecedentes penales que buscan tratamiento después de la liberación.,,,800-662-4357,,https://www.samhsa.gov/find-help/national-helpline,Open to anyone in the United States seeking substance use or mental health treatment information and referrals.,Abierto a cualquier persona en Estados Unidos que busque información y referencias de tratamiento.,TTY 800-487-4889; also use FindTreatment.gov to search North Carolina providers online.,TTY 800-487-4889; también use FindTreatment.gov para buscar proveedores en Carolina del Norte.,Available 24/7,statewide|hotline|substance-use|treatment-referral|national,Treatment referrals|Substance use information|Mental health resource navigation,,,statewide
