id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
1,FDC — Reentry & Transition Services,state-agency,Statewide,"The Florida Department of Corrections coordinates statewide reentry planning, pre-release programming, and community transition services for people leaving FDC custody across all 67 counties. Reentry staff at the Tallahassee headquarters work with facility classification counselors, probation officers, and local nonprofits to connect returning citizens to housing, employment, MyACCESS benefits, and treatment before and after release. This office provides planning and referrals—not emergency shelter, cash assistance, or legal representation.","El Departamento de Correcciones de Florida coordina la planificación estatal de reinserción, programación previa a la liberación y servicios de transición comunitaria para personas que salen de custodia FDC en los 67 condados. El personal de reinserción en Tallahassee trabaja con consejeros de clasificación, oficiales de probatoria y organizaciones locales para conectar a ciudadanos que regresan con vivienda, empleo, beneficios MyACCESS y tratamiento.",501 South Calhoun Street,Tallahassee,850-488-5021,,https://www.fdc.myflorida.com/reentry,Individuals in FDC custody preparing for release or under community supervision; community partners seeking FDC reentry engagement.,Personas en custodia FDC que se preparan para la liberación o bajo supervisión comunitaria; aliados comunitarios que buscan coordinación de reinserción.,Visit fdc.myflorida.com/reentry for program overview; coordinate through facility reentry staff and assigned probation officer after release.,Visite fdc.myflorida.com/reentry; coordine con el personal de reinserción de la instalación y el oficial de probatoria asignado.,State office Monday–Friday business hours,statewide|reentry|FDC|DOC|pre-release|community-supervision,Pre-release planning|Community reentry coordination|Partner referrals|Reentry resource navigation|Supervision linkage,Leon,,statewide,accepts_criminal_record
2,FDC — Probation & Parole Services,probation-parole,Statewide,"FDC Probation and Parole Services supervises adults on felony probation, parole, and community control through circuit offices across Florida, connecting supervisees to employment, treatment, and housing resources as conditions of release. Probation officers coordinate with CareerSource Florida, DCF MyACCESS, local behavioral health providers, and reentry nonprofits in every county. Contact your assigned officer—not a walk-in benefits or emergency housing intake center.","Servicios de Probatoria y Libertad Condicional de FDC supervisa adultos en probatoria por delito grave, libertad condicional y control comunitario a través de oficinas de circuito en Florida, conectando a supervisados con empleo, tratamiento y vivienda según condiciones de liberación. Los oficiales coordinan con CareerSource Florida, MyACCESS DCF y proveedores locales.",501 South Calhoun Street,Tallahassee,850-488-5021,,https://www.fdc.myflorida.com/probation,"Adults under FDC probation, parole, or community control in Florida; report to assigned probation officer.","Adultos bajo probatoria, libertad condicional o control comunitario de FDC en Florida; reporte al oficial de probatoria asignado.",Find circuit office contacts at fdc.myflorida.com/probation; statewide information 850-488-5021.,Encuentre contactos de oficinas de circuito en fdc.myflorida.com/probation; información estatal 850-488-5021.,Circuit offices typically Monday–Friday business hours,statewide|probation-parole|FDC|parole|community-control|reentry,Probation supervision|Parole reporting|Treatment referrals|Employment coordination|Reentry partner linkage,Leon,,statewide,accepts_criminal_record
3,MyACCESS Florida,financial-assistance,Statewide,"MyACCESS Florida is the state's official online portal for applying for and managing SNAP food assistance, Temporary Cash Assistance (TCA), and Florida Medicaid through the Department of Children and Families. Justice-involved Floridians can apply for health coverage and food support after release from FDC custody or county jails using the same account used by county DCF Family Resource Centers statewide. Online application and account management—not a crisis hotline or emergency shelter provider.","MyACCESS Florida es el portal en línea oficial del estado para solicitar y administrar asistencia alimentaria SNAP, Asistencia Temporal en Efectivo (TCA) y Medicaid de Florida a través del Departamento de Niños y Familias. Los floridanos en reinserción pueden solicitar cobertura de salud y apoyo alimentario después de la liberación usando la misma cuenta que las oficinas DCF del condado.",,,850-300-4323,,https://myaccess.myflfamilies.com,"Florida residents meeting income and household requirements for Medicaid, SNAP, or TCA; criminal record generally not a barrier to Medicaid and SNAP.","Residentes de Florida que cumplan requisitos de ingresos para Medicaid, SNAP o TCA; los antecedentes penales generalmente no son barrera para Medicaid y SNAP.",Apply online at myaccess.myflfamilies.com; call 850-300-4323 for DCF Customer Call Center; visit county Family Resource Center for in-person help.,Solicite en myaccess.myflfamilies.com; llame al 850-300-4323; visite el Centro de Recursos Familiares del condado.,Online 24/7; county DCF office hours vary,statewide|benefits|Medicaid|SNAP|online|DCF|ACCESS|reentry,Medicaid application|SNAP enrollment|TCA application|Benefits account management|Document upload,,,statewide,
4,AHCA — Florida Medicaid,healthcare,Statewide,"The Agency for Health Care Administration administers Florida Medicaid managed care for eligible low-income Floridians through contracted health plans and managed medical assistance across all 67 counties. Returning citizens can enroll through MyACCESS Florida or county DCF offices to access primary care, behavioral health, and prescription coverage after release from FDC custody. AHCA is health coverage administration—not a walk-in clinic or emergency room.","La Agencia para la Administración de Atención Médica administra la atención administrada de Medicaid de Florida para floridanos elegibles de bajos ingresos a través de planes de salud contratados en los 67 condados. Los ciudadanos que regresan pueden inscribirse a través de MyACCESS Florida para acceder a atención primaria y salud conductual. Contact the program directly to confirm current hours, eligibility, and intake requirements before visiting in person.",2727 Mahan Drive,Tallahassee,877-254-1055,,https://www.ahca.myflorida.com,Florida residents meeting Medicaid income and categorical eligibility; enrollment through MyACCESS or DCF.,Residentes de Florida que cumplan elegibilidad de ingresos de Medicaid; inscripción a través de MyACCESS o DCF.,Apply at myaccess.myflfamilies.com; member services 877-254-1055; find your plan at ahca.myflorida.com.,Solicite en myaccess.myflfamilies.com; servicios al miembro 877-254-1055; encuentre su plan en ahca.myflorida.com.,State office Monday–Friday business hours,statewide|healthcare|Medicaid|AHCA|insurance|reentry,Medicaid enrollment|Health plan selection|Member services|Behavioral health plan navigation|Coverage verification,Leon,,statewide,accepts_criminal_record
5,211 Florida,state-agency,Statewide,"211 Florida is a free statewide information and referral service connecting residents to health and human services including housing, food, utilities, employment, and crisis support in all 67 Florida counties. United Way-supported navigators help callers find local programs by need and ZIP code through 211.org and by dialing 211 from any Florida phone. 211 Florida is a referral service—not a direct-service provider.","211 Florida es un servicio gratuito de información y referencia estatal que conecta a residentes con servicios de salud y humanos incluyendo vivienda, alimentos, servicios públicos, empleo y apoyo en crisis en los 67 condados de Florida. Navegadores apoyados por United Way ayudan a encontrar programas locales por necesidad y código postal. Contact the program directly to confirm current hours, eligibility, and intake requirements before visiting in person.",,,211,,https://www.211.org,Open to all Florida residents; no criminal-record restrictions stated.,Abierto a todos los residentes de Florida; sin restricciones de antecedentes indicadas.,Dial 211 from any Florida phone; search resources online at 211.org; text your ZIP code to 898-211.,Marque 211 desde cualquier teléfono de Florida; busque recursos en 211.org; envíe su código postal al 898-211.,Available during published service hours; check 211.org,statewide|hotline|211|referral-only|basic-needs,Information and referral|Crisis navigation|Housing referrals|Benefits navigation|Utility assistance referrals,,,statewide,
6,Florida Legal Services — Statewide Intake,legal-aid,Statewide,"Florida Legal Services operates a statewide intake line connecting low-income Floridians—including returning citizens with civil legal needs after release from FDC custody—to regional legal aid offices for housing, benefits, family law, and expungement assistance. Intake specialists route callers to local programs such as Bay Area Legal Services, Community Legal Services of Mid-Florida, and Legal Services of Greater Miami. Civil legal aid—not criminal defense representation.","Florida Legal Services opera una línea de admisión estatal que conecta a floridanos de bajos ingresos—incluidos ciudadanos que regresan con necesidades legales civiles después de la liberación de custodia FDC—a oficinas regionales de ayuda legal para vivienda, beneficios, derecho familiar y asistencia de eliminación de antecedentes. Contact the program directly to confirm current hours, eligibility, and intake requirements before visiting in person.",2425 Torrey Pines Drive,Tallahassee,850-385-7900,,https://www.floridalegal.org,Low-income Florida residents with civil legal needs; income and case-type eligibility vary by regional program.,Residentes de Florida de bajos ingresos con necesidades legales civiles; la elegibilidad varía según el programa regional.,Call 850-385-7900 for statewide intake; visit floridalegal.org to find your regional legal aid office.,Llame al 850-385-7900 para admisión estatal; visite floridalegal.org para encontrar su oficina regional.,Monday–Friday business hours,statewide|legal-aid|intake|civil|reentry|expungement,Legal aid intake|Housing legal help|Benefits appeals|Family law referrals|Expungement guidance,Leon,,statewide,accepts_criminal_record
7,CareerSource Florida,employment,Statewide,"CareerSource Florida is the statewide workforce development network connecting job seekers—including justice-involved adults after FDC release—to WIOA-funded training, resume assistance, career coaching, and fair-chance employer navigation through 24 local CareerSource boards across all 67 counties. Returning citizens can register online and visit local career centers for employment services linked to DCF benefits and reentry nonprofits. Free core career services—not emergency cash or housing placement.","CareerSource Florida es la red estatal de desarrollo laboral que conecta buscadores de empleo—incluidos adultos con antecedentes penales después de la liberación FDC—a capacitación WIOA, ayuda con currículum y navegación de empleo de segunda oportunidad a través de 24 juntas locales CareerSource en los 67 condados. Contact the program directly to confirm current hours, eligibility, and intake requirements before visiting in person.",2002 Old St. Augustine Road,Tallahassee,850-245-4500,,https://careersourceflorida.com,Open to Florida job seekers including justice-involved individuals; core CareerSource services are free.,Abierto a buscadores de empleo de Florida incluidas personas con antecedentes penales; servicios básicos gratuitos.,Register at careersourceflorida.com; call 850-245-4500; find your local board by county.,Regístrese en careersourceflorida.com; llame al 850-245-4500; encuentre su junta local por condado.,Local career center hours vary; online registration 24/7,statewide|employment|CareerSource|WIOA|fair-chance|reentry,Job search assistance|WIOA training referrals|Resume coaching|Fair-chance employment|Career planning,,,statewide,accepts_criminal_record
8,Florida Division of Vocational Rehabilitation,employment,Statewide,"The Florida Division of Vocational Rehabilitation helps Floridians with disabilities—including justice-involved individuals with documented disabilities—prepare for, obtain, and retain employment through counseling, training, assistive technology, and job placement across 15 area offices statewide. VR counselors coordinate with CareerSource Florida, FDC reentry staff, and local employers for fair-chance hiring. Vocational rehabilitation—not emergency benefits or housing.","La División de Rehabilitación Vocacional de Florida ayuda a floridanos con discapacidades—incluidas personas con antecedentes penales con discapacidades documentadas—a prepararse, obtener y mantener empleo a través de consejería, capacitación y colocación laboral en 15 oficinas de área en todo el estado. Contact the program directly to confirm current hours, eligibility, and intake requirements before visiting in person.",2002 Old St. Augustine Road,Tallahassee,850-245-4200,,https://www.rehabworks.org,Florida residents with physical or mental disabilities that create barriers to employment; justice-involved applicants with qualifying disabilities.,Residentes de Florida con discapacidades físicas o mentales que crean barreras al empleo; solicitantes con antecedentes penales con discapacidades calificadas.,Apply at rehabworks.org or call 850-245-4200; area offices serve all 67 counties.,Solicite en rehabworks.org o llame al 850-245-4200; las oficinas de área sirven a los 67 condados.,Area offices Monday–Friday business hours,statewide|employment|vocational-rehab|disability|reentry,Vocational counseling|Job placement|Training referrals|Assistive technology|Employer coordination,,,statewide,accepts_criminal_record
9,Florida Department of Veterans' Affairs,veterans,Statewide,"The Florida Department of Veterans' Affairs helps veterans and their families access federal VA benefits, state veterans preference in hiring, and county veterans service offices across all 67 counties. Justice-involved veterans leaving FDC custody can connect to VA healthcare, disability compensation, and housing programs through FDVA benefits counselors. Veterans benefits navigation—not emergency shelter or general population cash assistance.","El Departamento de Asuntos de Veteranos de Florida ayuda a veteranos y sus familias a acceder a beneficios federales VA, preferencia de veteranos estatales en contratación y oficinas de servicios para veteranos del condado en los 67 condados. Los veteranos con antecedentes penales pueden conectarse con atención médica VA y programas de vivienda. Contact the program directly to confirm current hours, eligibility, and intake requirements before visiting in person.",9500 Bay Pines Boulevard,Bay Pines,727-319-7440,,https://www.floridavets.org,"Florida veterans, service members, and eligible family members; DD-214 or military service documentation required.","Veteranos de Florida, miembros del servicio y familiares elegibles; se requiere DD-214 o documentación de servicio militar.",Find your county veterans service officer at floridavets.org; call 727-319-7440 for state headquarters.,Encuentre su oficial de servicios para veteranos del condado en floridavets.org; llame al 727-319-7440.,County VSO offices Monday–Friday; state office business hours,statewide|veterans|VA|benefits|reentry,VA benefits counseling|Disability claims help|Healthcare enrollment|State hiring preference|Housing referrals,Pinellas,,statewide,accepts_criminal_record
10,FLHSMV — Driver Licenses & ID,id-documentation,Statewide,"The Florida Department of Highway Safety and Motor Vehicles issues driver licenses, state identification cards, and driving records through tax collector and driver license service centers in all 67 counties. Returning citizens reestablishing identity after FDC release can obtain REAL ID-compliant credentials with required documents listed at flhsmv.gov. FLHSMV issues credentials—not probation reporting or benefits enrollment.","El Departamento de Seguridad de Carreteras y Vehículos Motorizados de Florida emite licencias de conducir, tarjetas de identificación estatal y registros de conducción a través de centros de servicio en los 67 condados. Los ciudadanos que regresan pueden obtener credenciales compatibles con REAL ID con los documentos requeridos en flhsmv.gov. Contact the program directly to confirm current hours, eligibility, and intake requirements before visiting in person.",2900 Apalachee Parkway,Tallahassee,850-617-2000,,https://www.flhsmv.gov,Florida residents meeting identity and lawful presence documentation requirements for driver license or ID card.,Residentes de Florida que cumplan requisitos de documentación de identidad y presencia legal para licencia o tarjeta de identificación.,Schedule appointments at flhsmv.gov/locations; bring required documents; tax collector offices vary by county.,Programe citas en flhsmv.gov/locations; traiga documentos requeridos; las oficinas del recaudador varían por condado.,Service center hours vary by county,statewide|id-documentation|DMV|driver-license|REAL-ID|reentry,Driver license issuance|State ID cards|Driving records|REAL ID credentials|Appointment scheduling,Leon,,statewide,accepts_criminal_record
