id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
1,MDOC — Reentry & Community Corrections,state-agency,Statewide,"The Mississippi Department of Corrections coordinates statewide reentry planning, pre-release programming, and community corrections supervision for individuals preparing to leave MDOC custody or under probation and parole across all 82 counties. Reentry staff connect returning citizens to MDHS benefits through access.ms.gov, Mississippi Works job centers, Division of Medicaid enrollment, and local treatment and housing partners before and after release. This office provides planning and referrals—not a walk-in crisis line or emergency cash provider.","El Departamento de Correcciones de Mississippi coordina la planificación estatal de reinserción, programación previa a la liberación y supervisión de correcciones comunitarias para personas que se preparan para salir de custodia de MDOC o bajo probatoria y libertad condicional en los 82 condados. El personal de reinserción conecta a ciudadanos que regresan con beneficios MDHS a través de access.ms.gov, centros Mississippi Works e inscripción en Medicaid. Esta oficina ofrece planificación y referencias, no es una línea de crisis ni proveedor de efectivo de emergencia.",633 North State Street,Jackson,601-359-5600,,https://www.mdoc.ms.gov,Individuals in MDOC custody preparing for release or under community supervision; community partners seeking MDOC reentry engagement.,Personas en custodia de MDOC que se preparan para la liberación o bajo supervisión comunitaria; aliados comunitarios que buscan coordinación de reinserción.,Visit mdoc.ms.gov for reentry resources; coordinate through facility reentry staff and assigned probation or parole officer after release.,Visite mdoc.ms.gov para recursos de reinserción; coordine a través del personal de reinserción de la instalación y el oficial de probatoria asignado.,State office Monday–Friday business hours,statewide|reentry|MDOC|DOC|pre-release|community-corrections,Pre-release planning|Community corrections coordination|Partner referrals|Reentry resource navigation|Supervision linkage,Hinds,,statewide,accepts_criminal_record
2,MDOC — Probation & Parole Field Operations,probation-parole,Statewide,"MDOC Probation and Parole Field Operations supervises adults on probation and parole through regional field offices across Mississippi, connecting supervisees to employment, treatment, and housing referrals as conditions of release. Field officers coordinate with Mississippi Works, MDHS benefits offices, DMH community mental health centers, and local reentry nonprofits in every region. Contact your assigned officer—not a walk-in benefits or emergency housing intake center.","Operaciones de Campo de Probatoria y Libertad Condicional de MDOC supervisa adultos en probatoria y libertad condicional a través de oficinas regionales en Mississippi, conectando supervisados con empleo, tratamiento y vivienda según condiciones de liberación. Los oficiales coordinan con Mississippi Works, oficinas MDHS y centros comunitarios de salud mental DMH. Contacte a su oficial asignado; no es un centro de admisión de beneficios o vivienda de emergencia.",633 North State Street,Jackson,601-359-5601,,https://www.mdoc.ms.gov/ProbationParole,Adults under MDOC probation or parole supervision in Mississippi; report to assigned field officer.,Adultos bajo supervisión probatoria o de libertad condicional de MDOC en Mississippi; reporte al oficial de campo asignado.,Find regional field office contacts at mdoc.ms.gov; statewide information 601-359-5601; ask your officer about local reentry referrals.,Encuentre contactos de oficinas regionales en mdoc.ms.gov; información estatal 601-359-5601; pregunte a su oficial sobre referencias locales.,Field offices typically Monday–Friday business hours,statewide|probation-parole|MDOC|parole|community-supervision|reentry,Probation supervision|Parole supervision|Community reporting|Treatment referrals|Reentry partner coordination,Hinds,,statewide,accepts_criminal_record
3,access.ms.gov — MDHS Benefits Portal,financial-assistance,Statewide,"access.ms.gov is Mississippi's official online portal for applying for and managing SNAP food assistance, Temporary Assistance for Needy Families (TANF) cash benefits, child care subsidies, and Medicaid application referrals through county MDHS Economic Assistance offices. Justice-involved Mississippians can apply for food and cash support after release from MDOC custody or county jails using the same account used by all 82 county MDHS offices statewide.","access.ms.gov es el portal en línea oficial de Mississippi para solicitar y administrar asistencia alimentaria SNAP, beneficios en efectivo TANF, subsidios de cuidado infantil y referencias de solicitud de Medicaid a través de oficinas de Asistencia Económica MDHS del condado. Los mississippianos en reinserción pueden solicitar apoyo alimentario y en efectivo después de la liberación.",,,800-948-3050,,https://access.ms.gov,"Mississippi residents meeting income and household-size requirements for SNAP, TANF, or child care assistance; criminal record generally not a barrier to SNAP eligibility.","Residentes de Mississippi que cumplan requisitos de ingresos y tamaño del hogar para SNAP, TANF o asistencia de cuidado infantil; los antecedentes penales generalmente no son barrera para SNAP.",Apply online at access.ms.gov; call 800-948-3050 for SNAP/TANF customer service; visit your county MDHS office for in-person verification.,Solicite en access.ms.gov; llame al 800-948-3050; visite su oficina MDHS del condado para verificación presencial.,Online 24/7; county MDHS office hours vary,statewide|benefits|SNAP|TANF|access-ms-gov|reentry,SNAP enrollment|TANF application|Child care subsidy applications|Medicaid referral|County MDHS office locator,,,statewide,accepts_criminal_record
4,Mississippi Division of Medicaid,healthcare,Statewide,"The Mississippi Division of Medicaid administers Medicaid and CHIP health coverage for eligible low-income residents statewide, including pregnant women, children, disabled adults, and certain low-income parents through managed care plans. Returning citizens can apply for Medicaid before or immediately after release to secure prescription and primary care coverage; recipient services staff help with enrollment questions and eligibility appeals by phone.","La División de Medicaid de Mississippi administra la cobertura Medicaid y CHIP para residentes elegibles de bajos ingresos en todo el estado, incluidas mujeres embarazadas, niños, adultos discapacitados y ciertos padres de bajos ingresos. Los ciudadanos que regresan pueden solicitar Medicaid antes o inmediatamente después de la liberación para asegurar cobertura de recetas y atención primaria.","550 High Street, Suite 1604",Jackson,800-421-2408,,https://medicaid.ms.gov,Mississippi residents meeting income and category requirements; Mississippi has not expanded Medicaid to all low-income adults.,Residentes de Mississippi que cumplan requisitos de ingresos y categoría; Mississippi no ha expandido Medicaid a todos los adultos de bajos ingresos.,Apply through access.ms.gov or call 800-421-2408; ask about disability-based categories and presumptive eligibility for pregnant applicants.,Solicite a través de access.ms.gov o llame al 800-421-2408; pregunte sobre categorías por discapacidad y elegibilidad presuntiva para embarazadas.,"Recipient call center Monday–Friday, 8:00 a.m.–5:00 p.m. CT",statewide|healthcare|Medicaid|health-insurance|reentry,Medicaid application assistance|Eligibility determination|Managed care plan navigation|Recipient services helpline|Appeals support,Hinds,,statewide,accepts_criminal_record
5,211 Mississippi,state-agency,Statewide,"211 Mississippi is a free statewide information and referral service connecting residents to health and human services including housing, food, utilities, employment, and crisis support across all 82 counties. United Way-supported navigators help callers find local programs by need and ZIP code through ms211.org and by dialing 211 from any Mississippi phone. 211 Mississippi is a referral service—not a direct-service provider.","211 Mississippi es un servicio gratuito de información y referencia estatal que conecta a residentes con servicios de salud y humanos incluyendo vivienda, alimentos, servicios públicos, empleo y apoyo en crisis en los 82 condados. Navegadores apoyados por United Way ayudan a encontrar programas locales por necesidad y código postal. Es un servicio de referencia, no un proveedor directo.",,,211,,https://www.ms211.org,Open to all Mississippi residents; no criminal-record restrictions stated.,Abierto a todos los residentes de Mississippi; sin restricciones de antecedentes indicadas.,Dial 211 from any Mississippi phone; search resources online at ms211.org; text your ZIP code to 898-211 where available.,Marque 211 desde cualquier teléfono de Mississippi; busque recursos en ms211.org; envíe su código postal al 898-211 donde esté disponible.,Available during published service hours; check ms211.org,statewide|hotline|211|referral-only|basic-needs,Information and referral|Housing resource navigation|Benefits referrals|Crisis resource connections|Local program search,,,statewide,
6,Mississippi Center for Legal Services — Statewide Intake,legal-aid,Statewide,"Mississippi Center for Legal Services is the state's primary nonprofit civil legal aid provider serving low-income Mississippians with housing, public benefits, family law, and criminal record relief including expungement under Mississippi law. Centralized statewide intake at 1-800-498-1804 routes callers to regional offices in Jackson, Hattiesburg, Gulfport, Tupelo, and Greenwood—not criminal defense representation.","Mississippi Center for Legal Services es el principal proveedor sin fines de lucro de asistencia legal civil del estado que sirve a personas de bajos ingresos con vivienda, beneficios públicos, derecho familiar y alivio de antecedentes penales incluida la expungación bajo la ley de Mississippi. La admisión centralizada enruta a oficinas regionales, no defensa penal.","206 East Capitol Street, Suite 700",Jackson,800-498-1804,,https://www.mslegalservices.org,Low-income Mississippi residents with non-criminal legal problems; LSC income limits apply; offense-type restrictions may apply for record relief eligibility.,Residentes de Mississippi de bajos ingresos con problemas legales no penales; aplican límites de ingresos LSC; pueden aplicar restricciones por tipo de delito para alivio de antecedentes.,Apply online at mslegalservices.org or call 1-800-498-1804; regional offices serve specific counties listed on the website.,Solicite en mslegalservices.org o llame al 1-800-498-1804; las oficinas regionales sirven condados específicos listados en el sitio web.,Intake Monday–Friday business hours; online application 24/7,statewide|legal-aid|low-income|expungement|hotline,Civil legal representation|Expungement assistance|Housing legal aid|Benefits advocacy|Regional office referrals,Hinds,,statewide,
7,Mississippi Works — WIN Job Center Network,employment,Statewide,"Mississippi Works is the statewide workforce development network operated through the Mississippi Department of Employment Security, connecting job seekers in all 82 counties to WIN Job Centers, career coaching, WIOA training referrals, and fair-chance employment navigation. Justice-involved adults leaving MDOC custody or county jails can register at msworks.ms.gov for free core services at local one-stop centers. Workforce services—not emergency cash or housing placement.","Mississippi Works es la red estatal de desarrollo de la fuerza laboral operada por el Departamento de Seguridad del Empleo de Mississippi, conectando buscadores de empleo en los 82 condados con centros WIN Job Center, coaching de carrera y referencias de capacitación WIOA. Los adultos con antecedentes penales pueden registrarse en msworks.ms.gov para servicios básicos gratuitos.",1230 Raymond Road,Jackson,601-321-6000,,https://msworks.ms.gov,Open to Mississippi job seekers including justice-involved individuals; core Mississippi Works services are free.,Abierto a buscadores de empleo de Mississippi incluidas personas con antecedentes penales; servicios básicos gratuitos.,Register at msworks.ms.gov; find your nearest WIN Job Center by ZIP code; pairs with MDHS benefits and MDRS vocational rehabilitation.,Regístrese en msworks.ms.gov; encuentre su WIN Job Center más cercano por código postal; se vincula con beneficios MDHS y rehabilitación vocacional MDRS.,WIN Job Centers typically Monday–Friday business hours,statewide|employment|mississippi-works|WIN|WIOA|fair-chance|reentry,Career coaching|Resume assistance|WIOA training referrals|Job search tools|Fair-chance employment navigation,Hinds,,statewide,accepts_criminal_record
8,MDRS — Vocational Rehabilitation Services,employment,Statewide,"The Mississippi Department of Rehabilitation Services helps Mississippians with disabilities—including justice-involved individuals with qualifying disabilities—prepare for, obtain, and maintain employment through vocational counseling, assistive technology, training, and job placement at district offices statewide. VR counselors coordinate with Mississippi Works, Division of Medicaid behavioral health providers, and MDOC reentry staff on individualized employment plans. VR eligibility requires a documented disability affecting employment—not general reentry case management.","El Departamento de Servicios de Rehabilitación de Mississippi ayuda a mississippianos con discapacidades—incluidas personas con antecedentes penales con discapacidades calificadas—a prepararse, obtener y mantener empleo mediante consejería vocacional, tecnología de asistencia y colocación laboral. La elegibilidad VR requiere una discapacidad documentada que afecte el empleo.",1270 Eastover Drive,Jackson,800-443-1000,,https://www.mdrs.ms.gov,Mississippi residents with a physical or mental disability that is a substantial barrier to employment; justice-involved applicants welcome if VR eligible.,Residentes de Mississippi con una discapacidad física o mental que sea una barrera sustancial al empleo; solicitantes con antecedentes penales bienvenidos si son elegibles para VR.,Apply at mdrs.ms.gov or call 800-443-1000; district office locations listed on the MDRS website.,Solicite en mdrs.ms.gov o llame al 800-443-1000; las ubicaciones de oficinas de distrito están en el sitio web de MDRS.,District offices Monday–Friday business hours,statewide|employment|MDRS|vocational-rehabilitation|disability|reentry,Vocational counseling|Job placement|Assistive technology|Skills training|Disability employment supports,Hinds,,statewide,accepts_criminal_record
9,Mississippi Veterans Affairs,veterans,Statewide,"The Mississippi Veterans Affairs Board helps justice-involved veterans access VA benefits, disability claims, education benefits, and housing resources through county veterans service officers across all 82 counties. Veterans released from incarceration may qualify for VA health care, vocational rehabilitation, and veterans treatment court supports. Benefits navigation and claims advocacy—not emergency shelter.","La Junta de Asuntos de Veteranos de Mississippi ayuda a veteranos con antecedentes penales a acceder a beneficios del VA, reclamaciones de discapacidad, beneficios educativos y recursos de vivienda a través de oficiales de servicios para veteranos del condado en los 82 condados. Los veteranos liberados pueden calificar para atención médica del VA y tribunales de tratamiento para veteranos.",3463 Northside Drive,Jackson,601-576-4850,,https://www.msva.ms.gov,Honorably discharged or qualifying Mississippi veterans and their dependents; service documentation required.,Veteranos de Mississippi con baja honorable o calificados y sus dependientes; se requiere documentación de servicio.,Find your county veterans service officer at msva.ms.gov; free benefits claims assistance available at county offices statewide.,Encuentre su oficial de servicios para veteranos del condado en msva.ms.gov; asistencia gratuita con reclamaciones disponible en oficinas del condado.,County offices Monday–Friday business hours,statewide|veterans|VA-benefits|reentry|justice-involved-veterans,VA benefits claims assistance|Disability claims navigation|Education benefits guidance|Veterans treatment court support|County VSO referrals,Hinds,,statewide,accepts_criminal_record
10,Mississippi DPS — Driver License Division,id-documentation,Statewide,"The Mississippi Department of Public Safety Driver License Division issues state ID cards and driver's licenses required for employment, housing, and benefits enrollment after release. Returning citizens can apply for a Mississippi ID at driver license offices statewide with proof of identity and residency. Not a vital records office—contact MSDH Vital Records for birth certificates.","La División de Licencias de Conducir del Departamento de Seguridad Pública de Mississippi emite tarjetas de identificación estatal y licencias de conducir necesarias para empleo, vivienda e inscripción en beneficios después de la liberación. Los ciudadanos que regresan pueden solicitar una identificación de Mississippi en oficinas de licencias con prueba de identidad y residencia. No es oficina de registros vitales.",1900 East Woodrow Wilson Avenue,Jackson,601-987-1272,,https://www.dps.ms.gov/driver-services,Mississippi residents with required identity and residency documentation; fees apply for ID cards and licenses.,Residentes de Mississippi con documentación requerida de identidad y residencia; aplican tarifas para tarjetas de identificación.,Find driver license offices at dps.ms.gov; bring certified birth certificate or passport plus proof of Mississippi residency.,Encuentre oficinas en dps.ms.gov; traiga certificado de nacimiento o pasaporte más prueba de residencia en Mississippi.,Driver license office hours vary; check dps.ms.gov,statewide|id-documentation|DPS|drivers-license|state-id|reentry,State ID card issuance|Driver's license services|ID renewal|Driver license office locator,Hinds,,statewide,accepts_criminal_record
