id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
1,VADOC — Reentry & Reintegration Services,state-agency,Statewide,"The Virginia Department of Corrections coordinates statewide reentry planning that begins at intake and continues through release and community supervision. Reentry staff connect people leaving state custody to housing options, Medicaid enrollment, DMV Connect ID services, employment programs, and local reentry councils across Virginia. This office provides planning, programming, and referrals—not a walk-in crisis line or emergency cash assistance.","El Departamento de Correcciones de Virginia coordina la planificación estatal de reinserción que comienza al ingreso y continúa durante la liberación y la supervisión comunitaria. El personal de reinserción conecta a las personas que salen de custodia estatal con vivienda, inscripción en Medicaid, servicios de identificación DMV Connect, programas de empleo y consejos locales de reinserción en toda Virginia. Esta oficina ofrece planificación y referencias, no es una línea de crisis ni asistencia de efectivo de emergencia.",6900 Atmore Drive,Richmond,804-674-3000,,https://vadoc.virginia.gov/inmates-and-supervisees/reentry-resources/,"People in VADOC custody, preparing for release, or under VADOC community supervision; families and community partners may use the published reentry resources.","Personas en custodia de VADOC, preparándose para la liberación o bajo supervisión comunitaria de VADOC; las familias y los aliados comunitarios pueden usar los recursos publicados de reinserción.",Review the Reentry Resource Packet and Pathway to Benefits brochure on the VADOC website; coordinate through your facility reentry staff or assigned probation officer; dial 211 for local referrals.,Revise el Paquete de Recursos de Reinserción y el folleto Pathway to Benefits en el sitio web de VADOC; coordine con el personal de reinserción de su instalación o su oficial de probatoria; marque 211 para referencias locales.,State office Monday–Friday business hours,statewide|reentry|VADOC|DOC|pre-release|parole|probation,Pre-release reentry planning|Medicaid enrollment coordination|DMV Connect ID scheduling|Local reentry council connections|Community partner referrals,Richmond City,,statewide,accepts_criminal_record
2,VADOC — Probation & Parole District Offices,probation-parole,Statewide,"The Virginia Department of Corrections Division of Community Corrections supervises people on probation and parole through 43 probation and parole district offices that together cover every Virginia city and county. District officers complete risk and needs assessments, refer supervisees to substance use treatment, mental health care, employment services, and housing, and coordinate Community Corrections Alternative Programs and reentry probation seminars for people returning from prison.","La División de Correcciones Comunitarias del Departamento de Correcciones de Virginia supervisa a personas en probatoria y libertad condicional a través de 43 oficinas de distrito que en conjunto cubren cada ciudad y condado de Virginia. Los oficiales de distrito realizan evaluaciones de riesgo y necesidades, refieren a tratamiento de uso de sustancias, salud mental, empleo y vivienda, y coordinan los Programas Alternativos de Correcciones Comunitarias.",6900 Atmore Drive,Richmond,804-674-3000,,https://vadoc.virginia.gov/inmates-and-supervisees/community-supervision/,"Virginians under VADOC community supervision (probation, parole, or post-release supervision) assigned to a district office by the court or the department.","Virginianos bajo supervisión comunitaria de VADOC (probatoria, libertad condicional o supervisión posterior a la liberación) asignados a una oficina de distrito por el tribunal o el departamento.","Find your assigned district office through the VADOC website locations directory; report as directed by your supervision officer; ask your officer about treatment, employment, and housing referrals.","Encuentre su oficina de distrito asignada en el directorio del sitio web de VADOC; repórtese según lo indique su oficial de supervisión; pregunte a su oficial sobre referencias de tratamiento, empleo y vivienda.",District offices Monday–Friday business hours,statewide|probation|parole|supervision|VADOC|reentry,Community supervision|Risk and needs assessment|Treatment referrals|Employment and housing referrals|Reentry probation seminars,Richmond City,,statewide,accepts_criminal_record
3,CommonHelp — Virginia Benefits Portal,financial-assistance,Statewide,"CommonHelp is Virginia's official online portal for screening, applying for, and managing SNAP food assistance, Medicaid and other health coverage, TANF cash assistance, child care assistance, and energy assistance administered through local departments of social services. People returning from incarceration can apply for food and health benefits online after release, and account holders can upload documents, report changes, and track renewals in one place.","CommonHelp es el portal oficial en línea de Virginia para evaluar, solicitar y administrar asistencia alimentaria SNAP, Medicaid y otra cobertura de salud, asistencia en efectivo TANF, asistencia de cuidado infantil y asistencia de energía administradas por los departamentos locales de servicios sociales. Las personas que regresan de la encarcelación pueden solicitar beneficios de alimentos y salud en línea después de la liberación, subir documentos, reportar cambios y seguir renovaciones.",,,855-635-4370,,https://commonhelp.virginia.gov,"Virginia residents who meet income and household requirements for SNAP, Medicaid, TANF, child care, or energy assistance; a criminal record is generally not a barrier to SNAP or Medicaid in Virginia.","Residentes de Virginia que cumplan los requisitos de ingresos y hogar para SNAP, Medicaid, TANF, cuidado infantil o asistencia de energía; los antecedentes penales generalmente no son una barrera para SNAP o Medicaid en Virginia.",Apply online at commonhelp.virginia.gov or call the Enterprise Customer Service Center at 855-635-4370 (Mon–Fri 7 a.m.–6 p.m.); for health coverage help call Cover Virginia at 833-522-5582; paper applications are accepted at local DSS offices.,Solicite en commonhelp.virginia.gov o llame al Centro de Servicio al Cliente al 855-635-4370 (lun–vie 7 a.m.–6 p.m.); para ayuda con cobertura de salud llame a Cover Virginia al 833-522-5582; las oficinas locales de DSS aceptan solicitudes en papel.,"Online 24/7; phone support Monday–Friday, 7:00 a.m.–6:00 p.m.",statewide|benefits|SNAP|Medicaid|TANF|online|reentry,SNAP application|Medicaid and health coverage application|TANF cash assistance application|Child care assistance|Benefits account management,,,statewide,
4,Virginia Department of Social Services — Local DSS Offices,financial-assistance,Statewide,"The Virginia Department of Social Services administers SNAP, TANF, Medicaid intake, energy assistance, and child care assistance through 120 local departments of social services serving all 133 Virginia cities and counties. Returning citizens can apply in person at their local DSS office with help verifying identity and income, and VADOC reentry staff coordinate benefit applications with local departments before release. VDSS is a benefits agency—not a housing or crisis provider.","El Departamento de Servicios Sociales de Virginia administra SNAP, TANF, la admisión de Medicaid, asistencia de energía y asistencia de cuidado infantil a través de 120 departamentos locales que sirven a las 133 ciudades y condados de Virginia. Los ciudadanos que regresan pueden solicitar en persona en su oficina local de DSS con ayuda para verificar identidad e ingresos. VDSS es una agencia de beneficios, no un proveedor de vivienda ni de crisis.",801 East Main Street,Richmond,804-726-7000,,https://www.dss.virginia.gov,Virginia residents who meet program income and household-size requirements; bring identification and release paperwork if recently released from incarceration.,Residentes de Virginia que cumplan los requisitos de ingresos y tamaño del hogar del programa; traiga identificación y documentos de liberación si fue liberado recientemente.,Use the 'Find my local department' tool at dss.virginia.gov to locate your city or county office; apply online through CommonHelp to avoid a first trip; call 804-726-7000 for help finding the right contact.,Use la herramienta 'Find my local department' en dss.virginia.gov para ubicar su oficina local; solicite en línea mediante CommonHelp para evitar un primer viaje; llame al 804-726-7000 para encontrar el contacto correcto.,Local office hours vary; typically Monday–Friday business hours,statewide|benefits|SNAP|TANF|Medicaid|DSS|reentry,SNAP intake|TANF intake|Medicaid application assistance|Energy assistance|Document verification,Richmond City,,statewide,accepts_criminal_record
5,211 Virginia,state-agency,Statewide,"211 Virginia is a free, confidential, 24/7 information and referral service operated by the Virginia Department of Social Services that connects residents to housing, food, utility help, employment, health care, and reentry programs across the Commonwealth. Trained specialists search a database of more than 20,000 listings by ZIP code, with live help in English and Spanish and interpretation in over 150 languages. 211 Virginia is a referral service—not a direct-service provider.","211 Virginia es un servicio gratuito y confidencial de información y referencia, disponible 24/7, operado por el Departamento de Servicios Sociales de Virginia, que conecta a los residentes con vivienda, alimentos, ayuda con servicios públicos, empleo, atención médica y programas de reinserción en todo el estado. Especialistas capacitados buscan en una base de datos de más de 20,000 listados por código postal, con ayuda en inglés y español. Es un servicio de referencia, no un proveedor directo.",,,211,,https://211virginia.org,Open to anyone in Virginia; no criminal-record restrictions stated.,Abierto a cualquier persona en Virginia; sin restricciones de antecedentes penales indicadas.,Dial 211 from any Virginia phone; text CONNECT to 247211; chat or search online at 211virginia.org; from outside Virginia call 1-800-230-6977.,Marque 211 desde cualquier teléfono en Virginia; envíe CONNECT por texto al 247211; chatee o busque en 211virginia.org; desde fuera de Virginia llame al 1-800-230-6977.,"Available 24/7, 365 days a year",statewide|hotline|211|referral-only|basic-needs|reentry,Information and referral|Housing resource navigation|Food and utility referrals|Reentry program referrals|Crisis resource connections,,,statewide,
6,Virginia Legal Aid Network — Statewide Intake (VaLegalAid.org),legal-aid,Statewide,"Virginia's nine regional legal aid programs provide free civil legal help to low-income Virginians with housing, public benefits, family law, consumer, and criminal record matters including expungement and the record sealing process taking effect July 1, 2026. The statewide helpline at 1-866-LEGLAID routes callers to the legal aid office serving their city or county, and VaLegalAid.org publishes self-help guides. Legal aid programs handle civil matters—not criminal defense.","Los nueve programas regionales de asistencia legal de Virginia ofrecen ayuda legal civil gratuita a virginianos de bajos ingresos con vivienda, beneficios públicos, derecho familiar, asuntos de consumidor y antecedentes penales, incluida la expungación y el proceso de sellado de antecedentes vigente desde el 1 de julio de 2026. La línea estatal 1-866-LEGLAID dirige a la oficina que sirve su ciudad o condado. Los programas atienden asuntos civiles, no defensa penal.",,,1-866-534-5243,,https://www.valegalaid.org,Low-income Virginia residents; LSC income limits generally apply; each regional program serves specific cities and counties listed on valegalaid.org.,Residentes de Virginia de bajos ingresos; generalmente aplican límites de ingresos LSC; cada programa regional sirve ciudades y condados específicos listados en valegalaid.org.,"Call 1-866-LEGLAID (1-866-534-5243) to be connected to your local legal aid office; browse self-help guides at valegalaid.org; automatic sealing of certain records begins July 1, 2026 with petition sealing also available.","Llame al 1-866-LEGLAID (1-866-534-5243) para conectarse con su oficina local de asistencia legal; consulte guías de autoayuda en valegalaid.org; el sellado automático de ciertos antecedentes comienza el 1 de julio de 2026, y también hay sellado por petición.",Helpline available during business hours; online resources 24/7,statewide|legal-aid|expungement|record-sealing|hotline|low-income,Legal aid office routing|Expungement information|Record sealing guidance|Housing legal help referrals|Benefits advocacy referrals,,,statewide,
7,Virginia Poverty Law Center,legal-aid,Statewide,"The Virginia Poverty Law Center is a statewide advocacy organization that supports Virginia's legal aid network with policy work, litigation, and free specialized helplines covering SNAP benefits, health coverage enrollment, utilities, predatory loans, and eviction defense tools. VPLC generally does not provide direct legal representation; it connects low-income Virginians—including people with criminal records—to their regional legal aid office and to self-help legal resources.","El Virginia Poverty Law Center es una organización estatal de defensa que apoya la red de asistencia legal de Virginia con trabajo de políticas, litigio y líneas de ayuda gratuitas especializadas en beneficios SNAP, inscripción en cobertura de salud, servicios públicos, préstamos abusivos y herramientas contra desalojos. VPLC generalmente no ofrece representación legal directa; conecta a virginianos de bajos ingresos, incluidas personas con antecedentes penales, con su oficina regional de asistencia legal.","919 East Main Street, Suite 610",Richmond,804-782-9430,info@vplc.org,https://www.vplc.org,"Low-income Virginians seeking help with benefits, health coverage, utilities, predatory loans, or referrals to regional legal aid; direct representation only in limited referred matters.","Virginianos de bajos ingresos que buscan ayuda con beneficios, cobertura de salud, servicios públicos, préstamos abusivos o referencias a asistencia legal regional; representación directa solo en asuntos limitados referidos.",Call the VPLC helpline at 1-800-868-8752; SNAP helpline 866-753-7627; Enroll Virginia health coverage helpline 888-392-5132; for representation call 1-866-534-5243 to find your local legal aid office.,Llame a la línea de VPLC al 1-800-868-8752; línea SNAP 866-753-7627; línea de cobertura de salud Enroll Virginia 888-392-5132; para representación llame al 1-866-534-5243 y encuentre su oficina local de asistencia legal.,Monday–Friday business hours; helpline hours vary,statewide|legal-aid|benefits|advocacy|helpline|referral-only,SNAP benefits helpline|Health coverage enrollment help|Utility assistance helpline|Predatory loan helpline|Legal aid referrals,Richmond City,,statewide,accepts_criminal_record
8,Virginia Works — Virginia Career Works Centers,employment,Statewide,"Virginia Works is the Commonwealth's workforce development agency, operating the Virginia Career Works network of American Job Centers through 15 regional workforce boards. Centers offer free job search assistance, career coaching, WIOA-funded training referrals, apprenticeship connections, and hiring events open to justice-involved job seekers, plus employer incentives such as the Work Opportunity Tax Credit that support fair-chance hiring across Virginia.","Virginia Works es la agencia de desarrollo de la fuerza laboral del estado y opera la red Virginia Career Works de Centros de Empleo Americanos a través de 15 juntas regionales. Los centros ofrecen ayuda gratuita para buscar empleo, orientación profesional, referencias a capacitación financiada por WIOA, conexiones con aprendizajes y ferias de contratación abiertas a buscadores de empleo con antecedentes penales, además de incentivos para empleadores que apoyan la contratación de segunda oportunidad.",,,,,https://virginiacareerworks.com,Open to Virginia job seekers including people with criminal records; core career center services are free; WIOA training eligibility is determined at your local center.,"Abierto a buscadores de empleo de Virginia, incluidas personas con antecedentes penales; los servicios básicos del centro son gratuitos; la elegibilidad para capacitación WIOA se determina en su centro local.",Find your nearest center with the locator at virginiacareerworks.com/locations; register for job listings on the Virginia Workforce Connection; ask center staff about fair-chance employers and federal bonding.,Encuentre su centro más cercano en virginiacareerworks.com/locations; regístrese para ofertas de empleo en Virginia Workforce Connection; pregunte al personal sobre empleadores de segunda oportunidad y fianzas federales.,Center hours vary; typically Monday–Friday business hours,statewide|employment|workforce|WIOA|fair-chance|reentry,Job search assistance|Career coaching|WIOA training referrals|Apprenticeship connections|Hiring events,,,statewide,accepts_criminal_record
9,Virginia DARS — Vocational Rehabilitation,employment,Statewide,"The Virginia Department for Aging and Rehabilitative Services helps Virginians with disabilities—including justice-involved people with qualifying physical or mental health disabilities—prepare for, find, and keep employment. Vocational rehabilitation counselors at field offices statewide arrange evaluation, counseling, skills training, job placement, and supports such as the Wilson Workforce and Rehabilitation Center, working through roughly 85 approved community rehabilitation providers.","El Departamento de Servicios para Personas Mayores y de Rehabilitación de Virginia ayuda a virginianos con discapacidades—incluidas personas con antecedentes penales y discapacidades físicas o de salud mental calificadas—a prepararse para el empleo, encontrarlo y mantenerlo. Los consejeros de rehabilitación vocacional en oficinas de campo en todo el estado organizan evaluación, consejería, capacitación, colocación laboral y apoyos a través de unos 85 proveedores comunitarios aprobados.",5620 Cox Road,Glen Allen,800-552-5019,,https://dars.virginia.gov/about/divisions/rehabilitative-services/,Virginia residents with a physical or mental disability that creates a barrier to employment; eligibility determined through DARS assessment; self-referrals accepted.,Residentes de Virginia con una discapacidad física o mental que crea una barrera para el empleo; la elegibilidad se determina mediante evaluación de DARS; se aceptan autorreferencias.,Call 800-552-5019 or contact your nearest DARS field office to start an application; dial 711 for relay services; DARS coordinates with Virginia Career Works centers on shared cases.,Llame al 800-552-5019 o contacte su oficina de campo de DARS más cercana para iniciar una solicitud; marque 711 para servicios de retransmisión; DARS coordina con los centros Virginia Career Works.,Field offices Monday–Friday business hours,statewide|employment|disability|vocational-rehabilitation|DARS|reentry,Vocational counseling|Skills training|Job placement|Assistive technology|Employer partnerships,Henrico,,statewide,accepts_criminal_record
10,Virginia Community Services Boards (DBHDS Network),healthcare,Statewide,"Virginia's 40 community services boards are the single points of entry into publicly funded mental health, developmental disability, and substance use disorder services, together covering all 133 cities and counties. Under the STEP-VA initiative, CSBs offer same-day mental health assessment, outpatient treatment, case management, and crisis services, and many operate jail-based and reentry-focused behavioral health programs. Find your CSB by locality through the DBHDS website.","Las 40 juntas de servicios comunitarios de Virginia son los puntos únicos de entrada a los servicios públicos de salud mental, discapacidades del desarrollo y trastornos por uso de sustancias, y en conjunto cubren las 133 ciudades y condados. Bajo la iniciativa STEP-VA, las CSB ofrecen evaluación de salud mental el mismo día, tratamiento ambulatorio, manejo de casos y servicios de crisis, y muchas operan programas conductuales en cárceles y enfocados en la reinserción.",,,,,https://dbhds.virginia.gov/find-help/,"Open to residents of each CSB's catchment area; publicly funded services are available regardless of ability to pay, with sliding fees and Medicaid accepted.","Abierto a residentes del área de cobertura de cada CSB; los servicios con fondos públicos están disponibles independientemente de la capacidad de pago, con tarifas móviles y Medicaid aceptado.",Use the 'Find your CSB' tool at dbhds.virginia.gov/find-help or the directory at vacsb.org/csb-bha-directory; for behavioral health crises call or text 988 any time.,Use la herramienta 'Find your CSB' en dbhds.virginia.gov/find-help o el directorio en vacsb.org/csb-bha-directory; para crisis de salud conductual llame o envíe un texto al 988 en cualquier momento.,CSB hours vary by locality; crisis services 24/7 via 988,statewide|healthcare|mental-health|substance-use|CSB|STEP-VA|reentry,Same-day mental health assessment|Outpatient behavioral health treatment|Substance use disorder services|Case management|Crisis services,,,statewide,
