id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
1,Ohio DRC — Office of Reentry,state-agency,Statewide,"The Ohio Department of Rehabilitation and Correction Office of Reentry coordinates statewide reentry planning and connects people in custody or under community supervision with local coalitions, housing, employment, treatment, and legal resources. Staff support pre-release planning and community partner navigation across Ohio. This office provides planning and referrals—not emergency crisis response.","La Oficina de Reinserción del Departamento de Rehabilitación y Corrección de Ohio coordina la planificación estatal y conecta a personas en custodia o bajo supervisión comunitaria con coaliciones locales, vivienda, empleo, tratamiento y recursos legales. El personal apoya la planificación previa a la liberación y la navegación de aliados comunitarios en todo Ohio. Esta oficina ofrece planificación y referencias, no respuesta de crisis.",770 West Broad Street,Columbus,(614) 752-0627,DRC.OfficeofReentry@drc.ohio.gov,https://drc.ohio.gov/reentry,"Generally serves Ohio residents under DRC custody, parole, or seeking state reentry coordination and coalition referrals.","Generalmente sirve a residentes de Ohio bajo custodia del DRC, libertad condicional o que buscan coordinación estatal de reinserción.",Contact via phone or email; see drc.ohio.gov for regional reentry coalition listings. Not a walk-in crisis line.,Contacte por teléfono o correo; consulte drc.ohio.gov para coaliciones regionales. No es una línea de crisis.,"Monday–Friday, 8:00 a.m.–4:30 p.m. ET",statewide|reentry|DOC|probation|parole|hotline,Reentry planning coordination|Regional coalition referrals|Pre-release resource navigation|Community partner connections,Franklin,,statewide,accepts_criminal_record|referral_required
2,Relink.org,reentry-organizations,Statewide,"Relink.org is a statewide or regional referral resource for Ohioans affected by the criminal justice system. Free statewide online directory connecting people in addiction recovery, human trafficking recovery, and incarceration reentry with local service providers. Users search by location and service type for housing, treatment, employment, legal aid, and peer support. Relink is a referral hub—it does not provide direct services. Users can search by location, service type, or need to find active providers in throughout Ohio. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Relink.org es un recurso de referencia estatal o regional para ohianos afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en en todo Ohio. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",,Cleveland,(216) 762-0595,bcampbell@relink.org,https://relink.org,"Open to Ohio residents seeking reentry, recovery, or anti-trafficking resources; no criminal-record restrictions stated.","Abierto a residentes de Ohio que buscan recursos de reinserción, recuperación o anti-trata; sin restricciones de antecedentes indicadas.",Search online anytime; phone support available during business hours for navigation help.,Busque en línea en cualquier momento; soporte telefónico en horario laboral para ayuda de navegación.,Available online 24/7; phone support Monday–Friday business hours,statewide|online|reentry|referral-only|recovery,Online resource directory|Geo-located provider search|Reentry service navigation|Recovery resource referrals,,,statewide,accepts_criminal_record|walk_in_ok
3,Ohio Association of Local Reentry Coalitions (OALRC),reentry-organizations,Statewide,"Ohio Association of Local Reentry Coalitions (OALRC) is a regional reentry coalition serving throughout Ohio. Partner agencies, faith communities, and workforce organizations meet regularly to share resources and warm referrals for people leaving jail or prison, on probation or parole, and their families. Coordinators help returning citizens connect to housing, employment, treatment, legal aid, and benefits through local partners. This is primarily a networking and navigation council—not an emergency shelter, cash assistance program, or crisis line.","Ohio Association of Local Reentry Coalitions (OALRC) es una coalición regional de reinserción que sirve en todo Ohio. Agencias aliadas, comunidades de fe y organizaciones laborales se reúnen para compartir recursos y referencias directas para personas que salen de la cárcel o prisión, en libertad condicional o vigilada, y sus familias. Los coordinadores ayudan a conectar a ciudadanos que regresan con vivienda, empleo, tratamiento, asistencia legal y beneficios a través de aliados locales. Es principalmente un consejo de red y navegación—no un refugio de emergencia, programa de efectivo ni línea de crisis.",,,(567) 200-6815,ohioassociationreentry@gmail.com,https://drc.ohio.gov/systems-and-services/2-reentry-services/reentry-coalitions,"Open to Ohio reentry coalitions, community partners, and justice-involved individuals seeking local coalition contacts.","Abierto a coaliciones de reinserción de Ohio, aliados comunitarios y personas buscando contactos locales.",Contact president Tom Luettke for coalition information; see ODRC reentry coalition PDF for local contacts.,Contacte al presidente para información de coaliciones; consulte el PDF de coaliciones del DRC para contactos locales.,Contact for current hours; confirm before visiting,statewide|reentry|coalition|networking|referral-only,Coalition network coordination|Advocacy|Resource sharing|Local coalition referrals,,,statewide,
4,Ohio 211,state-agency,Statewide,"Ohio 211 is a statewide or regional referral resource for Ohioans affected by the criminal justice system. Free statewide information and referral service connecting Ohioans to health and human services including housing, food, utilities, employment, and crisis support. Specialists help callers find local programs by need and location. 211 is a referral line—not a direct-service provider. Users can search by location, service type, or need to find active providers in throughout Ohio. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Ohio 211 es un recurso de referencia estatal o regional para ohianos afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en en todo Ohio. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",,,211,,https://www.211.org/get-help/ohio,Open to all Ohio residents; no criminal-record restrictions stated.,Abierto a todos los residentes de Ohio; sin restricciones de antecedentes indicadas.,Dial 211 from any Ohio phone; text your ZIP code to 898211; chat available at 211.org.,Marque 211 desde cualquier teléfono de Ohio; envíe su código postal por texto al 898211.,Available 24/7,statewide|hotline|211|referral-only|basic-needs,Information and referral|Housing resource navigation|Benefits referrals|Crisis resource connections,,,statewide,
5,988 Suicide & Crisis Lifeline — Ohio,healthcare,Statewide,"988 Suicide & Crisis Lifeline — Ohio serves justice-involved adults and families rebuilding stability after incarceration in throughout Ohio. Free confidential 24/7 crisis support for people experiencing mental health emergencies, suicidal thoughts, or substance use crises. Trained counselors provide immediate support and can connect callers to local crisis services. Available to anyone in Ohio—not reentry-specific but essential for justice-involved individuals in crisis. Services are available on a sliding fee or Medicaid basis for eligible patients; bring ID and release paperwork when establishing care after incarceration. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","988 Suicide & Crisis Lifeline — Ohio sirve a adultos con antecedentes penales y familias que reconstruyen estabilidad después de la encarcelación en en todo Ohio. Los servicios están disponibles con tarifa móvil o Medicaid para pacientes elegibles; lleve identificación y documentos de liberación al establecer atención después de la encarcelación. Contacte el programa para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.",,,988,,https://988lifeline.org,Open to anyone in Ohio experiencing a mental health or suicide crisis; no eligibility restrictions.,Abierto a cualquier persona en Ohio en crisis de salud mental o suicidio; sin restricciones.,Call or text 988; Spanish-language support available. For immediate danger call 911.,Llame o envíe texto al 988; soporte en español disponible. Para peligro inmediato llame al 911.,Available 24/7,statewide|hotline|crisis|mental-health|988,Crisis counseling|Suicide prevention support|Mental health referrals|Substance use crisis support,,,statewide,
6,Ohio Legal Help,legal-aid,Statewide,"Ohio Legal Help is a statewide or regional referral resource for Ohioans affected by the criminal justice system. Statewide legal information portal providing plain-language guides, court forms, and tools for sealing criminal records, housing, benefits, and family law. Helps Ohioans find local legal aid providers and understand their rights. Online resource hub—not a law firm providing direct representation on its own. Users can search by location, service type, or need to find active providers in throughout Ohio. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Ohio Legal Help es un recurso de referencia estatal o regional para ohianos afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en en todo Ohio. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",,,1-866-529-6446,,https://www.ohiolegalhelp.org,Open to all Ohio residents seeking legal information; direct representation eligibility varies by local legal aid provider.,Abierto a todos los residentes de Ohio que buscan información legal; la representación directa varía según la organización local.,Call 1-866-LAW-OHIO (529-6446) for help finding legal resources; website available in English and Spanish.,Llame al 1-866-LAW-OHIO (529-6446) para encontrar recursos legales; sitio web en inglés y español.,"Phone line Monday–Friday, 8:30 a.m.–4:30 p.m. ET; website 24/7",statewide|legal-aid|online|expungement|hotline,Legal information guides|Court form assistance|Local legal aid finder|Record sealing information,,,statewide,
7,Ohio Reentry Connections,reentry-organizations,Statewide,"Ohio Reentry Connections is a statewide or regional referral resource for Ohioans affected by the criminal justice system. Statewide reentry resource initiative helping justice-involved Ohioans connect with housing, employment, treatment, and community support services. Provides navigation and referrals to local reentry programs and partner agencies across the state. Users can search by location, service type, or need to find active providers in throughout Ohio. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Ohio Reentry Connections es un recurso de referencia estatal o regional para ohianos afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en en todo Ohio. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",,Columbus,,,https://ohioreentryconnections.org,Ohio residents meeting program rules for Ohio Reentry Connections; criminal record is generally not a barrier to information and referral services.,Residentes de Ohio que cumplan las reglas del programa para Ohio Reentry Connections; los antecedentes penales generalmente no son barrera para información y referencias.,Visit website for resource listings and partner contacts; verify current phone intake on site.,Visite el sitio web para listados de recursos y contactos de aliados.,Contact for current hours; confirm before visiting,statewide|reentry|online|referral-only|ohio|reentry-organizations,Reentry resource navigation|Community partner referrals|Online resource directory,,,statewide,accepts_criminal_record|walk_in_ok
8,Certificate of Qualification for Employment (CQE) — Ohio DRC,legal-aid,Statewide,"Certificate of Qualification for Employment (CQE) — Ohio DRC serves justice-involved adults and families rebuilding stability after incarceration in throughout Ohio. Ohio's Certificate of Qualification for Employment program helps eligible individuals with criminal records obtain a certificate that can reduce automatic licensing and employment barriers. Administered through the Department of Rehabilitation and Correction with application guidance at drccqe.com. Representation is limited to civil legal matters—not active criminal cases. Income, household size, and offense type determine eligibility for record relief. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Certificate of Qualification for Employment (CQE) — Ohio DRC ofrece asistencia legal civil gratuita o de bajo costo para residentes de bajos ingresos en en todo Ohio. Los abogados ayudan con sellado o eliminación de antecedentes, desalojos, beneficios y otros asuntos civiles—no casos penales activos. La representación se limita a asuntos legales civiles—no casos penales activos. Ingresos, tamaño del hogar y tipo de delito determinan la elegibilidad para alivio de antecedentes. Contacte la oficina para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.",770 West Broad Street,Columbus,(614) 752-1161,,https://drccqe.com,Ohio residents with qualifying criminal records seeking employment or occupational licensing relief; offense-type and waiting-period rules apply.,Residentes de Ohio con antecedentes penales elegibles que buscan alivio para empleo o licencias; aplican reglas de tipo de delito y períodos de espera.,Apply online at drccqe.com; legal aid and reentry partners can assist with applications.,Solicite en línea en drccqe.com; aliados legales y de reinserción pueden ayudar con las solicitudes.,Online application available 24/7; DRC office Monday–Friday business hours,statewide|CQE|employment|fair-chance|online,CQE application processing|Employment barrier relief|Occupational licensing guidance,Franklin,,statewide,
9,Ohio Adult Parole Authority,probation-parole,Statewide,"Ohio Adult Parole Authority serves justice-involved adults and families rebuilding stability after incarceration in throughout Ohio. State agency responsible for parole supervision, parole board decisions, and community supervision of individuals released from Ohio prisons. Parole officers connect supervisees to reentry resources and enforce supervision conditions. Contact for supervision status, reporting requirements, and regional office locations. This office handles supervision compliance and reporting—not emergency reentry navigation; ask your officer for referrals to local reentry partners. Contact the program to confirm current intake steps, required documents, and whether walk-ins or referrals are accepted.","Ohio Adult Parole Authority sirve a adultos con antecedentes penales y familias que reconstruyen estabilidad después de la encarcelación en en todo Ohio. Esta oficina maneja cumplimiento de supervisión e informes—no navegación de crisis de reinserción; pida a su oficial referencias a aliados locales de reinserción. Contacte el programa para confirmar pasos de admisión, documentos requeridos y si aceptan visitas sin cita o referencias.",770 West Broad Street,Columbus,(614) 752-1200,,https://drc.ohio.gov/about-us/divisions-and-offices/adult-parole-authority,Individuals under Ohio parole or community supervision; family members may contact for general information.,Personas bajo libertad condicional o supervisión comunitaria de Ohio; familiares pueden contactar para información general.,Regional parole offices statewide; not a reentry resource navigation line—contact Office of Reentry for resource referrals.,Oficinas regionales en todo el estado; para referencias de recursos contacte la Oficina de Reinserción.,"Monday–Friday, 8:00 a.m.–4:30 p.m. ET",statewide|parole|DOC|probation|supervision,Parole supervision|Community supervision|Parole board services|Supervision compliance support,Franklin,,statewide,referral_required
10,Ohio Benefits — benefits.ohio.gov,financial-assistance,Statewide,"Ohio Benefits — benefits.ohio.gov is a statewide or regional referral resource for Ohioans affected by the criminal justice system. Official statewide online portal for applying for and managing Ohio public benefits including Medicaid, SNAP (food assistance), cash assistance, and child care subsidies. Justice-involved individuals can apply for coverage and food support after release. Users can search by location, service type, or need to find active providers in throughout Ohio. Specialists or online tools help match people to housing, treatment, employment, legal aid, or benefits programs operated by other organizations. This entry describes a navigation hub—staff here do not replace direct services at partner agencies.","Ohio Benefits — benefits.ohio.gov es un recurso de referencia estatal o regional para ohianos afectados por el sistema de justicia penal. Los usuarios pueden buscar por ubicación, tipo de servicio o necesidad para encontrar proveedores activos en en todo Ohio. Herramientas en línea o especialistas ayudan a conectar con vivienda, tratamiento, empleo, asistencia legal o beneficios operados por otras organizaciones. Esta entrada describe un centro de navegación—el personal no reemplaza servicios directos en agencias aliadas.",,,(844) 640-6446,,https://benefits.ohio.gov,"Ohio residents meeting income and program requirements for Medicaid, SNAP, TANF, or child care; criminal record generally not a barrier.","Residentes de Ohio que cumplan requisitos de ingresos para Medicaid, SNAP, TANF o cuidado infantil; antecedentes penales generalmente no son barrera.",Create account online; county Job and Family Services offices assist with applications and document verification.,Cree una cuenta en línea; las oficinas del condado de Job and Family Services ayudan con solicitudes.,Online 24/7; county office hours vary,statewide|benefits|SNAP|Medicaid|online,Medicaid application|SNAP enrollment|Cash assistance application|Benefits account management,,,statewide,
