id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage,intake_signals
1,WVDCR — Offender Services & Reentry Planning,state-agency,Statewide,"The West Virginia Division of Corrections and Rehabilitation Offender Services division coordinates statewide reentry planning, the Reentry Planner tool, parole services, and community corrections partnerships for people in WVDCR custody or under community supervision. Staff connect returning citizens to housing, employment, treatment, and DoHS benefits through parole agents and published program directories—not a walk-in crisis line or emergency cash provider.","La división de Servicios para Personas Privadas de Libertad del WVDCR coordina planificación estatal de reinserción, la herramienta Reentry Planner, servicios de libertad condicional y alianzas de correcciones comunitarias para personas bajo custodia o supervisión del WVDCR. El personal conecta a ciudadanos que regresan con vivienda, empleo, tratamiento y beneficios DoHS a través de agentes de libertad condicional—no es una línea de crisis ni proveedor de efectivo de emergencia.",1409 Greenbrier Street,Charleston,304-558-2036,,https://dcr.wv.gov/aboutus/offender-services/Pages/default.aspx,"West Virginia residents under WVDCR custody, parole, or community supervision seeking reentry coordination; community partners seeking WVDCR engagement.","Residentes de Virginia Occidental bajo custodia, libertad condicional o supervisión comunitaria del WVDCR que buscan coordinación de reinserción; aliados comunitarios.",Use the Reentry Planner at dcr.wv.gov; contact your parole agent for services; call 211 for community resource navigation.,Use el Reentry Planner en dcr.wv.gov; contacte a su agente de libertad condicional; llame al 211 para navegación de recursos comunitarios.,State office Monday–Friday business hours,statewide|reentry|WVDCR|DOC|parole|reentry-planner,Reentry planning|Reentry Planner tool|Parole services coordination|Community corrections partnerships|Pre-release resource navigation,Kanawha,,statewide,accepts_criminal_record
2,WV PATH — Public Benefits Portal,financial-assistance,Statewide,"WV PATH is West Virginia's official statewide portal for applying for and managing Medicaid, SNAP food assistance, TANF cash benefits, LIEAP energy assistance, and child care subsidies through the Department of Human Services. Justice-involved individuals can apply for health coverage and food support after release; county DoHS field offices assist with verification and redetermination.","WV PATH es el portal oficial estatal de Virginia Occidental para solicitar y administrar Medicaid, SNAP, asistencia en efectivo TANF, LIEAP y subsidios de cuidado infantil a través del Departamento de Servicios Humanos. Personas en reinserción pueden solicitar cobertura de salud y apoyo alimentario después de la liberación; las oficinas DoHS del condado ayudan con verificación.",,,1-877-716-1212,,https://wvpath.wv.gov,"West Virginia residents meeting income and program requirements for Medicaid, SNAP, or cash assistance; criminal record generally not a barrier.","Residentes de Virginia Occidental que cumplan requisitos de ingresos para Medicaid, SNAP o asistencia en efectivo; los antecedentes penales generalmente no son barrera.",Apply online at wvpath.wv.gov; call 1-877-716-1212 for DoHS Customer Service; county field offices listed at dhhr.wv.gov/Pages/Field-Offices.aspx.,Solicite en wvpath.wv.gov; llame al 1-877-716-1212 para Servicio al Cliente DoHS; oficinas del condado en dhhr.wv.gov.,Online 24/7; DoHS office hours vary by county,statewide|benefits|SNAP|Medicaid|WV-PATH|online,Medicaid application|SNAP enrollment|Cash assistance application|LIEAP energy assistance|Benefits account management,,,statewide,accepts_criminal_record
3,211 West Virginia,state-agency,Statewide,"211 West Virginia is a free statewide information and referral service connecting residents to health and human services including housing, food, utilities, employment, and crisis support. United Way-supported navigators help callers find local programs by need and ZIP code across all 55 counties. 211 West Virginia is a referral line—not a direct-service provider.","211 West Virginia es un servicio gratuito de información y referencia estatal que conecta a residentes con servicios de salud y humanos incluyendo vivienda, alimentos, servicios públicos, empleo y apoyo en crisis. Navegadores apoyados por United Way ayudan a encontrar programas locales por necesidad y código postal en los 55 condados. Es una línea de referencia, no un proveedor directo.",,,211,,https://www.wv211.org,Open to all West Virginia residents; no criminal-record restrictions stated.,Abierto a todos los residentes de Virginia Occidental; sin restricciones de antecedentes indicadas.,Dial 211 from any West Virginia phone; search resources online at wv211.org; available 24/7 for information and referral.,Marque 211 desde cualquier teléfono de WV; busque recursos en wv211.org; disponible 24/7.,Available 24/7,statewide|hotline|211|referral-only|basic-needs,Information and referral|Housing resource navigation|Benefits referrals|Crisis resource connections,,,statewide,
4,DoHS — Family Assistance & Benefits Overview,financial-assistance,Statewide,"The West Virginia Department of Human Services administers SNAP, Medicaid, WV WORKS cash assistance, LIEAP, and child care subsidies through county DoHS field offices in every county and the WV PATH online portal. DoHS helps returning citizens establish food and health benefits after release from WVDCR custody or county jails. This program serves justice-involved West Virginians in Kanawha County with referrals to regional reentry partners including DoHS benefits, Legal Aid of West Virginia, and WorkForce West Virginia.","El Departamento de Servicios Humanos de Virginia Occidental administra SNAP, Medicaid, asistencia en efectivo WV WORKS, LIEAP y subsidios de cuidado infantil a través de oficinas DoHS en cada condado y el portal WV PATH. DoHS ayuda a ciudadanos que regresan a establecer beneficios alimentarios y de salud después de la liberación. Este programa sirve a virginianos occidentales con antecedentes penales en Kanawha County con referencias a aliados regionales de reinserción incluidos DoHS, Legal Aid y WorkForce West Virginia.",350 Capitol Street,Charleston,1-877-716-1212,,https://dhhr.wv.gov/bcf/Pages/default.aspx,West Virginia residents meeting income and household-size requirements; criminal record generally not a barrier to SNAP and Medicaid.,Residentes de Virginia Occidental que cumplan requisitos de ingresos y tamaño del hogar; los antecedentes penales generalmente no son barrera para SNAP y Medicaid.,Apply at wvpath.wv.gov or visit your county DoHS field office; call 1-877-716-1212 for help; bring ID and release documents.,Solicite en wvpath.wv.gov o visite su oficina DoHS del condado; llame al 1-877-716-1212; traiga identificación y documentos de liberación.,"County offices typically Monday–Friday, 8:30 a.m.–5:00 p.m.",statewide|benefits|SNAP|Medicaid|DoHS|reentry,SNAP enrollment|Medicaid application|Cash assistance|LIEAP energy help|County field office referrals,Kanawha,,statewide,accepts_criminal_record
5,Legal Aid of West Virginia — Statewide Intake,legal-aid,Statewide,"Legal Aid of West Virginia is the state's primary nonprofit civil legal aid provider serving low-income residents with housing, public benefits, family law, consumer issues, and criminal record expungement assistance under West Virginia Clean Slate and expungement statutes. Centralized intake at 866-255-4373 routes callers to regional offices—not criminal defense.","Legal Aid of West Virginia es el principal proveedor sin fines de lucro de asistencia legal civil del estado sirviendo a residentes de bajos ingresos con vivienda, beneficios públicos, derecho familiar y eliminación de antecedentes penales bajo estatutos estatales. La admisión centralizada al 866-255-4373 enruta a oficinas regionales—no defensa penal.",901 Quarrier Street,Charleston,866-255-4373,,https://www.lawv.net,Low-income West Virginia residents with non-criminal legal problems; LSC income limits apply; expungement eligibility depends on offense type and waiting periods.,Residentes de Virginia Occidental de bajos ingresos con problemas legales no penales; aplican límites de ingresos LSC; la elegibilidad para eliminación de antecedentes depende del tipo de delito.,"Apply online at lawv.net or call 866-255-4373; routes to Charleston, Huntington, Clarksburg, Wheeling, and Martinsburg offices by county.","Solicite en lawv.net o llame al 866-255-4373; enruta a oficinas de Charleston, Huntington, Clarksburg, Wheeling y Martinsburg por condado.",Intake Monday–Friday business hours; online application 24/7,statewide|legal-aid|low-income|expungement|hotline,Civil legal representation|Expungement assistance|Housing legal aid|Benefits advocacy|Regional office referrals,Kanawha,,statewide,
6,WorkForce West Virginia — Statewide Portal,employment,Statewide,"WorkForce West Virginia is the state workforce agency connecting job seekers—including justice-involved West Virginians—to American Job Centers, career coaching, unemployment services, and WIOA training referrals in seven regional workforce development areas covering all 55 counties. Jobs & Hope recovery workforce navigation is coordinated through WorkForce WV partners.","WorkForce West Virginia es la agencia estatal de fuerza laboral que conecta a buscadores de empleo—incluidos virginianos occidentales con antecedentes penales—a Centros de Empleo Americanos, coaching de carrera, servicios de desempleo y referencias de capacitación WIOA en siete regiones que cubren los 55 condados. Jobs & Hope se coordina a través de aliados de WorkForce WV.",1900 Kanawha Boulevard East,Charleston,304-558-1541,,https://workforcewv.org,Open to West Virginia job seekers including justice-involved individuals; core AJC services are free.,Abierto a buscadores de empleo de Virginia Occidental incluidas personas con antecedentes penales; servicios básicos del CEA son gratuitos.,Find your local workforce board at workforcedb.wv.gov; call 304-558-1541 for statewide information; Jobs & Hope at jobsandhope.wv.gov.,Encuentre su junta local en workforcedb.wv.gov; llame al 304-558-1541; Jobs & Hope en jobsandhope.wv.gov.,State and AJC offices Monday–Friday business hours,statewide|employment|WorkForce-WV|AJC|WIOA|Jobs-and-Hope,Job search assistance|Career coaching|WIOA training referrals|Unemployment services|Fair-chance employment navigation,Kanawha,,statewide,accepts_criminal_record
7,Jobs & Hope West Virginia,employment,Statewide,"Jobs & Hope West Virginia is a statewide initiative connecting West Virginians in recovery from substance use disorder to employment, training, peer support, and wraparound services through WorkForce West Virginia and community partners. The program helps justice-involved participants in recovery rebuild workforce credentials—a navigation program, not emergency cash or housing.","Jobs & Hope West Virginia es una iniciativa estatal que conecta a virginianos occidentales en recuperación de trastornos por uso de sustancias con empleo, capacitación, apoyo entre pares y servicios integrales a través de WorkForce WV y aliados comunitarios. Ayuda a participantes con antecedentes penales en recuperación—un programa de navegación, no efectivo o vivienda de emergencia.",,Charleston,304-558-1541,,https://jobsandhope.wv.gov,West Virginia residents in recovery from substance use disorder seeking employment and training supports; program-specific requirements apply.,Residentes de Virginia Occidental en recuperación de trastornos por uso de sustancias que buscan apoyos de empleo y capacitación; aplican requisitos específicos del programa.,Visit jobsandhope.wv.gov or contact your local WorkForce West Virginia American Job Center; partners include treatment and peer recovery providers.,Visite jobsandhope.wv.gov o contacte su Centro de Empleo Americano local de WorkForce WV; aliados incluyen proveedores de tratamiento y recuperación entre pares.,Contact local AJC for hours,statewide|employment|recovery|Jobs-and-Hope|substance-use|reentry,Recovery workforce navigation|Employment training referrals|Peer support linkage|WorkForce WV coordination|Credential building,Kanawha,,statewide,accepts_criminal_record
8,988 Suicide & Crisis Lifeline — West Virginia,healthcare,Statewide,"Free confidential 24/7 crisis support for people experiencing mental health emergencies, suicidal thoughts, or substance use crises. Trained specialists provide immediate support and can connect callers to local mobile crisis teams in West Virginia. Available to anyone—not reentry-specific but essential for justice-involved individuals in crisis. The Statewide office provides immunizations, WIC navigation, maternal and child health screenings, environmental health services, and referrals to regional FQHCs, hospitals, and behavioral health partners. Justice-involved residents can establish a local health contact after release from WVDCR custody or county jail—not emergency hospital or crisis care.","Apoyo gratuito y confidencial 24/7 para emergencias de salud mental, pensamientos suicidas o crisis por uso de sustancias. Especialistas capacitados ofrecen apoyo inmediato y conexión a equipos de crisis móviles en Virginia Occidental. Disponible para cualquier persona, esencial para personas con antecedentes penales en crisis. La oficina de Statewide ofrece inmunizaciones, navegación WIC, exámenes de salud materno-infantil, servicios de salud ambiental y referencias a FQHC, hospitales y aliados de salud conductual regionales. Residentes con antecedentes penales pueden establecer un contacto de salud local después de la liberación—no es atención hospitalaria de emergencia.",,,988,,https://988lifeline.org,Open to anyone in West Virginia experiencing a mental health or suicide crisis; no eligibility restrictions.,Abierto a cualquier persona en Virginia Occidental en crisis de salud mental o suicidio; sin restricciones.,Call or text 988; Spanish-language support available. For immediate physical danger call 911.,Llame o envíe texto al 988; soporte en español disponible. Para peligro físico inmediato llame al 911.,Available 24/7,statewide|hotline|crisis|mental-health|988,Crisis counseling|Suicide prevention support|Mental health referrals|Substance use crisis support,,,statewide,
9,SAMHSA National Helpline,substance-use-treatment,Statewide,"Free confidential 24/7 treatment referral and information service for individuals and families facing mental health or substance use disorders. Provides referrals to local treatment facilities and community organizations in West Virginia and nationwide. Spanish-language support available through trained specialists. Licensed clinicians provide assessment, outpatient or residential treatment, medication-assisted recovery, and peer support with Medicaid acceptance and many justice referrals from drug courts and WVDCR parole serving Statewide. Walk-in availability varies; call for intake assessment before traveling.","Servicio gratuito y confidencial 24/7 de referencia e información para personas y familias con trastornos de salud mental o uso de sustancias. Proporciona referencias a centros de tratamiento locales en Virginia Occidental y a nivel nacional. Soporte en español disponible. Clínicos licenciados ofrecen evaluación, tratamiento ambulatorio o residencial, recuperación asistida con medicamentos y apoyo entre pares con aceptación de Medicaid en Statewide.",,,800-662-4357,,https://www.samhsa.gov/find-help/national-helpline,Open to anyone in the United States seeking substance use or mental health treatment information and referrals.,Abierto a cualquier persona en Estados Unidos que busque información y referencias de tratamiento.,TTY 800-487-4889; also use FindTreatment.gov to search West Virginia providers online.,TTY 800-487-4889; también use FindTreatment.gov para buscar proveedores en Virginia Occidental.,Available 24/7,statewide|hotline|substance-use|treatment-referral|national,Treatment referrals|Substance use information|Mental health resource navigation,,,statewide,
10,FindTreatment.gov — West Virginia Provider Search,substance-use-treatment,Statewide,"SAMHSA's online treatment locator helping West Virginia residents find substance use and mental health treatment providers by location, service type, and payment options including Medicaid. Justice-involved individuals can search outpatient, residential, and MAT providers before or after release from WVDCR custody or county jails. Licensed clinicians provide assessment, outpatient or residential treatment, medication-assisted recovery, and peer support with Medicaid acceptance and many justice referrals from drug courts and WVDCR parole serving Statewide. Walk-in availability varies; call for intake assessment before traveling.","Localizador en línea de SAMHSA que ayuda a residentes de Virginia Occidental a encontrar proveedores de tratamiento de uso de sustancias y salud mental por ubicación, tipo de servicio y opciones de pago incluido Medicaid. Personas con antecedentes penales pueden buscar proveedores ambulatorios, residenciales y TMO antes o después de la liberación. Clínicos licenciados ofrecen evaluación, tratamiento ambulatorio o residencial, recuperación asistida con medicamentos y apoyo entre pares con aceptación de Medicaid en Statewide.",,,,,https://findtreatment.gov,Open to anyone searching for treatment; provider admission rules vary.,Abierto a cualquier persona que busque tratamiento; las reglas de admisión varían según el proveedor.,"Search findtreatment.gov by West Virginia county or city; filter for MAT, outpatient, or residential services.","Busque en findtreatment.gov por condado o ciudad de Virginia Occidental; filtre por TMO, ambulatorio o residencial.",Website 24/7,statewide|substance-use|online|MAT|treatment-locator,Treatment provider search|MAT locator|Outpatient program finder|Residential program finder,,,statewide,
