id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage
1,SCDC — Reentry Programs,state-agency,Statewide,"The South Carolina Department of Corrections coordinates statewide reentry programming, pre-release planning, and community partner connections for individuals preparing to leave SCDC custody or under community supervision through the Department of Probation, Parole and Pardon Services. Staff work with county DSS offices, SC Works career centers, and treatment providers on housing, employment, and benefits navigation before and after release. This office provides planning and referrals—not a walk-in crisis line or emergency cash provider.","El Departamento de Correcciones de Carolina del Sur coordina programación estatal de reinserción, planificación previa a la liberación y conexiones con aliados comunitarios para personas que preparan salir de custodia de SCDC o bajo supervisión comunitaria a través del Departamento de Probatoria, Libertad Condicional e Indulto. El personal trabaja con oficinas DSS del condado, centros SC Works y proveedores de tratamiento. Esta oficina ofrece planificación y referencias, no es una línea de crisis ni proveedor de efectivo de emergencia.",4444 Broad River Road,Columbia,803-896-8555,,https://doc.sc.gov/programs,Individuals in SCDC custody or recently released seeking state reentry coordination; community partners seeking SCDC engagement.,Personas en custodia de SCDC o recién liberadas que buscan coordinación estatal de reinserción; aliados comunitarios.,Visit doc.sc.gov/programs for reentry resources; coordinate through facility reentry staff and assigned probation or parole officer after release.,Visite doc.sc.gov/programs para recursos de reinserción; coordine a través del personal de reinserción de la instalación y el oficial de probatoria asignado.,State office Monday–Friday business hours,statewide|reentry|SCDC|DOC|pre-release|parole,Pre-release planning|Transitional programming coordination|Community partner referrals|Reentry resource navigation|Supervision linkage,Richland,,statewide
2,"SCDPPPS — Probation, Parole & Pardon Services",probation-parole,Statewide,"The South Carolina Department of Probation, Parole and Pardon Services supervises more than 30,000 adults on probation and parole through field offices in every region of the state. District agents connect justice-involved South Carolinians to local reentry partners for housing, employment, treatment compliance, and community reporting. Contact your assigned agent—not a walk-in benefits or emergency housing intake center.","El Departamento de Probatoria, Libertad Condicional e Indulto de Carolina del Sur supervisa a más de 30.000 adultos en probatoria y libertad condicional a través de oficinas de campo en cada región del estado. Los agentes conectan a carolinenses con antecedentes penales con aliados locales de reinserción para vivienda, empleo y cumplimiento de tratamiento. Contacte a su agente asignado; no es un centro de admisión de beneficios o vivienda de emergencia.",1100 North Main Street,Columbia,803-734-3900,,https://www.ppp.sc.gov,"Adults under SCDPPPS probation, parole, or community supervision in South Carolina; report to assigned agent.","Adultos bajo supervisión probatoria, libertad condicional o comunitaria de SCDPPPS en Carolina del Sur; reporte al agente asignado.",Find regional field offices at ppp.sc.gov; statewide information 803-734-3900; ask your agent about local reentry referrals.,Encuentre oficinas regionales en ppp.sc.gov; información estatal 803-734-3900; pregunte a su agente sobre referencias locales de reinserción.,Field offices typically Monday–Friday business hours,statewide|probation-parole|SCDPPPS|community-supervision|reentry,Probation supervision|Parole supervision|Community reporting|Treatment referrals|Reentry partner coordination,Richland,,statewide
3,SC Benefits Portal — Online Applications,financial-assistance,Statewide,"The South Carolina Benefits Portal at benefitsportal.dss.sc.gov is the official online system for applying for and managing SNAP food assistance, Medicaid and Healthy Connections coverage, TANF cash benefits, child care subsidies, and energy assistance through county Department of Social Services offices. Justice-involved South Carolinians can apply for health coverage and food support after release; county DSS staff assist with verification at all 46 county offices.","El Portal de Beneficios de Carolina del Sur en benefitsportal.dss.sc.gov es el sistema en línea oficial para solicitar y administrar asistencia alimentaria SNAP, cobertura Medicaid y Healthy Connections, beneficios en efectivo TANF, subsidios de cuidado infantil y asistencia energética a través de oficinas DSS del condado. Los carolinenses en reinserción pueden solicitar cobertura de salud y apoyo alimentario después de la liberación.",,,1-800-616-1309,,https://benefitsportal.dss.sc.gov,"South Carolina residents meeting income and program requirements for Medicaid, SNAP, or TANF; criminal record generally not a barrier.","Residentes de Carolina del Sur que cumplan requisitos de ingresos para Medicaid, SNAP o TANF; los antecedentes penales generalmente no son barrera.",Apply online at benefitsportal.dss.sc.gov; call 1-800-616-1309 for DSS help; visit your county DSS office for in-person assistance.,Solicite en benefitsportal.dss.sc.gov; llame al 1-800-616-1309; visite su oficina DSS del condado para asistencia presencial.,Online 24/7; county DSS office hours vary,statewide|benefits|SNAP|Medicaid|online|reentry,Medicaid application|SNAP enrollment|TANF cash assistance|Child care subsidies|Benefits account management,,,statewide
4,SC DSS — Benefits & Family Support Portal,financial-assistance,Statewide,"The South Carolina Department of Social Services administers SNAP, TANF, Medicaid intake, energy assistance, and child care subsidies through 46 county offices organized in four regional service areas. Returning citizens can apply online through portal.dss.sc.gov or in person at their county DSS office with help establishing food and health benefits after release from SCDC custody or county jails.","El Departamento de Servicios Sociales de Carolina del Sur administra SNAP, TANF, admisión de Medicaid, asistencia energética y subsidios de cuidado infantil a través de 46 oficinas del condado organizadas en cuatro áreas de servicio regionales. Los ciudadanos que regresan pueden solicitar en línea a través de portal.dss.sc.gov o en persona en su oficina DSS del condado.",1535 Confederate Avenue,Columbia,1-800-616-1309,,https://portal.dss.sc.gov,South Carolina residents meeting income and household-size requirements; criminal record generally not a barrier to SNAP and Medicaid.,Residentes de Carolina del Sur que cumplan requisitos de ingresos y tamaño del hogar; los antecedentes penales generalmente no son barrera para SNAP y Medicaid.,Apply at portal.dss.sc.gov or benefitsportal.dss.sc.gov; call 1-800-616-1309; bring ID and release documents to county office.,Solicite en portal.dss.sc.gov o benefitsportal.dss.sc.gov; llame al 1-800-616-1309; traiga identificación y documentos de liberación.,County DSS offices typically Monday–Friday business hours,statewide|benefits|SNAP|Medicaid|DSS|reentry,SNAP enrollment|Medicaid application|TANF intake|County DSS referrals|Document verification,Richland,,statewide
5,SC 211,state-agency,Statewide,"SC 211 is a free statewide information and referral service connecting South Carolina residents to health and human services including housing, food, utilities, employment, and crisis support across all 46 counties. United Way-supported navigators help callers find local programs by need and ZIP code through sc211.org and the 211 phone line. SC 211 is a referral service—not a direct-service provider.","SC 211 es un servicio gratuito de información y referencia estatal que conecta a residentes de Carolina del Sur con servicios de salud y humanos incluyendo vivienda, alimentos, servicios públicos, empleo y apoyo en crisis en los 46 condados. Navegadores apoyados por United Way ayudan a encontrar programas locales por necesidad y código postal. Es un servicio de referencia, no un proveedor directo.",,,211,,https://sc211.org,Open to all South Carolina residents; no criminal-record restrictions stated.,Abierto a todos los residentes de Carolina del Sur; sin restricciones de antecedentes indicadas.,Dial 211 from any South Carolina phone; search resources online at sc211.org; text your ZIP code to 898-211.,Marque 211 desde cualquier teléfono de Carolina del Sur; busque recursos en sc211.org; envíe su código postal al 898-211.,Available during published service hours; check sc211.org,statewide|hotline|211|referral-only|basic-needs,Information and referral|Housing resource navigation|Benefits referrals|Crisis resource connections,,,statewide
6,South Carolina Legal Services — Statewide Helpline,legal-aid,Statewide,"South Carolina Legal Services is the state's primary nonprofit civil legal aid provider serving low-income South Carolinians with housing, public benefits, family law, and criminal record relief assistance including expungement under South Carolina statutes. Centralized intake at 1-888-346-5592 routes callers to regional offices in Charleston, Columbia, Florence, Greenville, and Spartanburg—not criminal defense representation.","South Carolina Legal Services es el principal proveedor sin fines de lucro de asistencia legal civil del estado que sirve a carolinenses de bajos ingresos con vivienda, beneficios públicos, derecho familiar y alivio de antecedentes penales incluida expungación. La admisión centralizada al 1-888-346-5592 enruta a oficinas regionales, no defensa penal.",2109 Bull Street,Columbia,1-888-346-5592,,https://sclegal.org,Low-income South Carolina residents with non-criminal legal problems; LSC income limits apply; offense-type restrictions may apply for record relief.,Residentes de Carolina del Sur de bajos ingresos con problemas legales no penales; aplican límites de ingresos LSC; pueden aplicar restricciones por tipo de delito para alivio de antecedentes.,Apply online at sclegal.org or call 1-888-346-5592; regional offices serve specific counties listed on the website.,Solicite en sclegal.org o llame al 1-888-346-5592; las oficinas regionales sirven condados específicos listados en el sitio web.,Intake Monday–Friday business hours; online application 24/7,statewide|legal-aid|low-income|expungement|hotline,Civil legal representation|Expungement assistance|Housing legal aid|Benefits advocacy|Regional office referrals,Richland,,statewide
7,SC Appleseed Legal Justice Center,reentry-organizations,Statewide,"The South Carolina Appleseed Legal Justice Center advocates for fair public policies and connects low-income South Carolinians—including justice-involved residents—to legal resources, benefits navigation, and workforce partners across the state. Staff provide policy education, community outreach, and referral navigation for housing, employment, and record relief—not direct emergency cash or shelter placement.","El Centro de Justicia Legal SC Appleseed aboga por políticas públicas justas y conecta a carolinenses de bajos ingresos—incluidos residentes con antecedentes penales—a recursos legales, navegación de beneficios y aliados laborales en todo el estado. El personal ofrece educación de políticas y referencias, no efectivo de emergencia ni colocación en refugio.","1201 Main Street, Suite 1820",Columbia,803-779-1112,,https://scjustice.org,"Low-income South Carolina residents and advocates seeking policy information, legal referrals, and reentry resource navigation.","Residentes de Carolina del Sur de bajos ingresos y defensores que buscan información de políticas, referencias legales y navegación de recursos de reinserción.",Visit scjustice.org for policy resources; connects to SCLS regional offices and local reentry coalitions.,Visite scjustice.org para recursos de políticas; conecta con oficinas regionales de SCLS y coaliciones locales de reinserción.,Monday–Friday business hours,statewide|reentry|policy|fair-chance|referral-only,Policy advocacy|Legal resource referrals|Benefits education|Workforce partner navigation|Community outreach,Richland,,statewide
8,SC Bar — Lawyer Referral & Pro Bono Program,legal-aid,Statewide,"The South Carolina Bar Lawyer Referral Service and Pro Bono Program connect South Carolinians to attorneys for civil matters including housing, family law, and limited criminal record relief guidance. The PILS pro bono initiative coordinates volunteer attorneys for qualifying low-income clients who do not meet full legal aid eligibility. Referral and limited pro bono—not a public defender office.","El Servicio de Referencia de Abogados y Programa Pro Bono del Colegio de Abogados de Carolina del Sur conecta a carolinenses con abogados para asuntos civiles incluyendo vivienda, derecho familiar y orientación limitada sobre alivio de antecedentes penales. La iniciativa PILS coordina abogados voluntarios para clientes de bajos ingresos. Referencia y pro bono limitado, no defensor público.",950 Taylor Street,Columbia,803-799-6653,,https://www.scbar.org/public/get-legal-help/lawyer-referral-service/,South Carolina residents seeking attorney referrals; pro bono through PILS for qualifying low-income civil matters.,Residentes de Carolina del Sur que buscan referencias de abogados; pro bono a través de PILS para asuntos civiles de bajos ingresos calificados.,Call 803-799-6653 for lawyer referral; visit scbar.org for PILS and pro bono program information.,Llame al 803-799-6653 para referencia de abogado; visite scbar.org para información del programa PILS y pro bono.,Monday–Friday business hours,statewide|legal-aid|lawyer-referral|pro-bono|reentry,Attorney referrals|Pro bono civil assistance|PILS volunteer coordination|Legal information resources,Richland,,statewide
9,SC Works — Statewide Workforce System,employment,Statewide,"SC Works is South Carolina's statewide workforce system connecting job seekers—including justice-involved South Carolinians—to SC Works centers, career coaching, unemployment services, and WIOA training referrals through regional workforce boards covering all 46 counties. Fair-chance employment partners and SC Second Chance initiatives coordinate through SC Works offices for returning citizens seeking sustainable employment.","SC Works es el sistema estatal de fuerza laboral de Carolina del Sur que conecta a buscadores de empleo—incluidos carolinenses con antecedentes penales—a centros SC Works, coaching de carrera, servicios de desempleo y referencias de capacitación WIOA a través de juntas regionales en los 46 condados. Las iniciativas de empleo de segunda oportunidad se coordinan a través de oficinas SC Works.",1550 Gadsden Street,Columbia,1-866-359-3222,,https://www.scworks.org,Open to South Carolina job seekers including justice-involved individuals; core career center services are free.,Abierto a buscadores de empleo de Carolina del Sur incluidas personas con antecedentes penales; servicios básicos del centro de carrera son gratuitos.,Find your nearest SC Works center at scworks.org; register for job search tools; pairs with DEW unemployment services.,Encuentre su centro SC Works más cercano en scworks.org; regístrese para herramientas de búsqueda de empleo; se vincula con servicios de desempleo DEW.,Career centers Monday–Friday business hours,statewide|employment|SC-Works|WIOA|fair-chance|reentry,Job search assistance|Career coaching|WIOA training referrals|Unemployment services|Fair-chance employment navigation,Richland,,statewide
10,SC Department of Employment and Workforce (DEW),employment,Statewide,"The South Carolina Department of Employment and Workforce administers unemployment insurance, labor market information, and workforce development programs that partner with SC Works centers statewide. Justice-involved South Carolinians can file unemployment claims, access job training referrals, and connect to employer services through dew.sc.gov and local SC Works offices after release.","El Departamento de Empleo y Fuerza Laboral de Carolina del Sur administra seguro de desempleo, información del mercado laboral y programas de desarrollo de la fuerza laboral que se asocian con centros SC Works en todo el estado. Los carolinenses con antecedentes penales pueden presentar reclamaciones de desempleo y conectarse con servicios para empleadores a través de dew.sc.gov.",1550 Gadsden Street,Columbia,1-866-831-1724,,https://dew.sc.gov,South Carolina workers meeting unemployment eligibility requirements; job seekers may access SC Works partner services.,Trabajadores de Carolina del Sur que cumplan requisitos de elegibilidad para desempleo; buscadores de empleo pueden acceder a servicios aliados de SC Works.,File unemployment at dew.sc.gov; employer services and labor data at dew.sc.gov; SC Works centers for reemployment help.,Presente desempleo en dew.sc.gov; servicios para empleadores y datos laborales en dew.sc.gov; centros SC Works para ayuda de reempleo.,Online 24/7; phone support Monday–Friday business hours,statewide|employment|DEW|unemployment|SC-Works|reentry,Unemployment insurance|Labor market information|Workforce development|SC Works partnerships|Employer services,Richland,,statewide
